,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2021년07월_계_80~89세,"8,813",444,762,754,328,399,744,558,523,760,454,762,393,353,490,367,305,417
2021년07월_계_90~99세,"1,129",60,99,101,37,58,91,66,60,97,56,128,46,38,58,47,46,41
2021년07월_계_100세 이상,80,2,1,10,11,5,3,8,2,7,4,6,4,1,5,8,1,2
2021년07월_남_총인구수,"140,811","8,056","12,696","11,095","6,139","6,708","11,028","7,405","7,369","10,893","6,888","12,176","8,340","6,319","8,439","5,578","5,586","6,096"
2021년07월_남_연령구간인구수,"140,811","8,056","12,696","11,095","6,139","6,708","11,028","7,405","7,369","10,893","6,888","12,176","8,340","6,319","8,439","5,578","5,586","6,096"
2021년07월_남_0~9세,"10,083",610,"1,184",595,215,472,859,592,633,888,685,"1,251",556,367,414,294,266,202
2021년07월_남_10~19세,"9,629",598,809,789,338,485,934,793,554,690,485,857,566,427,445,267,296,296
2021년07월_남_20~29세,"21,838","1,152","1,973","2,154","2,555","1,076","1,384",862,879,"1,419",739,"1,287","1,353","1,006","1,178",943,870,"1,008"
2021년07월_남_30~39세,"23,309","1,439","2,132","1,657",881,"1,101","1,693","1,062","1,209","1,979","1,245","2,214","1,404","1,142","1,381","1,001",881,888
2021년07월_남_40~49세,"21,970","1,258","1,993","1,490",595,"1,039","1,883","1,369","1,287","1,789","1,264","2,194","1,170",968,"1,164",745,835,927
2021년07월_남_50~59세,"23,146","1,297","2,086","1,795",637,"1,080","1,912","1,218","1,137","1,737","1,034","1,767","1,557","1,021","1,632",948,"1,052","1,236"
2021년07월_남_60~69세,"18,217","1,015","1,516","1,523",460,848,"1,313",787,980,"1,383",824,"1,516","1,136",835,"1,439",824,907,911
2021년07월_남_70~79세,"9,000",490,710,767,314,433,745,495,493,723,443,758,440,420,570,391,350,458
2021년07월_남_80~89세,"3,308",181,272,299,130,155,284,207,181,254,153,298,142,123,204,143,118,164
2021년07월_남_90~99세,282,15,21,24,9,18,20,18,16,28,14,31,14,9,10,19,10,6
2021년07월_남_100세 이상,29,1,0,2,5,1,1,2,0,3,2,3,2,1,2,3,1,0
2021년07월_여_총인구수,"147,892","8,571","13,964","11,381","5,811","7,227","12,532","8,155","8,091","11,968","7,536","14,000","8,358","6,540","7,695","5,455","4,997","5,611"
2021년07월_여_연령구간인구수,"147,892","8,571","13,964","11,381","5,811","7,227","12,532","8,155","8,091","11,968","7,536","14,000","8,358","6,540","7,695","5,455","4,997","5,611"
2021년07월_여_0~9세,"9,666",590,"1,109",572,199,484,890,564,633,824,656,"1,262",461,346,384,282,235,175
2021년07월_여_10~19세,"9,682",560,777,803,416,514,"1,122",814,519,724,454,802,531,420,409,254,260,303
2021년07월_여_20~29세,"22,405","1,296","2,304","2,084","2,142","1,154","1,546",892,894,"1,401",704,"1,536","1,249","1,058","1,064","1,031",826,"1,224"
2021년07월_여_30~39세,"24,234","1,437","2,464","1,558",698,"1,158","1,869","1,111","1,407","2,120","1,414","2,726","1,457","1,181","1,181",934,716,803
2021년07월_여_40~49세,"21,866","1,256","2,003","1,464",526,"1,090","2,029","1,503","1,242","1,861","1,290","2,261","1,222","1,008","1,025",709,684,693
2021년07월_여_50~59세,"23,352","1,402","2,303","1,867",659,"1,163","2,007","1,266","1,218","1,902","1,058","2,070","1,515",970,"1,387",821,889,855
2021년07월_여_60~69세,"19,080","1,073","1,563","1,554",515,840,"1,537",953,"1,163","1,605","1,009","1,820","1,119",839,"1,243",731,767,749
2021년07월_여_70~79세,"11,204",648,872,939,424,536,999,647,627,952,606,959,519,459,665,436,397,519
2021년07월_여_80~89세,"5,505",263,490,455,198,244,460,351,342,506,301,464,251,230,286,224,187,253
2021년07월_여_90~99세,847,45,78,77,28,40,71,48,44,69,42,97,32,29,48,28,36,35
2021년07월_여_100세 이상,51,1,1,8,6,4,2,6,2,4,2,3,2,0,3,5,0,2
