카테고리,대구광역시 동구,대구광역시 동구 신암1동,대구광역시 동구 신암2동,대구광역시 동구 신암3동,대구광역시 동구 신암4동,대구광역시 동구 신암5동,대구광역시 동구 신천1.2동,대구광역시 동구 신천3동,대구광역시 동구 신천4동,대구광역시 동구 효목1동,대구광역시 동구 효목2동,대구광역시 동구 도평동,대구광역시 동구 불로.봉무동,대구광역시 동구 지저동,대구광역시 동구 동촌동,대구광역시 동구 방촌동,대구광역시 동구 해안동,대구광역시 동구 안심1동,대구광역시 동구 안심2동,대구광역시 동구 안심3.4동,대구광역시 동구 공산동
2020년02월_계_80~89세,"12,300",498,440,380,484,345,652,445,323,682,641,214,674,429,603,819,644,"1,377",393,"1,353",904
2020년02월_계_90~99세,"1,438",53,51,50,64,28,62,52,34,77,82,17,83,43,76,91,85,178,48,166,98
2020년02월_계_100세 이상,120,6,10,3,10,4,7,9,4,9,9,0,5,5,2,5,2,6,6,11,7
2020년02월_남_총인구수,"169,757","3,963","5,487","4,422","6,977","3,205","6,598","6,345","3,862","7,170","7,341","2,272","13,309","5,169","8,147","9,110","7,886","21,709","5,301","34,189","7,295"
2020년02월_남_연령구간인구수,"169,757","3,963","5,487","4,422","6,977","3,205","6,598","6,345","3,862","7,170","7,341","2,272","13,309","5,169","8,147","9,110","7,886","21,709","5,301","34,189","7,295"
2020년02월_남_0~9세,"13,585",152,575,389,252,117,480,528,95,325,410,96,"1,405",209,486,497,446,"2,141",293,"4,320",369
2020년02월_남_10~19세,"14,421",274,479,316,421,245,543,618,223,503,553,157,"1,409",315,528,753,529,"1,981",347,"3,611",616
2020년02월_남_20~29세,"22,537",499,598,498,"1,038",467,863,924,626,"1,002","1,028",407,"1,639",758,"1,218","1,362","1,050","2,886",744,"4,099",831
2020년02월_남_30~39세,"23,744",422,795,712,889,314,869,841,618,845,942,285,"1,802",608,"1,107","1,023",991,"3,126",682,"6,201",672
2020년02월_남_40~49세,"26,871",570,"1,031",635,"1,058",458,"1,034",977,580,967,"1,126",303,"2,382",712,"1,118","1,204","1,122","3,547",731,"6,284","1,032"
2020년02월_남_50~59세,"27,984",737,764,705,"1,390",576,"1,044","1,110",699,"1,323","1,245",392,"2,072","1,035","1,485","1,708","1,489","3,474","1,010","4,377","1,349"
2020년02월_남_60~69세,"22,993",656,661,649,"1,126",555,910,767,554,"1,161","1,138",346,"1,589",903,"1,295","1,448","1,274","2,783",828,"3,119","1,231"
2020년02월_남_70~79세,"12,895",461,413,364,602,350,600,394,333,765,648,201,761,468,680,790,740,"1,342",475,"1,661",847
2020년02월_남_80~89세,"4,379",182,157,147,178,117,237,167,125,259,227,82,232,153,214,299,225,399,178,469,332
2020년02월_남_90~99세,318,10,11,7,19,4,16,15,8,18,22,3,18,7,16,25,19,29,11,46,14
2020년02월_남_100세 이상,30,0,3,0,4,2,2,4,1,2,2,0,0,1,0,1,1,1,2,2,2
2020년02월_여_총인구수,"174,100","4,012","6,001","4,564","6,792","3,493","7,006","6,419","3,824","7,281","7,848","1,983","13,716","5,239","8,079","9,699","7,725","22,642","5,119","35,108","7,550"
2020년02월_여_연령구간인구수,"174,100","4,012","6,001","4,564","6,792","3,493","7,006","6,419","3,824","7,281","7,848","1,983","13,716","5,239","8,079","9,699","7,725","22,642","5,119","35,108","7,550"
2020년02월_여_0~9세,"12,928",142,581,355,253,126,440,478,82,259,414,104,"1,399",219,430,497,389,"2,012",288,"4,121",339
2020년02월_여_10~19세,"13,056",218,403,283,353,192,428,465,170,431,547,127,"1,343",312,476,687,460,"1,794",289,"3,544",534
2020년02월_여_20~29세,"19,407",386,510,507,917,358,688,756,691,852,894,221,"1,345",633,971,"1,111",905,"2,550",592,"3,883",637
2020년02월_여_30~39세,"21,512",308,824,589,712,276,789,844,445,646,824,184,"1,881",439,917,884,747,"3,008",529,"6,040",626
2020년02월_여_40~49세,"25,205",456,944,618,827,440,"1,004","1,009",455,868,"1,080",229,"2,310",597,972,"1,230",928,"3,424",615,"6,164","1,035"
2020년02월_여_50~59세,"29,750",712,897,739,"1,339",695,"1,186","1,141",662,"1,373","1,377",366,"2,227","1,116","1,614","1,987","1,449","3,752","1,048","4,680","1,390"
2020년02월_여_60~69세,"26,445",781,863,727,"1,249",690,"1,148",834,700,"1,418","1,395",342,"1,773","1,002","1,381","1,695","1,413","3,169",922,"3,608","1,335"
2020년02월_여_70~79세,"16,666",644,649,467,785,462,857,572,392,945,836,264,926,605,867,"1,018",948,"1,801",580,"2,055",993
2020년02월_여_80~89세,"7,921",316,283,233,306,228,415,278,198,423,414,132,442,276,389,520,419,978,215,884,572
2020년02월_여_90~99세,"1,120",43,40,43,45,24,46,37,26,59,60,14,65,36,60,66,66,149,37,120,84
2020년02월_여_100세 이상,90,6,7,3,6,2,5,5,3,7,7,0,5,4,2,4,1,5,4,9,5
