,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2021년07월_남_60~69세,"19,071",344,337,323,352,315,559,365,334,286,401,299,233,543,609,552,370,881,"1,261",653,686,249,"2,367","1,086","1,656","1,754","1,272",984
2021년07월_남_70~79세,"10,534",252,184,189,204,183,386,233,231,201,201,246,202,365,484,411,292,551,714,445,310,176,"1,010",526,781,798,510,449
2021년07월_남_80~89세,"3,565",111,78,118,77,90,166,81,88,81,62,81,63,142,158,167,85,185,175,134,93,78,305,145,254,273,137,138
2021년07월_남_90~99세,330,15,3,9,11,15,18,5,11,10,4,14,3,10,7,13,11,14,14,11,5,9,27,15,35,24,9,8
2021년07월_남_100세 이상,9,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0
2021년07월_여_총인구수,"131,483","1,513","2,361","1,653","1,293","1,257","2,450","1,458","1,435","1,045","1,472","1,452","1,189","2,595","3,524","2,854","2,184","6,382","11,070","3,724","4,023","1,394","27,756","6,283","12,135","16,170","7,617","5,194"
2021년07월_여_연령구간인구수,"131,483","1,513","2,361","1,653","1,293","1,257","2,450","1,458","1,435","1,045","1,472","1,452","1,189","2,595","3,524","2,854","2,184","6,382","11,070","3,724","4,023","1,394","27,756","6,283","12,135","16,170","7,617","5,194"
2021년07월_여_0~9세,"9,860",39,291,89,25,30,64,42,53,16,50,54,52,83,155,69,114,524,"1,263",180,267,90,"3,170",307,800,"1,209",504,320
2021년07월_여_10~19세,"12,742",54,198,160,45,59,96,63,71,38,69,68,77,184,280,168,94,529,980,229,332,108,"3,721",505,"1,453","2,003",781,377
2021년07월_여_20~29세,"13,234",87,166,92,90,60,136,98,94,53,126,114,93,174,329,242,212,632,"1,213",327,503,116,"3,081",672,"1,272","1,941",796,515
2021년07월_여_30~39세,"14,138",66,354,107,59,56,150,76,89,50,93,83,89,196,263,170,257,814,"1,787",302,447,118,"3,844",549,"1,061","1,689",825,544
2021년07월_여_40~49세,"20,410",109,339,182,88,85,193,124,105,85,162,134,107,296,425,252,272,912,"1,737",464,534,160,"5,607",918,"1,991","3,028","1,325",776
2021년07월_여_50~59세,"20,790",247,314,231,203,172,327,248,260,146,297,189,155,404,511,460,308,972,"1,518",588,760,228,"3,930","1,199","2,111","2,785","1,328",899
2021년07월_여_60~69세,"19,539",352,298,281,307,294,593,341,322,237,330,306,262,567,736,600,425,982,"1,395",782,664,280,"2,423","1,149","1,770","1,889","1,125",829
2021년07월_여_70~79세,"12,660",289,213,270,228,230,479,265,246,211,214,289,239,444,530,565,333,699,768,582,336,169,"1,271",643,970,"1,025",605,547
2021년07월_여_80~89세,"6,768",220,146,198,194,210,337,167,159,176,110,185,98,212,256,279,139,275,338,231,143,105,593,284,606,522,251,334
2021년07월_여_90~99세,"1,297",50,41,43,49,56,73,30,35,31,19,28,17,34,39,49,28,43,68,38,37,19,112,56,98,78,75,51
2021년07월_여_100세 이상,45,0,1,0,5,5,2,4,1,2,2,2,0,1,0,0,2,0,3,1,0,1,4,1,3,1,2,2
