,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2020년06월_계_80~89세,"11,303",597,505,157,216,133,391,230,88,556,250,202,195,170,379,431,552,515,802,210,637,227,"1,131","1,392",587,750
2020년06월_계_90~99세,"1,867",87,101,13,23,22,81,43,11,89,46,23,40,45,71,73,92,91,123,36,84,31,178,229,107,128
2020년06월_계_100세 이상,107,4,1,1,1,1,7,1,0,4,3,3,2,3,5,11,5,6,1,0,8,2,4,9,5,20
2020년06월_남_총인구수,"138,835","3,898","9,734",819,"1,331",597,"1,991","1,258",527,"8,662","1,864","1,827","1,441","1,148","4,534","4,853","5,907","7,265","10,142","2,324","6,341","2,307","17,561","23,947","8,279","10,278"
2020년06월_남_연령구간인구수,"138,835","3,898","9,734",819,"1,331",597,"1,991","1,258",527,"8,662","1,864","1,827","1,441","1,148","4,534","4,853","5,907","7,265","10,142","2,324","6,341","2,307","17,561","23,947","8,279","10,278"
2020년06월_남_0~9세,"11,236",175,"1,177",12,62,18,64,37,11,803,49,71,45,49,513,407,293,676,897,175,214,81,"1,359","2,335",674,"1,039"
2020년06월_남_10~19세,"14,214",249,"1,261",44,65,20,107,86,7,871,93,107,76,67,379,411,457,787,"1,028",230,396,121,"2,305","3,170",709,"1,168"
2020년06월_남_20~29세,"19,672",459,"1,038",74,160,29,131,108,22,"1,110",134,436,210,163,563,659,983,"1,132","1,351",312,"1,540",508,"2,679","3,267","1,187","1,417"
2020년06월_남_30~39세,"17,474",380,"1,161",57,111,44,127,61,26,"1,268",159,235,163,124,758,659,762,"1,083","1,466",254,768,354,"1,996","3,050","1,127","1,281"
2020년06월_남_40~49세,"21,099",495,"1,767",77,152,57,217,115,37,"1,498",219,216,208,140,630,719,807,"1,060","1,526",373,811,299,"2,893","3,965","1,172","1,646"
2020년06월_남_50~59세,"23,566",772,"1,564",158,286,133,405,239,110,"1,420",394,275,273,211,717,871,"1,035","1,155","1,642",381,"1,040",348,"3,146","3,985","1,385","1,621"
2020년06월_남_60~69세,"17,833",715,"1,117",222,269,141,507,326,174,"1,029",448,235,246,206,519,606,864,761,"1,305",312,817,307,"1,860","2,534","1,169","1,144"
2020년06월_남_70~79세,"9,179",426,453,110,147,91,285,188,98,452,268,177,153,120,290,342,480,413,640,182,491,179,857,"1,084",612,641
2020년06월_남_80~89세,"4,074",201,181,63,75,56,124,89,39,188,85,68,56,59,138,156,207,169,257,93,245,100,426,504,216,279
2020년06월_남_90~99세,441,24,15,2,3,8,20,9,3,22,13,5,10,7,26,19,18,28,29,12,13,9,38,52,27,29
2020년06월_남_100세 이상,47,2,0,0,1,0,4,0,0,1,2,2,1,2,1,4,1,1,1,0,6,1,2,1,1,13
2020년06월_여_총인구수,"142,565","3,893","9,911",675,"1,250",507,"1,874","1,319",422,"8,681","1,674","1,773","1,528","1,193","4,427","5,134","6,097","7,907","11,249","2,300","5,657","2,292","18,286","25,762","8,583","10,171"
2020년06월_여_연령구간인구수,"142,565","3,893","9,911",675,"1,250",507,"1,874","1,319",422,"8,681","1,674","1,773","1,528","1,193","4,427","5,134","6,097","7,907","11,249","2,300","5,657","2,292","18,286","25,762","8,583","10,171"
2020년06월_여_0~9세,"10,687",191,"1,079",16,50,7,59,38,5,715,35,38,48,44,465,419,276,661,900,171,220,72,"1,371","2,207",612,988
2020년06월_여_10~19세,"13,084",229,"1,165",23,79,18,83,67,15,852,72,85,70,56,305,351,432,719,"1,047",181,342,127,"2,194","2,922",654,996
2020년06월_여_20~29세,"17,272",374,853,56,95,13,115,68,16,"1,056",122,394,204,114,493,587,920,"1,062","1,337",237,"1,091",538,"2,435","2,973","1,038","1,081"
2020년06월_여_30~39세,"16,988",322,"1,354",40,96,30,108,57,13,"1,173",111,190,154,102,705,666,617,"1,087","1,447",248,524,270,"1,921","3,369","1,057","1,327"
2020년06월_여_40~49세,"21,460",426,"1,791",43,115,34,143,117,28,"1,392",152,176,162,130,577,687,768,"1,197","1,650",334,655,218,"3,222","4,596","1,223","1,624"
2020년06월_여_50~59세,"23,441",697,"1,529",115,229,86,335,265,78,"1,387",308,247,256,211,571,880,"1,026","1,305","1,851",397,799,352,"3,123","4,312","1,566","1,516"
2020년06월_여_60~69세,"19,047",673,"1,179",159,287,128,409,307,112,"1,081",424,289,270,205,559,719,999,887,"1,491",334,871,334,"1,953","2,796","1,319","1,262"
2020년06월_여_70~79세,"11,871",520,550,117,138,99,291,224,98,587,251,201,194,181,462,489,636,575,887,257,690,231,"1,220","1,514",659,800
2020년06월_여_80~89세,"7,229",396,324,94,141,77,267,141,49,368,165,134,139,111,241,275,345,346,545,117,392,127,705,888,371,471
2020년06월_여_90~99세,"1,426",63,86,11,20,14,61,34,8,67,33,18,30,38,45,54,74,63,94,24,71,22,140,177,80,99
2020년06월_여_100세 이상,60,2,1,1,0,1,3,1,0,3,1,1,1,1,4,7,4,5,0,0,2,1,2,8,4,7
