,전라남도 신안군,전라남도 신안군 지도읍,전라남도 신안군 지도읍선도출장소,전라남도 신안군 압해읍,전라남도 신안군 압해읍매화출장소,전라남도 신안군 압해읍고이도출장소,전라남도 신안군 증도면,전라남도 신안군 증도면병풍출장소,전라남도 신안군 임자면,전라남도 신안군 자은면,전라남도 신안군 비금면,전라남도 신안군 도초면,전라남도 신안군 도초면우이도출장소,전라남도 신안군 흑산면,전라남도 신안군 흑산면가거도출장소,전라남도 신안군 흑산면태도출장소,전라남도 신안군 흑산면홍도출장소,전라남도 신안군 흑산면대둔도출장소,전라남도 신안군 하의면,전라남도 신안군 신의면,전라남도 신안군 장산면,전라남도 신안군 안좌면,전라남도 신안군 안좌면자라출장소,전라남도 신안군 팔금면,전라남도 신안군 암태면
2020년06월_남_30~39세,"1,818",164,7,292,13,12,74,19,139,98,154,117,6,136,38,9,44,17,68,84,69,114,23,39,82
2020년06월_남_40~49세,"2,967",313,13,427,19,17,138,28,276,145,265,165,25,221,56,22,61,34,138,146,114,148,19,55,122
2020년06월_남_50~59세,"4,344",476,36,637,27,22,185,48,360,248,396,233,37,289,61,32,64,45,208,184,159,289,23,76,209
2020년06월_남_60~69세,"4,125",459,34,680,34,26,124,34,294,241,366,245,24,220,38,23,39,38,175,161,169,305,39,129,228
2020년06월_남_70~79세,"2,867",308,13,382,21,27,120,34,217,193,289,197,17,137,17,12,19,23,138,94,134,215,24,90,146
2020년06월_남_80~89세,"1,136",125,12,165,4,8,49,8,55,93,101,75,3,67,7,3,6,1,51,29,61,99,5,34,75
2020년06월_남_90~99세,86,9,0,17,1,1,1,0,2,5,7,3,0,2,0,1,0,1,4,3,3,12,2,3,9
2020년06월_남_100세 이상,5,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
2020년06월_여_총인구수,"18,549","2,064",119,"2,729",118,95,709,141,"1,510","1,071","1,707","1,262",93,"1,050",164,99,224,138,826,728,764,"1,313",131,503,991
2020년06월_여_연령구간인구수,"18,549","2,064",119,"2,729",118,95,709,141,"1,510","1,071","1,707","1,262",93,"1,050",164,99,224,138,826,728,764,"1,313",131,503,991
2020년06월_여_0~9세,809,70,3,110,4,2,27,4,95,43,67,62,3,40,6,4,17,6,45,46,36,63,4,12,40
2020년06월_여_10~19세,988,122,4,145,1,2,28,3,100,47,112,113,2,48,8,7,10,10,47,48,36,43,3,17,32
2020년06월_여_20~29세,"1,207",114,5,236,3,2,47,12,94,65,109,72,3,86,23,6,24,12,45,63,35,83,6,11,51
2020년06월_여_30~39세,"1,072",116,6,169,7,4,32,4,94,43,91,66,6,66,10,5,21,10,55,53,50,76,12,23,53
2020년06월_여_40~49세,"1,483",166,6,234,4,5,56,9,143,77,154,111,7,95,21,6,26,11,63,67,42,73,12,32,63
2020년06월_여_50~59세,"2,826",316,20,484,17,12,101,25,229,186,237,166,20,167,30,16,45,17,111,116,91,177,23,66,154
2020년06월_여_60~69세,"3,454",375,21,550,30,23,117,37,271,201,326,196,22,174,26,20,34,32,157,116,160,241,29,99,197
2020년06월_여_70~79세,"3,566",433,25,425,35,29,179,29,291,237,334,232,13,188,23,14,25,19,149,111,168,266,20,129,192
2020년06월_여_80~89세,"2,757",308,27,315,17,16,107,17,177,157,235,221,14,146,16,19,22,16,142,98,126,246,21,102,192
2020년06월_여_90~99세,376,43,2,58,0,0,14,1,16,15,42,23,2,37,1,2,0,5,12,9,19,45,1,12,17
2020년06월_여_100세 이상,11,1,0,3,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0,0
