,충청남도,충청남도 천안시,충청남도 천안시 동남구,충청남도 천안시 서북구,충청남도 공주시,충청남도 보령시,충청남도 아산시,충청남도 서산시,충청남도 논산시,충청남도 계룡시,충청남도 당진시,충청남도 금산군,충청남도 부여군,충청남도 서천군,충청남도 청양군,충청남도 홍성군,충청남도 예산군,충청남도 태안군
2021년11월_남_60~69세,"150,144","35,224","17,054","18,170","9,748","8,820","17,569","11,912","10,528","2,346","11,656","5,332","6,815","5,178","3,341","7,633","7,819","6,223"
2021년11월_남_70~79세,"78,965","13,994","7,283","6,711","5,264","5,133","8,209","6,643","5,828",990,"6,317","3,151","4,235","3,618","2,071","4,583","4,690","4,239"
2021년11월_남_80~89세,"36,356","5,484","2,970","2,514","2,573","2,316","3,618","2,982","2,786",374,"2,942","1,441","2,316","1,917","1,205","2,279","2,484","1,639"
2021년11월_남_90~99세,"3,594",522,286,236,295,224,302,272,307,38,302,133,257,224,132,228,209,149
2021년11월_남_100세 이상,75,16,9,7,9,6,9,2,7,1,2,2,3,1,3,5,4,5
2021년11월_여_총인구수,"1,036,110","321,920","125,998","195,922","51,721","48,497","155,760","84,522","57,393","21,640","78,104","25,040","32,193","25,720","14,960","49,870","38,228","30,542"
2021년11월_여_연령구간인구수,"1,036,110","321,920","125,998","195,922","51,721","48,497","155,760","84,522","57,393","21,640","78,104","25,040","32,193","25,720","14,960","49,870","38,228","30,542"
2021년11월_여_0~9세,"79,848","28,778","9,156","19,622","2,569","2,768","15,442","7,272","3,342","1,879","7,180","1,158","1,262","1,055",571,"3,541","1,598","1,433"
2021년11월_여_10~19세,"96,575","32,614","12,295","20,319","3,848","3,907","17,193","8,026","4,580","2,959","7,506","1,978","2,099","1,627",928,"4,609","2,639","2,062"
2021년11월_여_20~29세,"106,763","45,158","16,288","28,870","4,974","3,738","16,643","7,645","4,787","2,127","6,551","1,558","2,146","1,529","1,031","4,166","2,758","1,952"
2021년11월_여_30~39세,"119,935","47,821","14,988","32,833","4,145","4,072","22,611","9,591","4,798","2,270","9,275","1,605","1,889","1,416",844,"4,891","2,584","2,123"
2021년11월_여_40~49세,"151,877","53,618","20,252","33,366","6,089","6,052","26,571","12,923","6,914","4,227","11,801","2,687","3,093","2,495","1,231","6,815","4,121","3,240"
2021년11월_여_50~59세,"159,594","50,583","21,299","29,284","8,652","7,723","22,091","13,308","9,053","3,584","11,520","3,960","4,848","3,708","2,265","7,431","5,977","4,891"
2021년11월_여_60~69세,"148,903","34,431","16,848","17,583","9,738","9,061","17,386","11,805","10,371","2,540","10,958","5,051","6,757","5,348","3,178","7,871","7,809","6,599"
2021년11월_여_70~79세,"93,257","16,699","8,485","8,214","6,140","6,197","10,156","7,423","7,058","1,128","7,066","3,684","5,081","4,378","2,379","5,547","5,670","4,651"
2021년11월_여_80~89세,"67,245","10,342","5,385","4,957","4,706","4,206","6,538","5,459","5,530",768,"5,306","2,896","4,198","3,466","2,178","4,265","4,353","3,034"
2021년11월_여_90~99세,"11,729","1,813",968,845,828,748,"1,092","1,033",930,157,907,456,787,677,350,711,693,547
2021년11월_여_100세 이상,384,63,34,29,32,25,37,37,30,1,34,7,33,21,5,23,26,10
