,강원도 강릉시,강원도 강릉시 주문진읍,강원도 강릉시 성산면,강원도 강릉시 왕산면,강원도 강릉시 구정면,강원도 강릉시 강동면,강원도 강릉시 옥계면,강원도 강릉시 사천면,강원도 강릉시 연곡면,강원도 강릉시 홍제동,강원도 강릉시 중앙동,강원도 강릉시 옥천동,강원도 강릉시 교1동,강원도 강릉시 교2동,강원도 강릉시 포남1동,강원도 강릉시 포남2동,강원도 강릉시 초당동,강원도 강릉시 송정동,강원도 강릉시 내곡동,강원도 강릉시 강남동,강원도 강릉시 성덕동,강원도 강릉시 경포동
2021년05월_남_0~9세,"6,814",330,73,22,120,58,64,100,178,694,76,48,906,185,232,284,128,444,715,457,"1,302",398
2021년05월_남_10~19세,"9,762",518,101,14,143,101,85,134,236,784,136,89,"1,549",319,385,602,207,540,783,839,"1,821",376
2021년05월_남_20~29세,"13,615",831,176,52,201,275,172,245,269,873,281,189,"1,918",482,655,884,329,603,"1,332","1,156","1,866",826
2021년05월_남_30~39세,"11,258",640,110,58,163,182,131,215,302,"1,025",257,163,"1,329",438,489,703,297,654,"1,055",861,"1,636",550
2021년05월_남_40~49세,"16,313","1,086",214,66,282,284,184,312,505,"1,282",326,235,"2,114",521,763,945,347,803,"1,380","1,353","2,535",776
2021년05월_남_50~59세,"18,396","1,519",347,173,376,426,365,443,551,"1,245",408,321,"2,279",713,976,"1,200",438,774,"1,230","1,610","2,279",723
2021년05월_남_60~69세,"16,555","1,676",394,256,490,506,455,517,676,936,434,313,"1,528",690,893,"1,069",368,684,"1,052","1,419","1,661",538
2021년05월_남_70~79세,"8,779",961,221,139,231,293,252,255,373,479,281,263,784,379,506,514,157,269,478,900,723,321
2021년05월_남_80~89세,"3,657",418,95,59,107,124,93,128,142,181,110,114,374,152,212,178,79,118,184,395,300,94
2021년05월_남_90~99세,326,45,10,5,14,15,11,9,10,22,21,3,22,10,14,11,6,12,15,31,29,11
2021년05월_남_100세 이상,12,2,0,0,2,1,0,0,2,0,1,0,0,0,1,1,0,0,0,1,1,0
2021년05월_여_총인구수,"107,194","8,387","1,683",734,"2,025","1,981","1,716","2,257","3,266","7,946","2,548","1,637","13,394","3,929","5,254","6,564","2,457","5,221","8,352","8,971","14,470","4,402"
2021년05월_여_연령구간인구수,"107,194","8,387","1,683",734,"2,025","1,981","1,716","2,257","3,266","7,946","2,548","1,637","13,394","3,929","5,254","6,564","2,457","5,221","8,352","8,971","14,470","4,402"
2021년05월_여_0~9세,"6,388",311,61,4,94,44,50,94,179,661,77,39,864,173,200,280,166,474,682,461,"1,124",350
2021년05월_여_10~19세,"8,880",438,91,24,127,84,62,108,227,777,148,68,"1,441",287,342,530,188,486,752,690,"1,630",380
2021년05월_여_20~29세,"11,278",609,108,38,128,136,103,171,225,847,279,143,"1,689",454,603,752,226,532,"1,132",860,"1,595",648
2021년05월_여_30~39세,"10,107",543,88,24,168,100,78,184,257,981,174,117,"1,273",338,395,569,249,662,"1,057",739,"1,603",508
2021년05월_여_40~49세,"15,716",927,156,37,214,144,141,254,445,"1,362",301,164,"2,437",509,646,884,379,848,"1,315","1,166","2,654",733
2021년05월_여_50~59세,"18,024","1,447",323,142,312,332,291,406,545,"1,265",365,270,"2,210",703,995,"1,257",488,893,"1,295","1,503","2,315",667
2021년05월_여_60~69세,"18,131","1,865",374,228,462,457,408,523,692,"1,039",551,377,"1,780",753,"1,111","1,260",386,749,"1,131","1,602","1,790",593
2021년05월_여_70~79세,"10,801","1,317",216,132,259,369,309,274,395,601,383,304,"1,025",425,614,608,211,340,576,"1,162",999,282
2021년05월_여_80~89세,"6,468",762,217,85,200,264,234,192,250,332,210,130,569,230,292,337,139,189,346,662,634,194
2021년05월_여_90~99세,"1,353",163,45,20,60,49,39,50,50,76,58,24,101,55,54,86,25,46,64,120,121,47
2021년05월_여_100세 이상,48,5,4,0,1,2,1,1,1,5,2,1,5,2,2,1,0,2,2,6,5,0
