,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2021년11월_계_80~89세,"8,607",707,201,577,454,165,377,517,239,246,232,205,98,216,322,140,42,342,172,82,330,325,98,524,398,504,466,260,368
2021년11월_계_90~99세,"1,374",99,27,98,80,22,60,84,43,29,29,34,12,47,42,27,6,51,33,12,69,62,24,76,56,73,69,42,68
2021년11월_계_100세 이상,36,6,0,3,4,0,2,2,0,0,3,0,0,0,0,1,0,2,2,0,1,2,0,1,0,3,2,1,1
2021년11월_남_총인구수,"46,949","3,087",672,"1,864","1,450",478,"1,256","1,933",809,971,"1,279",883,359,975,"1,356",604,167,"1,271",530,195,"1,005",968,386,"5,790","4,626","4,062","3,860","1,718","4,395"
2021년11월_남_연령구간인구수,"46,949","3,087",672,"1,864","1,450",478,"1,256","1,933",809,971,"1,279",883,359,975,"1,356",604,167,"1,271",530,195,"1,005",968,386,"5,790","4,626","4,062","3,860","1,718","4,395"
2021년11월_남_0~9세,"2,556",144,25,52,39,12,38,45,25,17,50,27,14,27,77,15,1,37,9,0,16,36,19,409,382,331,279,96,334
2021년11월_남_10~19세,"3,893",251,26,105,72,15,62,137,41,40,72,33,21,53,76,29,5,73,26,13,41,39,14,731,468,436,338,164,512
2021년11월_남_20~29세,"4,440",208,34,120,99,29,86,105,36,47,85,68,17,51,74,25,8,68,19,9,63,51,16,696,546,442,468,181,789
2021년11월_남_30~39세,"3,789",245,40,112,74,20,74,104,40,60,70,52,19,48,91,44,5,79,18,7,62,41,12,606,534,473,344,123,392
2021년11월_남_40~49세,"5,790",343,75,210,136,44,120,196,89,76,142,87,29,96,133,61,14,150,47,12,104,100,36,804,691,619,509,247,620
2021년11월_남_50~59세,"8,611",560,131,341,261,113,236,336,162,192,257,187,71,212,261,143,40,247,91,43,154,172,87,982,822,717,780,320,693
2021년11월_남_60~69세,"9,429",695,166,473,369,124,323,480,200,300,335,242,112,257,341,139,59,310,160,44,271,224,103,895,719,577,607,286,618
2021년11월_남_70~79세,"5,458",397,114,280,246,67,187,338,133,147,172,112,48,152,174,84,22,196,97,32,183,180,65,492,323,321,375,212,309
2021년11월_남_80~89세,"2,717",225,57,158,139,49,118,173,74,88,91,64,27,73,118,58,13,101,58,32,100,104,31,163,133,133,143,85,109
2021년11월_남_90~99세,264,18,4,13,15,5,12,19,9,4,4,11,1,6,11,6,0,10,5,3,11,21,3,12,8,13,17,4,19
2021년11월_남_100세 이상,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년11월_여_총인구수,"48,752","3,301",705,"1,950","1,525",491,"1,320","1,979",821,915,"1,266",848,389,972,"1,435",607,149,"1,400",612,177,"1,112","1,018",413,"6,039","4,629","4,438","4,078","1,805","4,358"
2021년11월_여_연령구간인구수,"48,752","3,301",705,"1,950","1,525",491,"1,320","1,979",821,915,"1,266",848,389,972,"1,435",607,149,"1,400",612,177,"1,112","1,018",413,"6,039","4,629","4,438","4,078","1,805","4,358"
2021년11월_여_0~9세,"2,346",114,12,50,37,12,34,46,25,27,40,34,11,22,73,10,2,48,12,5,21,18,16,393,368,307,236,58,315
2021년11월_여_10~19세,"3,456",271,32,65,73,16,35,87,24,28,78,28,18,53,83,33,4,65,19,5,47,43,15,544,389,441,366,141,453
2021년11월_여_20~29세,"3,260",148,23,65,69,16,47,61,34,35,46,29,11,44,63,36,4,47,21,2,35,35,25,544,440,347,352,115,566
2021년11월_여_30~39세,"3,269",179,26,90,41,13,57,74,37,29,61,29,20,41,75,22,2,54,15,2,34,24,21,552,508,419,336,118,390
2021년11월_여_40~49세,"5,170",323,30,105,82,29,67,113,40,52,96,60,23,60,111,47,9,122,29,12,59,74,24,892,693,608,560,211,639
2021년11월_여_50~59세,"7,602",466,91,259,218,72,182,267,112,157,229,133,72,162,244,107,24,209,69,22,130,117,67,"1,017",751,737,681,294,713
2021년11월_여_60~69세,"9,683",684,160,428,320,120,323,520,188,231,337,217,93,229,316,148,43,317,158,36,267,221,87,"1,047",769,700,709,381,634
2021년11월_여_70~79세,"6,932",548,164,381,301,80,266,400,162,173,211,154,59,177,235,100,26,254,145,34,230,222,70,624,398,445,461,273,339
2021년11월_여_80~89세,"5,890",482,144,419,315,116,259,344,165,158,141,141,71,143,204,82,29,241,114,50,230,221,67,361,265,371,323,175,259
2021년11월_여_90~99세,"1,110",81,23,85,65,17,48,65,34,25,25,23,11,41,31,21,6,41,28,9,58,41,21,64,48,60,52,38,49
2021년11월_여_100세 이상,34,5,0,3,4,0,2,2,0,0,2,0,0,0,0,1,0,2,2,0,1,2,0,1,0,3,2,1,1
