,광주광역시 서구,광주광역시 서구 양동,광주광역시 서구 양3동,광주광역시 서구 농성1동,광주광역시 서구 농성2동,광주광역시 서구 광천동,광주광역시 서구 유덕동,광주광역시 서구 치평동,광주광역시 서구 상무1동,광주광역시 서구 상무2동,광주광역시 서구 화정1동,광주광역시 서구 화정2동,광주광역시 서구 화정3동,광주광역시 서구 화정4동,광주광역시 서구 서창동,광주광역시 서구 금호1동,광주광역시 서구 금호2동,광주광역시 서구 풍암동,광주광역시 서구 동천동
2020년05월_남_30~39세,"19,205",208,332,855,366,588,793,"2,202","1,948","1,645","1,237","1,543",598,895,362,"1,077","1,536","2,179",841
2020년05월_남_40~49세,"24,095",282,419,823,384,783,974,"2,291","2,048","1,706","1,209","1,796",708,"1,055",373,"1,389","2,639","3,578","1,638"
2020년05월_남_50~59세,"24,377",374,338,887,470,841,924,"2,612","1,963","2,026","1,117","1,472",828,"1,218",625,"1,859","2,513","3,083","1,227"
2020년05월_남_60~69세,"15,639",353,326,687,386,597,438,"1,277","1,196","1,591",816,"1,090",716,"1,199",480,"1,335","1,028","1,458",666
2020년05월_남_70~79세,"8,344",315,199,544,248,377,192,626,660,862,546,525,387,511,224,588,499,727,314
2020년05월_남_80~89세,"2,766",105,45,187,106,95,98,270,183,272,228,136,117,155,80,177,167,275,70
2020년05월_남_90~99세,260,8,7,14,7,18,8,23,14,27,22,11,10,16,10,17,16,26,6
2020년05월_남_100세 이상,9,2,0,1,0,2,0,1,0,1,0,0,0,0,0,0,1,1,0
2020년05월_여_총인구수,"152,776","2,093","2,461","5,670","2,532","4,352","5,284","15,970","12,649","12,427","8,303","10,582","5,358","8,298","2,727","10,942","15,063","19,338","8,727"
2020년05월_여_연령구간인구수,"152,776","2,093","2,461","5,670","2,532","4,352","5,284","15,970","12,649","12,427","8,303","10,582","5,358","8,298","2,727","10,942","15,063","19,338","8,727"
2020년05월_여_0~9세,"10,982",51,192,302,88,271,431,"1,138",886,592,444,"1,160",282,536,180,632,"1,326","1,602",869
2020년05월_여_10~19세,"15,585",78,175,320,126,335,631,"1,558","1,300",902,540,"1,003",501,755,189,"1,036","2,273","2,608","1,255"
2020년05월_여_20~29세,"22,072",192,244,876,441,546,767,"2,790","2,298","2,164","1,689","1,165",693,"1,010",297,"1,478","1,912","2,652",858
2020년05월_여_30~39세,"18,852",171,320,745,283,496,695,"2,255","1,742","1,413","1,188","1,654",549,882,315,"1,123","1,732","2,250","1,039"
2020년05월_여_40~49세,"25,885",193,335,768,304,612,987,"2,779","2,012","1,656","1,091","1,818",778,"1,257",327,"1,733","3,248","4,149","1,838"
2020년05월_여_50~59세,"25,399",340,370,852,469,802,790,"2,755","1,984","2,151","1,218","1,606",986,"1,570",531,"2,210","2,455","2,990","1,320"
2020년05월_여_60~69세,"17,563",421,424,837,399,653,460,"1,311","1,338","1,727","1,068","1,266",841,"1,345",421,"1,461","1,150","1,539",902
2020년05월_여_70~79세,"10,412",425,279,621,278,387,331,870,717,"1,157",660,603,463,587,246,762,623,975,428
2020년05월_여_80~89세,"5,045",186,103,290,121,202,163,459,308,558,340,244,215,297,172,443,282,483,179
2020년05월_여_90~99세,916,31,19,56,22,40,28,54,60,94,63,60,46,55,43,61,56,90,38
2020년05월_여_100세 이상,65,5,0,3,1,8,1,1,4,13,2,3,4,4,6,3,6,0,1
