,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2021년12월_남_90~99세,283,22,17,11,12,20,13,15,8,7,10,16,9,8,10,3,15,13,14,22,25,8,5
2021년12월_남_100세 이상,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2021년12월_여_총인구수,"69,934","3,901","1,460","1,490","1,178","1,647","1,961","1,486","1,682",939,"1,087","1,384",764,616,"1,123",539,"3,231","3,830","1,956","12,772","10,061","5,400","11,427"
2021년12월_여_연령구간인구수,"69,934","3,901","1,460","1,490","1,178","1,647","1,961","1,486","1,682",939,"1,087","1,384",764,616,"1,123",539,"3,231","3,830","1,956","12,772","10,061","5,400","11,427"
2021년12월_여_0~9세,"4,835",194,66,32,20,26,63,47,42,18,21,23,18,7,15,3,86,103,49,959,640,411,"1,992"
2021년12월_여_10~19세,"5,579",224,55,60,43,44,58,51,82,31,39,27,20,18,144,13,174,172,97,"1,532",867,481,"1,347"
2021년12월_여_20~29세,"6,246",289,114,71,61,54,109,102,104,56,54,62,28,24,36,17,245,323,128,"1,669",907,629,"1,164"
2021년12월_여_30~39세,"6,890",297,83,84,56,69,92,67,89,37,46,42,23,21,45,13,210,262,110,"1,356",941,572,"2,375"
2021년12월_여_40~49세,"9,109",416,111,105,63,91,171,96,125,67,68,66,35,32,56,43,321,377,162,"2,078","1,474",864,"2,288"
2021년12월_여_50~59세,"11,261",768,236,247,205,255,331,256,311,171,176,226,102,85,156,83,460,627,292,"2,168","1,930",921,"1,255"
2021년12월_여_60~69세,"11,815",763,324,334,301,394,457,384,399,215,274,330,176,141,245,144,844,914,478,"1,509","1,734",826,629
2021년12월_여_70~79세,"7,519",499,251,250,206,319,350,266,253,155,179,286,171,127,187,97,539,630,381,837,898,418,220
2021년12월_여_80~89세,"5,667",376,189,255,187,326,270,187,220,156,195,263,164,139,206,111,310,366,226,588,568,238,127
2021년12월_여_90~99세,982,74,30,50,35,68,59,30,54,33,33,58,26,20,32,15,41,54,32,69,100,40,29
2021년12월_여_100세 이상,31,1,1,2,1,1,1,0,3,0,2,1,1,2,1,0,1,2,1,7,2,0,1
