카테고리,서울특별시 양천구,서울특별시 양천구 목1동,서울특별시 양천구 목2동,서울특별시 양천구 목3동,서울특별시 양천구 목4동,서울특별시 양천구 목5동,서울특별시 양천구 신월1동,서울특별시 양천구 신월2동,서울특별시 양천구 신월3동,서울특별시 양천구 신월4동,서울특별시 양천구 신월5동,서울특별시 양천구 신월6동,서울특별시 양천구 신월7동,서울특별시 양천구 신정1동,서울특별시 양천구 신정2동,서울특별시 양천구 신정3동,서울특별시 양천구 신정4동,서울특별시 양천구 신정6동,서울특별시 양천구 신정7동
2020년08월_여_0~9세,"15,823","1,500",893,670,761,"1,650",497,744,430,773,510,667,554,877,665,"1,731",869,"1,022","1,010"
2020년08월_여_10~19세,"24,582","2,577","1,212",710,"1,584","3,490",697,913,552,767,622,614,711,"1,506","1,434","2,565","1,156","1,799","1,673"
2020년08월_여_20~29세,"29,538","1,764","2,599","1,838","1,970","2,209","1,262","1,300","1,003","1,052","1,033",767,"1,266","1,247","1,267","2,896","2,728","1,571","1,766"
2020년08월_여_30~39세,"29,911","1,981","2,604","2,033","1,456","2,306","1,234","1,495",945,"1,315","1,034","1,228","1,270","1,192",988,"3,017","2,513","1,579","1,721"
2020년08월_여_40~49세,"41,549","3,785","2,446","1,715","2,593","5,123","1,526","1,665","1,016","1,503","1,186","1,057","1,451","2,165","2,075","4,221","2,661","2,616","2,745"
2020년08월_여_50~59세,"38,662","2,391","2,608","2,016","2,448","3,236","1,896","1,729","1,360","1,477","1,364","1,035","1,876","1,732","1,787","4,004","2,834","2,204","2,665"
2020년08월_여_60~69세,"29,385","1,426","2,000","1,579","1,351","2,020","1,744","1,778","1,181","1,437","1,076",831,"1,803","1,103","1,093","3,044","2,537","1,309","2,073"
2020년08월_여_70~79세,"14,981",690,892,732,770,808,952,888,743,714,565,371,"1,059",580,625,"1,621","1,402",459,"1,110"
2020년08월_여_80~89세,"6,878",312,445,385,362,466,358,338,283,336,229,136,507,285,289,720,487,291,649
2020년08월_여_90~99세,"1,264",63,78,63,53,116,76,65,45,40,38,30,69,73,56,146,74,64,115
2020년08월_여_100세 이상,136,4,8,13,6,5,9,7,8,8,5,9,0,4,12,10,11,2,15
