,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2021년01월_남_0~9세,"9,140",249,"1,442",534,573,872,"1,711",736,239,296,273,373,159,360,400,185,571,167
2021년01월_남_10~19세,"11,905",467,"1,624",455,718,805,"2,656",954,466,306,385,536,258,465,622,204,670,314
2021년01월_남_20~29세,"18,514","1,956","3,160",639,"1,325",866,"2,691",925,778,486,607,890,376,735,908,606,"1,010",556
2021년01월_남_30~39세,"15,381","1,062","2,077",893,988,"1,078","1,956",917,650,552,430,746,362,679,679,709,"1,139",464
2021년01월_남_40~49세,"20,976","1,092","2,782","1,006","1,304","1,343","3,626","1,442",829,677,639,"1,087",574,992,"1,088",660,"1,196",639
2021년01월_남_50~59세,"20,885","1,094","2,209",879,"1,203","1,077","3,796","1,311","1,044",640,756,"1,204",594,"1,089","1,242",712,"1,288",747
2021년01월_남_60~69세,"18,879","1,043","1,574",912,"1,099",818,"3,049","1,286","1,144",707,664,"1,252",565,"1,219","1,086",690,"1,027",744
2021년01월_남_70~79세,"11,167",739,854,591,684,489,"1,590",740,722,409,337,710,419,780,615,432,604,452
2021년01월_남_80~89세,"3,672",272,290,217,264,148,541,194,194,116,104,221,140,224,198,160,207,182
2021년01월_남_90~99세,250,14,21,10,17,14,55,13,13,13,4,10,5,15,9,13,15,9
2021년01월_남_100세 이상,23,2,2,1,1,0,2,1,0,3,1,3,0,2,1,3,0,1
2021년01월_여_총인구수,"136,559","7,967","16,940","6,468","8,713","8,108","23,330","8,783","6,462","4,494","4,032","6,748","3,540","6,702","7,175","4,422","8,205","4,470"
2021년01월_여_연령구간인구수,"136,559","7,967","16,940","6,468","8,713","8,108","23,330","8,783","6,462","4,494","4,032","6,748","3,540","6,702","7,175","4,422","8,205","4,470"
2021년01월_여_0~9세,"8,749",282,"1,348",504,503,917,"1,732",689,263,238,233,326,140,282,361,170,581,180
2021년01월_여_10~19세,"11,054",454,"1,499",410,688,728,"2,531",842,451,333,373,445,226,435,595,175,632,237
2021년01월_여_20~29세,"16,558","1,628","3,152",606,"1,333",882,"2,305",750,652,444,424,657,286,564,802,692,916,465
2021년01월_여_30~39세,"14,663",787,"2,177",866,973,"1,145","2,234",915,515,494,369,646,290,596,623,593,"1,054",386
2021년01월_여_40~49세,"20,824",974,"2,901",878,"1,329","1,418","4,150","1,466",810,655,625,899,472,860,"1,080",540,"1,226",541
2021년01월_여_50~59세,"21,899","1,160","2,431",985,"1,262","1,177","4,061","1,403","1,134",717,708,"1,142",558,"1,089","1,267",618,"1,381",806
2021년01월_여_60~69세,"22,155","1,336","1,838","1,084","1,345","1,010","3,348","1,514","1,388",905,687,"1,352",775,"1,478","1,229",708,"1,269",889
2021년01월_여_70~79세,"13,784",929,"1,035",770,874,560,"1,965",781,854,491,431,855,554,903,816,568,759,639
2021년01월_여_80~89세,"5,868",358,456,317,358,225,863,348,337,183,148,371,208,406,351,310,343,286
2021년01월_여_90~99세,894,50,91,40,43,39,137,67,52,27,33,43,27,80,47,39,42,37
2021년01월_여_100세 이상,111,9,12,8,5,7,4,8,6,7,1,12,4,9,4,9,2,4
