,서울특별시 마포구,서울특별시 마포구 아현동,서울특별시 마포구 공덕동,서울특별시 마포구 도화동,서울특별시 마포구 용강동,서울특별시 마포구 대흥동,서울특별시 마포구 염리동,서울특별시 마포구 신수동,서울특별시 마포구 서강동,서울특별시 마포구 서교동,서울특별시 마포구 합정동,서울특별시 마포구 망원제1동,서울특별시 마포구 망원제2동,서울특별시 마포구 연남동,서울특별시 마포구 성산제1동,서울특별시 마포구 성산제2동,서울특별시 마포구 상암동
2021년10월_남_70~79세,"9,896",489,"1,043",672,543,364,349,599,589,627,505,643,611,417,555,"1,135",755
2021년10월_남_80~89세,"4,417",250,466,319,238,181,201,282,279,316,200,243,239,201,242,443,317
2021년10월_남_90~99세,443,25,39,30,31,18,15,29,31,39,26,23,19,27,14,47,30
2021년10월_남_100세 이상,31,2,2,0,0,2,3,2,0,5,0,2,2,2,2,5,2
2021년10월_여_총인구수,"195,710","13,424","19,754","11,090","11,431","7,499","8,677","11,587","13,085","13,474","9,355","10,681","9,856","7,936","10,060","21,626","16,175"
2021년10월_여_연령구간인구수,"195,710","13,424","19,754","11,090","11,431","7,499","8,677","11,587","13,085","13,474","9,355","10,681","9,856","7,936","10,060","21,626","16,175"
2021년10월_여_0~9세,"11,667","1,374","1,047",673,"1,098",295,711,832,842,400,443,485,519,302,439,"1,137","1,070"
2021년10월_여_10~19세,"13,830",866,"1,106",758,"1,067",388,768,848,851,592,463,627,758,348,733,"1,617","2,040"
2021년10월_여_20~29세,"33,987","1,728","3,537","1,493","1,180","1,966","1,337","1,614","2,684","3,561","1,857","1,792","1,528","1,718","1,671","3,921","2,400"
2021년10월_여_30~39세,"33,599","2,646","3,395","1,864","1,967","1,221","1,380","1,845","2,174","2,871","1,892","1,968","1,535","1,533","1,667","3,587","2,054"
2021년10월_여_40~49세,"30,913","2,155","2,659","1,580","2,280","1,033","1,552","2,021","2,029","1,867","1,335","1,616","1,620","1,100","1,695","3,269","3,102"
2021년10월_여_50~59세,"27,965","1,989","3,198","1,801","1,501",980,"1,229","1,788","1,892","1,590","1,250","1,489","1,443","1,035","1,498","3,039","2,243"
2021년10월_여_60~69세,"21,893","1,462","2,392","1,460","1,154",781,832,"1,317","1,353","1,235","1,058","1,323","1,225",945,"1,237","2,408","1,711"
2021년10월_여_70~79세,"13,623",705,"1,470",824,720,501,542,858,775,837,666,897,824,579,750,"1,711",964
2021년10월_여_80~89세,"6,998",411,837,529,390,273,281,397,416,429,332,421,353,314,327,793,495
2021년10월_여_90~99세,"1,161",81,102,106,71,52,36,64,67,89,57,60,47,59,41,141,88
2021년10월_여_100세 이상,74,7,11,2,3,9,9,3,2,3,2,3,4,3,2,3,8
