,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2020년11월_남_연령구간인구수,"112,094","2,825","12,574","6,108","6,161","4,322","8,499","7,658","5,565","7,242","9,261","10,669","6,127","5,644","7,462","1,306","10,671"
2020년11월_남_0~9세,"7,706",55,"1,331",482,447,137,508,794,205,405,498,587,476,329,380,35,"1,037"
2020년11월_남_10~19세,"10,341",81,"1,787",493,528,216,740,731,384,577,935,774,475,415,706,69,"1,430"
2020년11월_남_20~29세,"15,908",211,"1,405",705,775,474,"1,463",964,"1,422","1,125","1,530","1,992",743,994,862,123,"1,120"
2020년11월_남_30~39세,"13,910",254,"1,494",891,805,456,956,"1,086",680,793,"1,098","1,800",810,732,778,100,"1,177"
2020년11월_남_40~49세,"17,889",364,"2,476",966,885,578,"1,299","1,203",756,"1,153","1,390","1,690",945,891,"1,185",156,"1,952"
2020년11월_남_50~59세,"18,840",661,"1,789",955,"1,067",801,"1,533","1,224",788,"1,287","1,669","1,753","1,060",956,"1,373",275,"1,649"
2020년11월_남_60~69세,"15,658",665,"1,335",836,928,913,"1,186",937,751,"1,095","1,267","1,264",905,796,"1,181",296,"1,303"
2020년11월_남_70~79세,"8,559",387,713,558,505,513,598,516,430,580,649,608,521,385,708,163,725
2020년11월_남_80~89세,"2,975",129,224,202,194,213,193,181,139,209,215,180,167,142,259,79,249
2020년11월_남_90~99세,280,11,19,16,26,21,19,21,10,17,10,21,22,3,28,10,26
2020년11월_남_100세 이상,28,7,1,4,1,0,4,1,0,1,0,0,3,1,2,0,3
2020년11월_여_총인구수,"110,352","2,185","12,983","6,299","6,487","4,513","8,361","7,606","5,046","6,837","9,266","10,013","6,270","5,463","7,208","1,202","10,613"
2020년11월_여_연령구간인구수,"110,352","2,185","12,983","6,299","6,487","4,513","8,361","7,606","5,046","6,837","9,266","10,013","6,270","5,463","7,208","1,202","10,613"
2020년11월_여_0~9세,"7,272",54,"1,348",449,380,153,472,688,188,410,489,549,426,264,429,36,937
2020년11월_여_10~19세,"9,602",63,"1,598",418,481,191,775,658,409,567,856,731,465,405,608,72,"1,305"
2020년11월_여_20~29세,"14,216",173,"1,258",690,733,357,"1,270",871,"1,229",922,"1,429","1,889",673,958,713,85,966
2020년11월_여_30~39세,"11,803",161,"1,598",782,704,311,785,994,426,651,854,"1,321",717,579,669,63,"1,188"
2020년11월_여_40~49세,"16,147",190,"2,459",864,894,449,"1,214","1,157",521,937,"1,376","1,466",866,728,"1,035",117,"1,874"
2020년11월_여_50~59세,"17,903",350,"1,833","1,025","1,153",776,"1,470","1,220",766,"1,127","1,640","1,607","1,076",921,"1,240",199,"1,500"
2020년11월_여_60~69세,"16,671",516,"1,540","1,059","1,035",982,"1,249",983,755,"1,104","1,385","1,351","1,014",833,"1,228",250,"1,387"
2020년11월_여_70~79세,"10,521",427,883,646,665,754,719,650,486,722,809,732,656,497,822,181,872
2020년11월_여_80~89세,"5,308",214,389,296,395,470,350,324,230,346,371,311,313,231,400,173,495
2020년11월_여_90~99세,842,32,70,62,45,68,54,54,31,46,57,54,57,46,59,24,83
2020년11월_여_100세 이상,67,5,7,8,2,2,3,7,5,5,0,2,7,1,5,2,6
