,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동,광주광역시 북구 신용동
2021년02월_계_80~89세,"12,243",178,332,183,165,284,455,875,414,512,365,482,563,200,732,441,523,348,547,817,279,623,350,280,558,210,508,727,292
2021년02월_계_90~99세,"1,752",22,42,15,42,44,56,108,66,49,61,77,88,31,98,57,77,53,84,106,46,88,53,43,79,37,76,113,41
2021년02월_계_100세 이상,125,6,3,6,5,7,9,4,4,3,2,3,13,2,12,1,1,3,4,8,0,2,3,6,2,4,6,4,2
2021년02월_남_총인구수,"213,621","2,592","3,478","2,581","1,727","3,928","6,280","19,189","9,366","6,214","6,265","11,714","5,190","2,968","10,248","7,943","7,625","3,968","8,085","6,621","7,445","14,839","6,909","5,690","6,218","1,379","11,422","19,139","14,598"
2021년02월_남_연령구간인구수,"213,621","2,592","3,478","2,581","1,727","3,928","6,280","19,189","9,366","6,214","6,265","11,714","5,190","2,968","10,248","7,943","7,625","3,968","8,085","6,621","7,445","14,839","6,909","5,690","6,218","1,379","11,422","19,139","14,598"
2021년02월_남_0~9세,"16,976",104,136,141,43,283,231,"1,343",877,251,455,"1,118",206,267,796,534,557,169,453,223,537,"1,273",606,329,236,32,"1,404","2,053","2,319"
2021년02월_남_10~19세,"22,479",109,228,164,53,291,350,"2,033","1,162",472,756,"1,269",363,259,898,988,745,337,712,431,952,"2,514",947,550,450,87,"1,310","2,101","1,948"
2021년02월_남_20~29세,"32,753",419,696,481,235,489,"1,162","3,777","1,293",934,"1,037","1,616",690,399,"1,368","1,294","1,329",604,"1,234",826,"1,306","2,561","1,082",965,"1,007",141,"1,486","2,719","1,603"
2021년02월_남_30~39세,"28,863",525,450,416,251,561,"1,027","2,522","1,070",779,729,"1,836",541,414,"1,563",831,"1,070",429,991,709,885,"1,384",834,691,817,129,"1,801","3,130","2,478"
2021년02월_남_40~49세,"33,812",376,469,430,244,620,942,"2,789","1,423",871,880,"1,979",699,510,"1,558","1,141","1,159",551,"1,124",852,"1,196","2,476","1,058",841,827,139,"2,067","3,380","3,211"
2021년02월_남_50~59세,"35,139",386,513,370,333,623,"1,032","3,151","1,463","1,121","1,035","1,815",920,481,"1,657","1,420","1,169",694,"1,417","1,308","1,369","2,772","1,128","1,095","1,158",303,"1,732","2,912","1,762"
2021년02월_남_60~69세,"25,670",378,491,306,308,522,835,"2,142","1,256",975,866,"1,258",955,330,"1,382","1,084",915,585,"1,219","1,352",758,"1,166",782,763,"1,062",308,"1,023","1,793",856
2021년02월_남_70~79세,"13,239",213,328,195,184,403,503,"1,085",637,588,375,641,606,237,758,478,475,443,710,668,336,468,342,354,492,159,446,794,321
2021년02월_남_80~89세,"4,332",73,150,74,65,127,187,322,172,214,123,161,192,68,247,162,186,143,212,232,98,201,122,95,158,74,144,237,93
2021년02월_남_90~99세,347,7,16,4,10,9,11,25,13,9,8,20,15,3,19,11,20,13,13,20,8,24,8,7,11,7,9,20,7
2021년02월_남_100세 이상,11,2,1,0,1,0,0,0,0,0,1,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021년02월_여_총인구수,"216,588","2,410","3,348","2,336","1,523","4,004","5,742","19,226","10,067","6,109","6,788","12,005","5,482","2,982","10,584","8,332","8,375","3,943","8,230","7,186","6,909","15,469","7,145","5,556","6,497","1,260","11,152","18,982","14,946"
2021년02월_여_연령구간인구수,"216,588","2,410","3,348","2,336","1,523","4,004","5,742","19,226","10,067","6,109","6,788","12,005","5,482","2,982","10,584","8,332","8,375","3,943","8,230","7,186","6,909","15,469","7,145","5,556","6,497","1,260","11,152","18,982","14,946"
2021년02월_여_0~9세,"16,237",115,129,124,37,251,233,"1,305",855,303,450,"1,062",192,270,818,571,543,127,446,232,455,"1,139",571,334,269,38,"1,294","1,894","2,180"
2021년02월_여_10~19세,"20,195",86,234,138,63,270,335,"1,750","1,117",458,657,"1,082",310,267,772,903,701,305,654,405,747,"2,131",786,485,361,47,"1,238","2,049","1,844"
2021년02월_여_20~29세,"29,321",536,645,447,263,485,"1,126","3,364","1,204",817,871,"1,458",650,321,"1,207","1,135","1,263",513,"1,089",778,"1,005","2,166",897,841,908,106,"1,265","2,471","1,490"
2021년02월_여_30~39세,"26,634",442,331,293,163,553,746,"2,188","1,188",576,748,"1,774",452,397,"1,416",786,930,353,823,591,807,"1,560",854,597,671,89,"1,763","2,843","2,700"
2021년02월_여_40~49세,"33,639",241,415,303,149,529,656,"2,816","1,694",785,"1,005","1,909",596,438,"1,437","1,321","1,221",491,"1,080",766,"1,256","3,244","1,239",799,777,95,"2,007","3,271","3,099"
2021년02월_여_50~59세,"36,639",303,462,305,234,599,879,"3,501","1,647","1,055","1,287","2,070",906,440,"1,812","1,609","1,424",710,"1,494","1,332","1,286","2,841","1,323","1,066","1,303",238,"1,613","2,972","1,928"
2021년02월_여_60~69세,"28,193",318,510,333,273,653,846,"2,376","1,427","1,116","1,010","1,553","1,127",417,"1,596","1,105","1,178",715,"1,434","1,429",748,"1,189",782,769,"1,107",267,980,"1,906","1,029"
2021년02월_여_70~79세,"16,300",245,412,267,205,465,599,"1,286",636,658,464,717,795,270,952,576,720,481,800,974,386,711,417,438,631,210,555,989,441
2021년02월_여_80~89세,"7,911",105,182,109,100,157,268,553,242,298,242,321,371,132,485,279,337,205,335,585,181,422,228,185,400,136,364,490,199
2021년02월_여_90~99세,"1,405",15,26,11,32,35,45,83,53,40,53,57,73,28,79,46,57,40,71,86,38,64,45,36,68,30,67,93,34
2021년02월_여_100세 이상,114,4,2,6,4,7,9,4,4,3,1,2,10,2,10,1,1,3,4,8,0,2,3,6,2,4,6,4,2
