,전라남도 목포시,전라남도 목포시 용당1동,전라남도 목포시 용당2동,전라남도 목포시 연동,전라남도 목포시 산정동,전라남도 목포시 연산동,전라남도 목포시 원산동,전라남도 목포시 대성동,전라남도 목포시 목원동,전라남도 목포시 동명동,전라남도 목포시 삼학동,전라남도 목포시 만호동,전라남도 목포시 유달동,전라남도 목포시 죽교동,전라남도 목포시 북항동,전라남도 목포시 용해동,전라남도 목포시 이로동,전라남도 목포시 상동,전라남도 목포시 하당동,전라남도 목포시 신흥동,전라남도 목포시 삼향동,전라남도 목포시 옥암동,전라남도 목포시 부흥동,전라남도 목포시 부주동
2020년04월_남_40~49세,"19,682",856,443,416,704,871,"1,186",446,606,477,538,290,393,293,843,"1,701",928,"1,498","1,163","1,361",447,938,824,"2,460"
2020년04월_남_50~59세,"18,500",952,475,472,721,590,"1,188",414,796,505,446,352,465,330,812,"1,269",795,"1,391","1,073","1,527",404,901,852,"1,770"
2020년04월_남_60~69세,"13,401",952,481,418,571,348,726,341,747,515,456,333,432,281,622,772,642,"1,154",595,957,331,470,457,800
2020년04월_남_70~79세,"7,658",678,351,315,359,194,341,192,577,424,304,217,319,210,309,469,362,598,252,348,165,221,184,269
2020년04월_남_80~89세,"2,275",204,64,96,109,49,106,64,179,144,77,74,96,69,101,153,119,145,70,110,55,80,65,46
2020년04월_남_90~99세,186,13,4,12,9,2,8,2,22,7,3,3,6,7,3,20,4,18,7,14,4,5,6,7
2020년04월_남_100세 이상,16,3,0,2,0,1,1,1,2,1,0,2,0,2,0,0,0,1,0,0,0,0,0,0
2020년04월_여_총인구수,"114,776","5,582","2,694","2,456","4,590","5,050","7,009","2,782","3,920","2,718","3,252","1,467","2,151","1,636","4,897","9,240","5,516","9,283","6,084","8,571","2,563","5,842","5,167","12,306"
2020년04월_여_연령구간인구수,"114,776","5,582","2,694","2,456","4,590","5,050","7,009","2,782","3,920","2,718","3,252","1,467","2,151","1,636","4,897","9,240","5,516","9,283","6,084","8,571","2,563","5,842","5,167","12,306"
2020년04월_여_0~9세,"9,607",255,115,95,357,669,528,266,131,111,234,41,76,89,376,"1,023",477,793,455,695,264,552,470,"1,535"
2020년04월_여_10~19세,"12,384",408,176,166,457,576,826,245,220,174,324,71,107,130,521,"1,228",687,"1,008",542,947,260,833,547,"1,931"
2020년04월_여_20~29세,"12,746",527,248,216,502,651,819,285,342,237,365,104,180,143,540,869,528,876,"1,095","1,237",262,734,673,"1,313"
2020년04월_여_30~39세,"13,466",466,225,167,495,908,755,416,278,196,326,94,119,121,524,"1,246",664,"1,040",857,998,331,753,664,"1,823"
2020년04월_여_40~49세,"18,574",647,289,245,675,864,"1,198",404,441,299,459,154,201,192,743,"1,677",924,"1,538","1,069","1,455",409,"1,133",903,"2,655"
2020년04월_여_50~59세,"18,385",924,446,407,785,616,"1,213",419,651,436,523,233,313,230,892,"1,263",887,"1,518",939,"1,660",394,949,959,"1,728"
2020년04월_여_60~69세,"14,622","1,141",587,461,659,424,836,348,779,587,549,349,428,286,709,957,711,"1,232",603,883,314,487,512,780
2020년04월_여_70~79세,"9,641",814,409,454,408,209,544,242,698,483,326,288,441,292,394,613,399,779,320,437,205,261,282,343
2020년04월_여_80~89세,"4,548",344,161,218,212,112,250,137,310,172,132,105,249,129,173,311,194,423,171,219,107,121,138,160
2020년04월_여_90~99세,742,54,34,25,37,20,34,17,65,22,14,24,28,21,25,50,42,70,31,38,17,17,19,38
2020년04월_여_100세 이상,61,2,4,2,3,1,6,3,5,1,0,4,9,3,0,3,3,6,2,2,0,2,0,0
