,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2020년07월_계_80~89세,"13,624","1,032",500,513,867,750,470,502,651,984,540,177,813,427,619,998,565,574,475,727,319,409,712
2020년07월_계_90~99세,"2,069",164,75,81,109,126,70,75,105,157,81,39,111,71,114,165,96,62,57,111,48,61,91
2020년07월_계_100세 이상,196,12,11,12,15,13,10,15,7,17,2,11,7,4,3,10,2,5,5,3,6,12,14
2020년07월_남_총인구수,"248,030","18,146","8,925","6,623","18,318","16,696","7,029","6,663","15,941","11,043","8,746","3,818","17,517","8,555","9,611","17,132","14,497","8,607","8,630","15,716","6,760","6,678","12,379"
2020년07월_남_연령구간인구수,"248,030","18,146","8,925","6,623","18,318","16,696","7,029","6,663","15,941","11,043","8,746","3,818","17,517","8,555","9,611","17,132","14,497","8,607","8,630","15,716","6,760","6,678","12,379"
2020년07월_남_0~9세,"17,618","1,278",519,364,"1,359","1,357",518,322,"1,432",701,651,168,"1,452",470,651,"1,333","1,285",466,604,"1,039",621,418,610
2020년07월_남_10~19세,"22,962","1,471",705,475,"1,296","1,211",425,530,"2,013","1,106",923,283,"1,632",759,801,"1,923","2,217",611,820,"1,737",586,549,889
2020년07월_남_20~29세,"36,766","2,971","1,308",917,"2,893","2,606","1,033",964,"2,264","1,562","1,352",514,"2,560","1,393","1,367","2,584","1,980","1,176","1,291","2,532",942,887,"1,670"
2020년07월_남_30~39세,"35,868","3,199","1,402",935,"3,460","3,341","1,131",787,"1,864","1,281","1,126",460,"2,680","1,217","1,513","2,084","1,507","1,166","1,142","2,053","1,023",818,"1,679"
2020년07월_남_40~49세,"39,565","2,829","1,440","1,023","2,946","2,862","1,138",949,"2,725","1,597","1,322",629,"2,703","1,294","1,292","2,822","2,759","1,354","1,360","2,546","1,010","1,030","1,935"
2020년07월_남_50~59세,"44,868","2,891","1,588","1,200","3,018","2,622","1,180","1,354","2,831","1,968","1,598",854,"3,207","1,667","1,692","3,318","2,703","1,545","1,554","3,073","1,074","1,350","2,581"
2020년07월_남_60~69세,"31,259","2,105","1,123","1,011","2,023","1,670",972,"1,068","1,806","1,626","1,148",592,"2,104","1,126","1,484","1,980","1,339","1,342","1,127","1,761",980,982,"1,890"
2020년07월_남_70~79세,"14,070",975,646,503,977,747,451,513,770,840,436,255,879,473,620,792,514,720,547,707,395,469,841
2020년07월_남_80~89세,"4,576",391,170,169,311,248,170,158,215,330,173,52,277,145,166,263,178,209,167,241,118,159,266
2020년07월_남_90~99세,434,35,21,20,29,30,10,15,20,29,16,7,22,11,23,32,15,17,17,26,9,14,16
2020년07월_남_100세 이상,44,1,3,6,6,2,1,3,1,3,1,4,1,0,2,1,0,1,1,1,2,2,2
2020년07월_여_총인구수,"253,098","19,634","8,925","6,673","18,681","17,015","7,150","6,488","16,345","11,707","9,536","3,282","17,474","8,337","10,075","17,823","15,303","8,411","9,055","16,836","6,392","6,405","11,551"
2020년07월_여_연령구간인구수,"253,098","19,634","8,925","6,673","18,681","17,015","7,150","6,488","16,345","11,707","9,536","3,282","17,474","8,337","10,075","17,823","15,303","8,411","9,055","16,836","6,392","6,405","11,551"
2020년07월_여_0~9세,"16,833","1,248",492,321,"1,338","1,316",454,269,"1,405",612,603,184,"1,349",464,640,"1,265","1,316",467,600,994,512,349,635
2020년07월_여_10~19세,"21,401","1,509",660,405,"1,160","1,215",412,495,"1,826",975,902,261,"1,446",606,735,"1,804","2,122",577,801,"1,742",501,504,743
2020년07월_여_20~29세,"34,625","3,243","1,191",825,"2,976","2,595","1,051",780,"1,982","1,401","1,368",390,"2,387","1,207","1,258","2,315","1,844","1,026","1,214","2,482",767,801,"1,522"
2020년07월_여_30~39세,"33,462","2,985","1,192",816,"3,232","2,967","1,073",624,"2,078","1,219","1,096",381,"2,503","1,037","1,397","2,049","1,647","1,000","1,142","2,107",891,685,"1,341"
2020년07월_여_40~49세,"39,233","2,987","1,292",907,"2,752","2,559",963,874,"2,892","1,659","1,540",478,"2,617","1,190","1,303","3,050","3,258","1,105","1,409","2,900",905,950,"1,643"
2020년07월_여_50~59세,"46,520","3,254","1,617","1,243","3,166","2,824","1,270","1,283","2,968","2,212","1,858",647,"3,282","1,719","1,978","3,306","2,584","1,534","1,716","3,336","1,177","1,216","2,330"
2020년07월_여_60~69세,"32,972","2,411","1,318","1,062","2,239","1,934","1,021","1,139","1,829","1,801","1,175",512,"2,216","1,188","1,503","2,055","1,377","1,461","1,184","1,765",950,"1,004","1,828"
2020년07월_여_70~79세,"17,217","1,216",771,683,"1,173",996,537,608,838,"1,032",561,265,"1,043",580,716,"1,102",685,827,637,937,445,589,976
2020년07월_여_80~89세,"9,048",641,330,344,556,502,300,344,436,654,367,125,536,282,453,735,387,365,308,486,201,250,446
2020년07월_여_90~99세,"1,635",129,54,61,80,96,60,60,85,128,65,32,89,60,91,133,81,45,40,85,39,47,75
2020년07월_여_100세 이상,152,11,8,6,9,11,9,12,6,14,1,7,6,4,1,9,2,4,4,2,4,10,12
