,서울특별시 구로구,서울특별시 구로구 신도림동,서울특별시 구로구 구로제1동,서울특별시 구로구 구로제2동,서울특별시 구로구 구로제3동,서울특별시 구로구 구로제4동,서울특별시 구로구 구로제5동,서울특별시 구로구 가리봉동,서울특별시 구로구 고척제1동,서울특별시 구로구 고척제2동,서울특별시 구로구 개봉제1동,서울특별시 구로구 개봉제2동,서울특별시 구로구 개봉제3동,서울특별시 구로구 오류제1동,서울특별시 구로구 오류제2동,서울특별시 구로구 수궁동,서울특별시 구로구 항동
2021년01월_남_0~9세,"14,224","1,794",968,457,703,420,937,127,678,900,"1,082","1,114",576,597,"1,659",759,"1,453"
2021년01월_남_10~19세,"15,479","1,813","1,037",765,721,560,805,156,"1,005","1,158","1,255","1,156",780,625,"1,971","1,092",580
2021년01월_남_20~29세,"27,150","2,084","1,337","1,690","2,028","1,338","2,205",789,"1,726","1,837","2,373","1,936","1,327","1,806","2,274","1,601",799
2021년01월_남_30~39세,"32,101","2,980","1,946","1,615","2,723","1,521","2,715",732,"1,499","1,663","2,670","2,284","1,417","2,256","2,524","1,680","1,876"
2021년01월_남_40~49세,"32,312","3,211","1,829","1,835","2,221","1,509","2,108",661,"1,765","2,157","2,541","2,466","1,642","1,667","3,363","1,899","1,438"
2021년01월_남_50~59세,"31,237","2,517","1,430","2,454","1,610","1,762","2,296","1,105","1,925","2,350","2,923","2,336","1,625","1,538","2,709","1,846",811
2021년01월_남_60~69세,"26,552","1,937","1,218","1,934","1,182","1,407","1,836",894,"1,693","1,943","2,485","2,328","1,595","1,449","2,264","1,727",660
2021년01월_남_70~79세,"15,124","1,029",483,"1,188",735,971,984,403,941,"1,095","1,381","1,407",863,890,"1,497",929,328
2021년01월_남_80~89세,"4,641",285,138,413,229,339,318,135,242,363,439,378,278,273,481,252,78
2021년01월_남_90~99세,381,19,18,24,26,27,23,17,23,25,33,35,23,15,41,21,11
2021년01월_남_100세 이상,42,2,2,6,2,5,0,5,1,2,2,3,4,1,3,4,0
2021년01월_여_총인구수,"204,275","18,450","10,825","12,163","11,681","10,454","15,060","4,250","11,562","13,775","17,167","16,214","10,597","11,576","20,144","12,104","8,253"
2021년01월_여_연령구간인구수,"204,275","18,450","10,825","12,163","11,681","10,454","15,060","4,250","11,562","13,775","17,167","16,214","10,597","11,576","20,144","12,104","8,253"
2021년01월_여_0~9세,"13,630","1,801",904,430,640,391,891,105,638,909,"1,103","1,040",599,616,"1,565",705,"1,293"
2021년01월_여_10~19세,"14,491","1,695",926,674,697,555,786,130,932,"1,073","1,191","1,146",674,591,"1,920",901,600
2021년01월_여_20~29세,"28,109","2,216","1,484","1,543","2,104","1,488","2,822",718,"1,567","1,748","2,265","1,916","1,256","2,244","2,370","1,477",891
2021년01월_여_30~39세,"30,803","3,243","1,935","1,311","2,289","1,395","2,716",521,"1,371","1,632","2,434","2,262","1,342","2,087","2,622","1,621","2,022"
2021년01월_여_40~49세,"30,687","3,315","1,802","1,639","1,807","1,453","2,007",509,"1,731","2,114","2,408","2,361","1,556","1,513","3,302","1,925","1,245"
2021년01월_여_50~59세,"31,919","2,591","1,580","2,243","1,447","1,751","2,258",758,"1,995","2,410","2,924","2,636","1,839","1,507","2,971","2,064",945
2021년01월_여_60~69세,"29,700","2,107","1,424","2,115","1,400","1,703","1,943",749,"1,852","2,045","2,663","2,729","1,894","1,565","2,808","1,894",809
2021년01월_여_70~79세,"16,740",963,497,"1,493",855,"1,154","1,102",467,998,"1,248","1,476","1,493",950,968,"1,764","1,029",283
2021년01월_여_80~89세,"6,904",435,223,590,373,487,470,232,405,512,592,537,424,402,684,408,130
2021년01월_여_90~99세,"1,153",76,46,101,50,65,63,43,68,78,104,86,56,79,132,72,34
2021년01월_여_100세 이상,139,8,4,24,19,12,2,18,5,6,7,8,7,4,6,8,1
