카테고리,경기도 평택시,경기도 평택시 팽성읍,경기도 평택시 안중읍,경기도 평택시 포승읍,경기도 평택시 청북읍,경기도 평택시 진위면,경기도 평택시 서탄면,경기도 평택시 고덕면,경기도 평택시 오성면,경기도 평택시 현덕면,경기도 평택시 중앙동,경기도 평택시 서정동,경기도 평택시 송탄동,경기도 평택시 지산동,경기도 평택시 송북동,경기도 평택시 신장1동,경기도 평택시 신장2동,경기도 평택시 신평동,경기도 평택시 원평동,경기도 평택시 통복동,경기도 평택시 비전1동,경기도 평택시 비전2동,경기도 평택시 용이동,경기도 평택시 세교동
2020년09월_여_10~19세,"25,628",830,"2,901",934,"1,503",376,89,881,244,138,"2,442","1,137",927,491,"1,102",238,140,849,325,91,"4,283","2,910","1,481","1,316"
2020년09월_여_20~29세,"32,575","1,230","2,641","1,084",989,594,137,"1,261",302,192,"3,131","1,664","1,203","1,013","1,358",471,320,"1,773",700,264,"5,208","3,579","1,539","1,922"
2020년09월_여_30~39세,"36,215","1,310","2,647","1,322","2,369",488,137,"1,819",243,147,"2,415","1,349","1,600",902,"1,307",583,257,"1,262",646,157,"7,357","4,001","2,222","1,675"
2020년09월_여_40~49세,"43,446","1,745","4,259","1,636","2,255",719,172,"1,487",363,235,"3,837","1,977","1,617",920,"1,820",562,310,"1,660",766,241,"7,457","4,907","2,375","2,126"
2020년09월_여_50~59세,"40,751","2,342","3,118","1,450","1,272",959,295,"1,501",554,431,"3,936","2,403","1,533",887,"2,033",548,488,"2,101",887,376,"5,324","4,341","1,481","2,491"
2020년09월_여_60~69세,"27,030","2,471","1,802","1,134","1,045",844,326,899,561,554,"2,224","1,704",750,608,"1,342",508,536,"1,509",763,388,"2,684","2,374",691,"1,313"
2020년09월_여_70~79세,"15,968","1,656","1,115",663,550,538,237,498,394,405,"1,247","1,070",387,409,827,353,442,891,484,241,"1,261","1,249",294,757
2020년09월_여_80~89세,"8,966",967,638,410,365,318,174,323,292,291,696,555,230,177,410,162,234,457,266,118,683,644,161,395
2020년09월_여_90~99세,"1,467",158,111,79,83,48,19,66,48,60,94,75,39,37,70,34,41,58,44,18,106,96,25,58
2020년09월_여_100세 이상,163,35,9,4,5,4,1,3,2,3,11,8,3,4,7,6,14,8,11,3,7,11,0,4
