,부산광역시 사하구,부산광역시 사하구 괴정제1동,부산광역시 사하구 괴정제2동,부산광역시 사하구 괴정제3동,부산광역시 사하구 괴정제4동,부산광역시 사하구 당리동,부산광역시 사하구 하단제1동,부산광역시 사하구 하단제2동,부산광역시 사하구 신평제1동,부산광역시 사하구 신평제2동,부산광역시 사하구 장림제1동,부산광역시 사하구 장림제2동,부산광역시 사하구 다대제1동,부산광역시 사하구 다대제2동,부산광역시 사하구 구평동,부산광역시 사하구 감천제1동,부산광역시 사하구 감천제2동
2021년12월_남_60~69세,"25,583","1,616","1,214","1,156","1,044","2,309","1,691","1,672","1,562","1,263",787,"2,216","3,126","2,557",864,"1,855",651
2021년12월_남_70~79세,"12,422",997,718,626,588,"1,169",770,792,730,518,413,957,"1,370","1,040",371,931,432
2021년12월_남_80~89세,"3,678",314,203,204,201,324,260,255,208,134,100,226,403,345,76,258,167
2021년12월_남_90~99세,260,29,10,16,10,28,8,14,13,13,3,11,43,27,3,20,12
2021년12월_남_100세 이상,4,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1
2021년12월_여_총인구수,"153,806","10,154","7,154","6,509","6,308","13,580","10,792","12,724","8,175","7,868","5,169","13,453","19,400","13,885","6,314","9,434","2,887"
2021년12월_여_연령구간인구수,"153,806","10,154","7,154","6,509","6,308","13,580","10,792","12,724","8,175","7,868","5,169","13,453","19,400","13,885","6,314","9,434","2,887"
2021년12월_여_0~9세,"8,874",472,392,236,326,736,560,630,489,474,416,828,"1,373",788,651,433,70
2021년12월_여_10~19세,"11,861",738,555,352,484,"1,074",815,"1,004",517,624,444,"1,131","1,808","1,117",430,657,111
2021년12월_여_20~29세,"17,723","1,049",728,673,638,"1,584","1,667","2,334",800,980,471,"1,572","1,939","1,381",707,990,210
2021년12월_여_30~39세,"16,355","1,005",663,671,638,"1,347","1,232","1,443",857,968,645,"1,560","2,037","1,235","1,108",793,153
2021년12월_여_40~49세,"21,792","1,337","1,022",736,896,"1,920","1,437","1,688","1,133","1,152",866,"2,098","3,150","2,010",947,"1,140",260
2021년12월_여_50~59세,"27,082","1,806","1,135","1,091","1,057","2,527","1,878","2,124","1,434","1,496",778,"2,402","3,492","2,632",996,"1,782",452
2021년12월_여_60~69세,"27,757","1,938","1,415","1,457","1,281","2,529","1,839","2,016","1,583","1,354",827,"2,319","3,026","2,574",915,"2,038",646
2021년12월_여_70~79세,"14,542","1,109",828,854,656,"1,212",891,"1,005",899,542,496,"1,075","1,620","1,319",383,"1,057",596
2021년12월_여_80~89세,"6,691",593,357,385,281,554,401,412,408,231,206,402,819,706,135,467,334
2021년12월_여_90~99세,"1,107",103,59,54,49,96,72,65,53,47,20,65,136,119,40,76,53
2021년12월_여_100세 이상,22,4,0,0,2,1,0,3,2,0,0,1,0,4,2,1,2
