,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2020년06월_남_총인구수,"899,137","322,788","165,043","157,745","135,579","141,545","54,267","39,703","41,262","47,126","12,876","11,952","11,073","14,175","13,605","27,076","26,110"
2020년06월_남_연령구간인구수,"899,137","322,788","165,043","157,745","135,579","141,545","54,267","39,703","41,262","47,126","12,876","11,952","11,073","14,175","13,605","27,076","26,110"
2020년06월_남_0~9세,"68,076","28,268","12,964","15,304","11,060","10,216","3,408","2,742","2,342","3,662",678,677,621,729,819,"1,469","1,385"
2020년06월_남_10~19세,"92,137","37,621","19,135","18,486","14,093","14,638","5,264","3,853","3,244","4,381",884,906,837,947,"1,149","2,285","2,035"
2020년06월_남_20~29세,"114,090","48,473","25,493","22,980","16,185","19,852","5,897","4,230","4,058","4,974","1,124","1,008",961,"1,283","1,169","2,458","2,418"
2020년06월_남_30~39세,"99,483","41,617","20,363","21,254","16,475","15,373","4,870","3,369","3,662","4,981",842,964,848,"1,131","1,023","2,147","2,181"
2020년06월_남_40~49세,"140,191","52,740","25,856","26,884","23,046","21,786","7,981","5,635","5,773","7,574","1,651","1,618","1,503","1,811","1,927","3,634","3,512"
2020년06월_남_50~59세,"155,636","51,865","27,403","24,462","23,003","25,097","10,024","7,320","7,637","8,552","2,596","2,335","2,093","2,704","2,479","5,028","4,903"
2020년06월_남_60~69세,"122,735","35,553","19,429","16,124","18,018","19,470","8,157","6,317","7,148","6,953","2,469","2,162","2,101","2,588","2,362","4,685","4,752"
2020년06월_남_70~79세,"73,606","19,132","10,361","8,771","10,012","10,641","5,747","4,068","4,882","4,139","1,742","1,419","1,353","1,895","1,697","3,572","3,307"
2020년06월_남_80~89세,"30,091","6,876","3,681","3,195","3,350","4,007","2,640","1,948","2,246","1,740",790,791,691,984,885,"1,659","1,484"
2020년06월_남_90~99세,"2,918",613,342,271,301,442,259,210,257,160,91,68,61,96,94,138,128
2020년06월_남_100세 이상,174,30,16,14,36,23,20,11,13,10,9,4,4,7,1,1,5
2020년06월_여_총인구수,"909,665","332,684","173,654","159,030","132,777","142,672","55,236","41,348","42,065","44,715","12,633","12,090","11,167","13,608","14,413","27,782","26,475"
2020년06월_여_연령구간인구수,"909,665","332,684","173,654","159,030","132,777","142,672","55,236","41,348","42,065","44,715","12,633","12,090","11,167","13,608","14,413","27,782","26,475"
2020년06월_여_0~9세,"64,647","26,906","12,202","14,704","10,648","9,805","3,256","2,428","2,180","3,584",674,581,586,673,760,"1,301","1,265"
2020년06월_여_10~19세,"85,602","35,113","17,738","17,375","13,083","13,923","4,609","3,611","3,087","3,974",788,899,826,817,"1,106","1,964","1,802"
2020년06월_여_20~29세,"97,463","43,788","23,606","20,182","13,468","16,660","4,850","3,363","3,271","3,986",858,794,732,912,956,"1,890","1,935"
2020년06월_여_30~39세,"93,531","40,782","19,771","21,011","15,083","13,970","4,303","3,258","3,199","4,761",897,793,780,933,"1,069","1,866","1,837"
2020년06월_여_40~49세,"131,414","54,917","28,187","26,730","20,885","20,856","7,183","5,326","4,482","6,043","1,169","1,291","1,135","1,161","1,470","2,736","2,760"
2020년06월_여_50~59세,"145,533","53,811","29,530","24,281","20,954","24,364","8,659","6,493","6,437","6,820","2,000","1,890","1,625","2,085","2,082","4,195","4,118"
2020년06월_여_60~69세,"126,156","38,910","21,606","17,304","18,487","19,855","8,314","6,349","7,148","6,511","2,243","2,101","2,065","2,304","2,331","4,795","4,743"
2020년06월_여_70~79세,"94,173","23,953","12,954","10,999","12,354","13,366","7,594","5,676","6,388","4,918","2,081","1,984","1,782","2,418","2,506","4,809","4,344"
2020년06월_여_80~89세,"60,277","12,316","6,811","5,505","6,558","8,365","5,500","4,103","4,923","3,483","1,634","1,484","1,396","1,961","1,838","3,550","3,166"
2020년06월_여_90~99세,"10,203","2,058","1,184",874,"1,175","1,426",881,711,893,600,271,259,222,329,266,642,470
2020년06월_여_100세 이상,666,130,65,65,82,82,87,30,57,35,18,14,18,15,29,34,35
