,서울특별시 성북구,서울특별시 성북구 성북동,서울특별시 성북구 삼선동,서울특별시 성북구 동선동,서울특별시 성북구 돈암제1동,서울특별시 성북구 돈암제2동,서울특별시 성북구 안암동,서울특별시 성북구 보문동,서울특별시 성북구 정릉제1동,서울특별시 성북구 정릉제2동,서울특별시 성북구 정릉제3동,서울특별시 성북구 정릉제4동,서울특별시 성북구 길음제1동,서울특별시 성북구 길음제2동,서울특별시 성북구 종암동,서울특별시 성북구 월곡제1동,서울특별시 성북구 월곡제2동,서울특별시 성북구 장위제1동,서울특별시 성북구 장위제2동,서울특별시 성북구 장위제3동,서울특별시 성북구 석관동
2021년04월_여_총인구수,"224,716","8,907","12,087","8,983","7,954","12,742","7,434","8,032","9,543","11,958","7,628","13,030","18,729","8,580","19,753","13,796","10,189","12,400","6,933","8,231","17,807"
2021년04월_여_연령구간인구수,"224,716","8,907","12,087","8,983","7,954","12,742","7,434","8,032","9,543","11,958","7,628","13,030","18,729","8,580","19,753","13,796","10,189","12,400","6,933","8,231","17,807"
2021년04월_여_0~9세,"14,009",392,525,292,410,979,220,487,650,708,288,753,"1,878",670,"1,267","1,010",488,881,291,855,965
2021년04월_여_10~19세,"18,170",549,882,545,663,"1,392",408,480,886,886,472,"1,028","2,496",677,"1,667","1,348",747,917,436,673,"1,018"
2021년04월_여_20~29세,"34,490","1,523","2,332","3,015","1,068","1,517","2,466","1,352","1,155","1,614","1,349","1,568","1,760","1,086","2,678","1,630","1,991","1,673","1,000","1,072","2,641"
2021년04월_여_30~39세,"29,771","1,287","1,633","1,343","1,009","1,567",879,"1,259","1,327","1,528",791,"1,646","2,497","1,227","2,552","1,804","1,294","1,603",814,"1,349","2,362"
2021년04월_여_40~49세,"35,028","1,318","1,828","1,039","1,122","2,339",792,"1,190","1,635","1,788",950,"2,107","4,070","1,509","3,188","2,264","1,405","1,861",880,"1,296","2,447"
2021년04월_여_50~59세,"34,998","1,435","1,847",978,"1,400","2,120","1,013","1,293","1,438","1,943","1,197","2,156","2,448","1,381","3,179","2,102","1,478","2,183","1,176","1,247","2,984"
2021년04월_여_60~69세,"29,388","1,124","1,412",822,"1,163","1,450",768,"1,020","1,221","1,807","1,232","1,969","1,790","1,103","2,517","1,874","1,406","1,777","1,152","1,007","2,774"
2021년04월_여_70~79세,"18,533",764,"1,037",598,712,831,563,610,798,"1,100",832,"1,180","1,183",616,"1,640","1,186",878,972,777,486,"1,770"
2021년04월_여_80~89세,"8,783",411,506,296,355,449,279,284,370,496,437,526,510,269,903,501,428,461,350,211,741
2021년04월_여_90~99세,"1,470",93,74,45,48,95,42,54,60,87,78,93,93,41,158,77,71,71,55,31,104
2021년04월_여_100세 이상,76,11,11,10,4,3,4,3,3,1,2,4,4,1,4,0,3,1,2,4,1
