,경상남도 김해시,경상남도 김해시 진영읍,경상남도 김해시 주촌면,경상남도 김해시 진례면,경상남도 김해시 한림면,경상남도 김해시 생림면,경상남도 김해시 상동면,경상남도 김해시 대동면,경상남도 김해시 동상동,경상남도 김해시 회현동,경상남도 김해시 부원동,경상남도 김해시 내외동,경상남도 김해시 북부동,경상남도 김해시 칠산서부동,경상남도 김해시 활천동,경상남도 김해시 삼안동,경상남도 김해시 불암동,경상남도 김해시 장유1동,경상남도 김해시 장유2동,경상남도 김해시 장유3동
2021년12월_남_총인구수,"271,899","28,651","9,585","3,498","3,980","2,038","1,732","2,913","4,933","4,480","5,015","36,435","40,005","5,060","20,327","16,638","3,838","28,237","18,284","36,250"
2021년12월_남_연령구간인구수,"271,899","28,651","9,585","3,498","3,980","2,038","1,732","2,913","4,933","4,480","5,015","36,435","40,005","5,060","20,327","16,638","3,838","28,237","18,284","36,250"
2021년12월_남_0~9세,"23,430","3,166","1,459",111,90,54,51,65,268,303,280,"2,308","3,517",283,"1,225",708,248,"2,430","1,678","5,186"
2021년12월_남_10~19세,"31,096","3,227",675,162,159,63,67,117,315,278,312,"3,747","5,373",368,"1,942","1,491",363,"4,055","2,624","5,758"
2021년12월_남_20~29세,"36,374","2,893","1,031",352,340,178,148,207,710,555,750,"6,465","5,760",688,"3,157","3,076",535,"3,674","2,407","3,448"
2021년12월_남_30~39세,"34,264","4,212","2,035",291,349,146,147,207,680,578,642,"4,481","4,605",536,"2,313","1,633",407,"3,396","2,194","5,412"
2021년12월_남_40~49세,"47,783","5,842","1,664",482,451,209,198,300,671,615,710,"5,256","7,044",715,"3,083","2,309",566,"5,642","3,698","8,328"
2021년12월_남_50~59세,"50,538","4,459","1,416",801,869,450,407,525,993,821,"1,049","7,826","7,723","1,064","4,316","3,647",799,"5,194","3,367","4,812"
2021년12월_남_60~69세,"32,282","3,167",950,785,"1,034",548,450,876,858,809,825,"4,564","4,143",924,"2,973","2,628",618,"2,429","1,531","2,170"
2021년12월_남_70~79세,"12,018","1,250",268,349,500,280,202,451,333,379,335,"1,316","1,368",361,"1,018",842,224,"1,040",591,911
2021년12월_남_80~89세,"3,837",412,78,155,179,106,58,149,98,132,109,442,434,116,280,283,71,349,177,209
2021년12월_남_90~99세,272,23,9,10,9,4,4,16,6,9,3,30,38,5,20,20,7,27,16,16
2021년12월_남_100세 이상,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0
2021년12월_여_총인구수,"265,774","26,987","9,124","2,885","3,311","1,787","1,406","2,701","4,717","4,497","4,814","36,678","39,910","4,459","19,628","15,910","3,683","28,483","17,985","36,809"
2021년12월_여_연령구간인구수,"265,774","26,987","9,124","2,885","3,311","1,787","1,406","2,701","4,717","4,497","4,814","36,678","39,910","4,459","19,628","15,910","3,683","28,483","17,985","36,809"
2021년12월_여_0~9세,"22,424","2,946","1,422",86,72,30,30,65,251,267,262,"2,129","3,343",231,"1,126",671,205,"2,556","1,645","5,087"
2021년12월_여_10~19세,"29,005","3,007",634,135,120,51,64,90,317,256,293,"3,474","4,903",339,"1,785","1,346",376,"3,818","2,475","5,522"
2021년12월_여_20~29세,"30,210","2,293",993,196,199,115,105,130,587,449,610,"5,413","4,801",510,"2,660","2,431",433,"3,209","1,932","3,144"
2021년12월_여_30~39세,"31,958","3,938","1,964",207,197,99,81,140,514,560,547,"3,958","4,471",410,"1,886","1,275",340,"3,322","2,083","5,966"
2021년12월_여_40~49세,"48,295","5,143","1,464",292,233,136,121,200,636,541,613,"5,936","7,841",585,"3,001","2,285",572,"6,073","3,942","8,681"
2021년12월_여_50~59세,"48,180","4,018","1,439",563,626,346,299,459,932,843,"1,027","8,366","7,543",896,"4,353","3,727",773,"4,699","3,009","4,262"
2021년12월_여_60~69세,"30,935","3,199",725,674,850,467,376,785,822,809,853,"4,143","4,019",818,"2,772","2,321",560,"2,624","1,607","2,511"
2021년12월_여_70~79세,"15,122","1,458",251,410,514,312,188,470,410,506,402,"1,932","1,854",411,"1,297","1,120",276,"1,383",840,"1,088"
2021년12월_여_80~89세,"8,379",840,205,256,427,201,111,300,217,225,183,"1,190",997,229,664,649,130,701,379,475
2021년12월_여_90~99세,"1,241",140,27,66,72,30,28,60,30,40,23,133,136,29,83,85,18,96,73,72
2021년12월_여_100세 이상,25,5,0,0,1,0,3,2,1,1,1,4,2,1,1,0,0,2,0,1
