,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동
2020년05월_남_100세 이상,10,3,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1
2020년05월_여_총인구수,"173,104","20,854","1,149","1,538","2,781","4,118","2,763","3,452","2,723","1,678","1,176","9,886","28,146","16,701","12,033","15,446","17,614","15,725","9,963","5,358"
2020년05월_여_연령구간인구수,"173,104","20,854","1,149","1,538","2,781","4,118","2,763","3,452","2,723","1,678","1,176","9,886","28,146","16,701","12,033","15,446","17,614","15,725","9,963","5,358"
2020년05월_여_0~9세,"23,013","1,625",43,55,179,153,99,200,103,49,56,"1,342","4,430","2,106","1,859","2,441","3,094","2,746","1,636",797
2020년05월_여_10~19세,"20,389","2,068",53,62,168,198,146,199,180,64,92,"1,680","3,494","2,255","2,057","2,091","2,271","1,606","1,201",504
2020년05월_여_20~29세,"17,923","2,797",128,118,253,358,352,311,246,127,113,843,"3,282","2,080",859,"1,418","1,368","1,622","1,011",637
2020년05월_여_30~39세,"31,363","2,460",99,127,251,330,252,284,207,98,77,"1,483","6,373","3,141","2,079","3,151","3,748","3,885","2,129","1,189"
2020년05월_여_40~49세,"32,281","3,262",113,132,340,379,296,361,297,143,143,"2,364","5,462","3,530","3,049","3,142","3,631","2,833","1,903",901
2020년05월_여_50~59세,"20,879","3,210",228,243,464,732,537,566,480,298,198,"1,190","2,868","1,810","1,169","1,553","1,756","1,727","1,106",744
2020년05월_여_60~69세,"14,248","2,613",205,318,490,834,495,634,441,377,193,560,"1,493",975,581,978,"1,179",850,636,396
2020년05월_여_70~79세,"7,478","1,724",143,225,366,612,306,500,393,264,152,255,448,463,234,416,399,270,206,102
2020년05월_여_80~89세,"4,611",918,114,209,239,439,242,335,304,215,133,146,242,282,113,224,134,144,108,70
2020년05월_여_90~99세,873,166,21,46,30,77,36,58,67,38,19,21,53,59,32,32,33,41,26,18
2020년05월_여_100세 이상,46,11,2,3,1,6,2,4,5,5,0,2,1,0,1,0,1,1,1,0
