,경상남도 거제시,경상남도 거제시 일운면,경상남도 거제시 동부면,경상남도 거제시 남부면,경상남도 거제시 거제면,경상남도 거제시 둔덕면,경상남도 거제시 사등면,경상남도 거제시 사등면가조출장소,경상남도 거제시 연초면,경상남도 거제시 하청면,경상남도 거제시 하청면칠천출장소,경상남도 거제시 장목면,경상남도 거제시 장목면외포출장소,경상남도 거제시 장승포동,경상남도 거제시 능포동,경상남도 거제시 아주동,경상남도 거제시 옥포1동,경상남도 거제시 옥포2동,경상남도 거제시 장평동,경상남도 거제시 고현동,경상남도 거제시 상문동,경상남도 거제시 수양동
2020년07월_남_60~69세,"13,246",660,341,208,685,375,727,155,680,347,138,338,162,442,834,742,511,"1,666",860,"1,865",825,685
2020년07월_남_70~79세,"5,017",281,232,107,371,214,395,63,299,205,91,231,94,158,284,178,150,406,231,565,253,209
2020년07월_남_80~89세,"1,468",97,88,44,142,80,105,17,108,78,30,99,36,42,68,40,26,89,32,116,65,66
2020년07월_남_90~99세,123,7,3,4,11,6,11,3,10,6,3,6,3,5,6,5,1,3,5,13,6,6
2020년07월_남_100세 이상,7,1,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
2020년07월_여_총인구수,"117,074","3,849","1,528",797,"3,716","1,452","5,857",543,"3,778","1,758",545,"1,590",693,"2,870","4,420","12,705","3,330","12,715","8,823","17,491","17,072","11,542"
2020년07월_여_연령구간인구수,"117,074","3,849","1,528",797,"3,716","1,452","5,857",543,"3,778","1,758",545,"1,590",693,"2,870","4,420","12,705","3,330","12,715","8,823","17,491","17,072","11,542"
2020년07월_여_0~9세,"13,416",279,34,17,199,32,755,15,252,99,12,34,28,211,271,"2,283",293,"1,297",790,"1,777","3,017","1,721"
2020년07월_여_10~19세,"13,211",304,61,29,294,67,547,23,321,120,12,47,33,322,447,"1,595",284,"1,417","1,092","2,078","2,363","1,755"
2020년07월_여_20~29세,"10,756",295,105,35,263,81,408,31,331,146,29,104,35,282,457,"1,066",327,"1,333","1,126","1,880","1,456",966
2020년07월_여_30~39세,"17,884",408,89,35,310,64,948,27,403,147,27,80,45,280,431,"2,914",483,"1,773","1,238","2,551","3,596","2,035"
2020년07월_여_40~49세,"21,606",568,153,64,455,133,946,49,572,181,39,141,71,490,732,"2,545",577,"2,360","1,791","3,449","3,559","2,731"
2020년07월_여_50~59세,"18,207",767,292,142,637,293,864,115,737,316,90,283,115,545,913,"1,294",669,"2,421","1,636","2,944","1,812","1,322"
2020년07월_여_60~69세,"12,197",622,351,182,670,329,689,126,576,348,123,334,144,396,700,634,463,"1,426",801,"1,875",790,618
2020년07월_여_70~79세,"5,686",336,250,172,440,245,411,101,311,209,114,293,125,206,304,220,143,432,213,610,316,235
2020년07월_여_80~89세,"3,426",234,168,105,354,172,248,47,234,154,80,234,81,118,139,128,77,211,110,277,127,128
2020년07월_여_90~99세,648,34,25,16,87,34,37,9,40,37,19,39,15,12,24,26,14,43,25,48,35,29
2020년07월_여_100세 이상,37,2,0,0,7,2,4,0,1,1,0,1,1,8,2,0,0,2,1,2,1,2
