,전라북도 익산시,전라북도 익산시 함열읍,전라북도 익산시 오산면,전라북도 익산시 황등면,전라북도 익산시 함라면,전라북도 익산시 웅포면,전라북도 익산시 성당면,전라북도 익산시 용안면,전라북도 익산시 낭산면,전라북도 익산시 망성면,전라북도 익산시 여산면,전라북도 익산시 금마면,전라북도 익산시 왕궁면,전라북도 익산시 춘포면,전라북도 익산시 삼기면,전라북도 익산시 용동면,전라북도 익산시 중앙동,전라북도 익산시 평화동,전라북도 익산시 인화동,전라북도 익산시 동산동,전라북도 익산시 마동,전라북도 익산시 남중동,전라북도 익산시 모현동,전라북도 익산시 송학동,전라북도 익산시 영등1동,전라북도 익산시 영등2동,전라북도 익산시 어양동,전라북도 익산시 신동,전라북도 익산시 팔봉동,전라북도 익산시 삼성동
2020년11월_계_80~89세,"12,466",488,498,614,246,219,218,321,326,364,319,309,534,416,270,209,217,193,429,851,352,647,"1,172",251,572,239,418,712,277,785
2020년11월_계_90~99세,"1,962",81,76,107,49,41,40,50,39,55,44,43,101,76,53,33,43,31,49,105,55,83,174,29,114,33,56,124,77,101
2020년11월_계_100세 이상,108,6,3,11,4,1,3,0,1,4,2,2,7,2,4,3,5,3,2,10,2,3,5,2,3,0,3,12,3,2
2020년11월_남_총인구수,"140,745","3,426","3,916","3,623","1,142",809,991,"1,342","1,634","1,493","1,694","2,798","2,258","2,376","1,347",778,"1,853","2,588","3,630","11,226","4,828","5,971","18,590","4,270","11,516","7,058","12,447","7,938","3,464","15,739"
2020년11월_남_연령구간인구수,"140,745","3,426","3,916","3,623","1,142",809,991,"1,342","1,634","1,493","1,694","2,798","2,258","2,376","1,347",778,"1,853","2,588","3,630","11,226","4,828","5,971","18,590","4,270","11,516","7,058","12,447","7,938","3,464","15,739"
2020년11월_남_0~9세,"9,873",197,267,139,30,13,25,37,52,40,79,175,58,105,39,11,63,172,172,843,239,255,"1,892",439,785,655,"1,202",323,287,"1,279"
2020년11월_남_10~19세,"14,324",277,313,260,60,41,48,71,82,61,92,169,114,169,60,49,84,158,222,"1,204",403,479,"2,138",514,"1,395","1,096","1,750",557,332,"2,126"
2020년11월_남_20~29세,"19,778",354,364,394,104,49,77,102,124,88,186,445,144,235,140,58,212,280,456,"1,386",747,759,"2,481",490,"1,844","1,184","1,908","2,304",437,"2,426"
2020년11월_남_30~39세,"14,979",276,430,283,75,43,54,105,114,106,167,267,150,184,105,35,188,284,465,"1,296",511,567,"2,129",583,"1,225",796,"1,543",856,460,"1,682"
2020년11월_남_40~49세,"21,488",444,568,451,129,87,113,150,212,153,197,335,262,322,159,101,257,405,477,"1,831",682,839,"3,090",751,"1,708","1,265","2,298",922,547,"2,733"
2020년11월_남_50~59세,"24,905",636,692,714,240,164,215,201,324,289,314,485,413,472,303,117,287,530,617,"1,983",914,967,"3,011",641,"2,157","1,259","2,248","1,137",572,"3,003"
2020년11월_남_60~69세,"19,954",694,711,720,234,188,233,318,367,362,317,517,533,481,278,189,389,436,619,"1,608",804,"1,012","2,303",498,"1,604",490,"1,005",958,465,"1,621"
2020년11월_남_70~79세,"10,929",378,380,439,176,134,152,241,234,259,242,282,379,271,169,140,272,247,431,772,403,787,"1,113",259,614,227,362,661,256,649
2020년11월_남_80~89세,"4,036",153,170,198,82,80,65,104,116,120,89,108,167,119,78,71,88,68,158,277,115,280,388,86,158,81,118,203,91,205
2020년11월_남_90~99세,454,16,18,21,12,10,8,13,9,14,10,15,35,18,15,7,13,7,13,23,10,24,45,8,26,5,13,16,16,14
2020년11월_남_100세 이상,25,1,3,4,0,0,1,0,0,1,1,0,3,0,1,0,0,1,0,3,0,2,0,1,0,0,0,1,1,1
2020년11월_여_총인구수,"141,837","3,571","4,021","3,571","1,166",763,960,"1,312","1,462","1,539","1,673","2,507","2,152","2,223","1,276",803,"1,625","2,294","3,456","11,530","4,659","5,774","19,821","4,310","11,922","7,388","13,017","7,791","3,238","16,013"
2020년11월_여_연령구간인구수,"141,837","3,571","4,021","3,571","1,166",763,960,"1,312","1,462","1,539","1,673","2,507","2,152","2,223","1,276",803,"1,625","2,294","3,456","11,530","4,659","5,774","19,821","4,310","11,922","7,388","13,017","7,791","3,238","16,013"
2020년11월_여_0~9세,"9,427",172,269,124,35,14,10,37,56,51,104,152,32,84,29,12,41,144,147,872,188,232,"1,789",442,765,636,"1,122",309,266,"1,293"
2020년11월_여_10~19세,"13,685",318,310,253,72,22,49,72,55,78,72,182,87,131,46,36,59,175,200,"1,045",322,377,"2,183",458,"1,333","1,001","1,731",599,328,"2,091"
2020년11월_여_20~29세,"16,544",275,323,279,73,46,55,77,90,54,134,228,122,164,102,43,162,226,452,"1,171",638,603,"2,324",403,"1,527","1,117","1,637","1,838",315,"2,066"
2020년11월_여_30~39세,"13,578",256,365,242,50,20,39,46,86,53,111,201,74,156,58,34,116,248,317,"1,155",377,434,"2,276",604,"1,176",830,"1,566",617,379,"1,692"
2020년11월_여_40~49세,"20,578",370,490,335,89,47,60,75,116,115,140,246,138,215,82,49,170,312,369,"1,687",581,665,"3,160",688,"1,911","1,538","2,689",789,507,"2,945"
2020년11월_여_50~59세,"24,151",591,684,616,201,101,150,170,229,232,245,448,329,356,250,112,267,412,507,"2,038",985,967,"3,301",619,"2,367","1,230","2,222","1,159",509,"2,854"
2020년11월_여_60~69세,"20,283",698,725,671,206,190,217,297,294,363,323,482,475,451,252,175,350,403,694,"1,788",835,"1,122","2,473",551,"1,630",496,"1,126","1,061",418,"1,517"
2020년11월_여_70~79세,"13,570",486,469,542,235,152,193,284,295,305,279,337,458,309,224,175,296,223,461,"1,111",449,947,"1,397",358,708,354,578,791,267,887
2020년11월_여_80~89세,"8,430",335,328,416,164,139,153,217,210,244,230,201,367,297,192,138,129,125,271,574,237,367,784,165,414,158,300,509,186,580
2020년11월_여_90~99세,"1,508",65,58,86,37,31,32,37,30,41,34,28,66,58,38,26,30,24,36,82,45,59,129,21,88,28,43,108,61,87
2020년11월_여_100세 이상,83,5,0,7,4,1,2,0,1,3,1,2,4,2,3,3,5,2,2,7,2,1,5,1,3,0,3,11,2,1
