카테고리,서울특별시,서울특별시 종로구,서울특별시 중구,서울특별시 용산구,서울특별시 성동구,서울특별시 광진구,서울특별시 동대문구,서울특별시 중랑구,서울특별시 성북구,서울특별시 강북구,서울특별시 도봉구,서울특별시 노원구,서울특별시 은평구,서울특별시 서대문구,서울특별시 마포구,서울특별시 양천구,서울특별시 강서구,서울특별시 구로구,서울특별시 금천구,서울특별시 영등포구,서울특별시 동작구,서울특별시 관악구,서울특별시 서초구,서울특별시 강남구,서울특별시 송파구,서울특별시 강동구
2021년11월_여_0~9세,"285,316","3,468","3,053","6,177","9,443","8,682","9,551","10,390","13,457","6,882","8,232","14,859","13,502","9,309","11,597","14,432","18,146","12,743","5,693","12,152","11,294","9,766","15,518","16,841","23,555","16,574"
2021년11월_여_10~19세,"369,654","5,270","3,288","7,277","9,498","12,285","11,255","12,572","17,761","10,177","11,857","24,317","18,212","11,323","13,797","23,704","21,278","14,254","6,916","11,344","13,165","13,303","21,887","28,374","28,174","18,366"
2021년11월_여_20~29세,"739,584","11,858","9,809","17,382","22,192","32,829","28,828","27,557","34,249","20,974","20,556","34,401","34,171","25,773","33,935","28,328","46,495","27,499","18,820","31,552","33,715","55,636","27,191","37,201","47,608","31,025"
2021년11월_여_30~39세,"721,359","9,778","9,993","19,077","23,839","27,583","23,789","27,686","29,309","17,800","19,218","31,677","34,122","22,386","33,586","28,342","48,520","29,931","16,285","34,006","30,142","38,126","32,312","41,989","55,850","36,013"
2021년11월_여_40~49세,"748,410","10,873","8,532","17,160","21,648","25,626","23,729","26,878","34,304","21,406","23,282","42,889","37,468","22,975","30,854","40,013","44,388","29,864","15,003","26,899","28,530","30,614","40,048","52,659","55,334","37,434"
2021년11월_여_50~59세,"764,856","12,410","9,900","18,329","23,352","27,452","25,743","34,158","35,125","26,209","29,242","44,923","39,974","24,961","27,992","38,291","43,826","31,457","19,576","27,528","30,057","33,074","31,581","40,811","52,330","36,555"
2021년11월_여_60~69세,"678,125","10,204","9,023","15,107","19,303","23,143","24,420","31,205","30,061","25,121","27,033","37,757","36,049","20,960","21,904","31,435","42,752","30,338","17,590","24,814","27,160","32,073","25,919","33,238","46,351","35,165"
2021년11월_여_70~79세,"379,173","6,468","5,598","9,026","11,162","11,913","14,985","16,969","18,364","16,688","14,885","21,023","21,730","13,325","13,595","15,415","20,890","16,788","9,542","14,506","16,454","19,971","14,267","18,224","21,093","16,292"
2021년11월_여_80~89세,"177,604","3,660","3,118","5,379","5,564","5,661","7,309","7,631","9,118","7,438","7,538","11,222","10,098","7,223","7,026","7,129","9,853","7,249","4,147","7,036","7,438","8,174","5,691","7,107","8,935","6,860"
2021년11월_여_90~99세,"30,998",662,584,988,854,908,"1,062","1,256","1,528","1,061","1,228","1,944","1,520","1,144","1,169","1,308","1,950","1,156",662,"1,116","1,290","1,249","1,271","1,696","1,933","1,459"
2021년11월_여_100세 이상,"1,511",29,32,54,35,45,54,60,58,36,78,81,67,74,58,58,67,38,31,48,96,74,72,98,82,86
