,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2020년07월_계_80~89세,"12,136",447,181,242,295,255,250,235,210,189,433,581,326,256,335,124,292,"1,169",471,678,660,642,623,324,361,708,468,374,394,462,151
2020년07월_계_90~99세,"1,687",78,29,51,49,37,27,35,26,39,71,76,43,33,46,21,26,161,75,84,76,64,81,40,44,105,65,63,49,63,30
2020년07월_계_100세 이상,94,2,3,4,1,2,1,0,0,1,3,1,1,1,3,1,1,16,7,18,3,1,3,2,7,1,1,5,1,2,2
2020년07월_남_총인구수,"171,907","4,281","2,100","3,967","1,074",954,"1,282",814,755,749,"1,646","10,825","2,413",795,"2,030",526,"1,082","13,784","5,426","5,613","7,139","10,063","12,738","6,124","13,771","13,630","5,767","6,111","10,432","13,189","12,827"
2020년07월_남_연령구간인구수,"171,907","4,281","2,100","3,967","1,074",954,"1,282",814,755,749,"1,646","10,825","2,413",795,"2,030",526,"1,082","13,784","5,426","5,613","7,139","10,063","12,738","6,124","13,771","13,630","5,767","6,111","10,432","13,189","12,827"
2020년07월_남_0~9세,"15,008",376,215,443,20,25,49,18,14,19,36,"1,207",141,7,79,11,33,865,267,210,384,579,792,391,"1,892","1,158",358,395,"1,347","1,264","2,413"
2020년07월_남_10~19세,"18,759",362,232,255,66,30,100,32,34,33,88,"1,521",218,37,110,26,60,"1,444",400,399,601,864,"1,415",564,"2,281","1,912",606,728,"1,465","1,374","1,502"
2020년07월_남_20~29세,"24,700",470,216,552,98,75,138,53,44,67,146,"1,346",261,53,196,61,72,"2,333",770,643,976,"1,638","2,206",883,"1,876","2,220",890,948,"1,273","2,809","1,387"
2020년07월_남_30~39세,"21,469",514,213,798,82,77,94,47,47,45,101,"1,273",207,35,137,27,54,"1,475",712,523,755,"1,221","1,505",767,"1,805","1,531",636,573,"1,280","2,108","2,827"
2020년07월_남_40~49세,"27,200",606,340,576,119,98,175,75,114,112,194,"1,933",356,82,247,62,153,"2,018",862,822,"1,081","1,494","1,829",975,"2,474","2,168",790,866,"1,988","2,020","2,571"
2020년07월_남_50~59세,"28,458",759,368,568,213,202,255,175,132,150,341,"1,679",494,173,418,109,238,"2,250",880,"1,030","1,317","1,769","2,447","1,079","2,049","2,526",995,"1,161","1,581","1,841","1,259"
2020년07월_남_60~69세,"21,158",714,294,490,234,235,255,210,172,147,335,"1,133",403,202,471,133,250,"1,768",853,"1,037","1,121","1,404","1,652",905,920,"1,317",859,868,995,"1,154",627
2020년07월_남_70~79세,"11,149",346,166,212,152,126,150,132,140,124,268,535,226,139,262,67,141,"1,194",502,731,677,833,698,430,361,549,453,458,386,490,201
2020년07월_남_80~89세,"3,681",120,51,67,84,77,60,65,53,46,121,186,100,61,100,28,76,393,168,195,217,247,179,121,100,229,166,102,110,121,38
2020년07월_남_90~99세,303,14,4,6,6,9,5,7,5,6,15,12,7,6,9,2,5,38,11,20,10,14,13,9,10,20,13,11,7,7,2
2020년07월_남_100세 이상,22,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,6,1,3,0,0,2,0,3,0,1,1,0,1,0
2020년07월_여_총인구수,"175,410","4,151","2,095","3,780","1,194","1,007","1,358",811,773,742,"1,673","10,713","2,405",850,"2,071",566,"1,155","14,300","5,523","5,937","7,393","10,240","12,722","5,931","13,424","14,721","6,282","6,274","11,346","12,981","12,992"
2020년07월_여_연령구간인구수,"175,410","4,151","2,095","3,780","1,194","1,007","1,358",811,773,742,"1,673","10,713","2,405",850,"2,071",566,"1,155","14,300","5,523","5,937","7,393","10,240","12,722","5,931","13,424","14,721","6,282","6,274","11,346","12,981","12,992"
2020년07월_여_0~9세,"13,880",305,177,433,23,25,53,7,21,20,31,"1,088",128,11,72,16,28,801,232,176,284,556,711,431,"1,627","1,102",323,345,"1,312","1,142","2,400"
2020년07월_여_10~19세,"16,822",325,241,217,53,32,91,19,22,41,72,"1,365",203,26,100,22,50,"1,163",355,311,534,817,"1,250",563,"1,789","1,764",552,585,"1,570","1,324","1,366"
2020년07월_여_20~29세,"20,071",364,196,437,68,62,85,24,29,36,74,965,188,35,165,50,69,"1,949",675,488,880,"1,323","1,705",663,"1,496","1,958",812,699,"1,099","2,077","1,400"
2020년07월_여_30~39세,"20,597",461,223,692,56,54,100,26,39,27,87,"1,296",205,24,105,30,52,"1,310",593,385,661,"1,060","1,222",686,"2,054","1,594",583,567,"1,523","1,865","3,017"
2020년07월_여_40~49세,"27,380",507,350,472,68,63,127,40,43,51,102,"2,009",306,45,194,41,77,"2,059",751,647,923,"1,455","2,047",858,"2,860","2,773",873,994,"2,161","2,110","2,374"
2020년07월_여_50~59세,"29,338",698,321,640,178,161,235,115,95,108,255,"1,711",403,130,380,89,187,"2,396",962,"1,043","1,396","1,962","2,702","1,069","1,966","2,706","1,176","1,241","1,661","1,981","1,371"
2020년07월_여_60~69세,"23,028",625,265,424,229,232,240,189,174,149,345,"1,175",382,163,456,106,223,"2,174",994,"1,316","1,319","1,684","1,753",927,863,"1,428","1,058",974,"1,101","1,358",702
2020년07월_여_70~79세,"14,383",473,165,241,264,170,215,193,172,133,337,644,327,193,325,96,231,"1,539",588,"1,009",884,937,819,498,470,831,551,541,592,726,219
2020년07월_여_80~89세,"8,455",327,130,175,211,178,190,170,157,143,312,395,226,195,235,96,216,776,303,483,443,395,444,203,261,479,302,272,284,341,113
2020년07월_여_90~99세,"1,384",64,25,45,43,28,22,28,21,33,56,64,36,27,37,19,21,123,64,64,66,50,68,31,34,85,52,52,42,56,28
2020년07월_여_100세 이상,72,2,2,4,1,2,0,0,0,1,2,1,1,1,2,1,1,10,6,15,3,1,1,2,4,1,0,4,1,1,2
