,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2020년05월_계_80~89세,"9,521",775,543,424,370,456,390,280,224,321,354,240,241,209,246,311,258,837,519,638,307,232,633,474,239
2020년05월_계_90~99세,"1,418",112,76,64,82,66,68,46,37,61,43,22,26,35,26,51,33,113,69,78,57,35,104,69,45
2020년05월_계_100세 이상,65,8,4,1,0,4,2,1,0,3,1,5,2,0,1,2,0,6,6,7,2,0,2,5,3
2020년05월_남_총인구수,"78,605","3,264","2,151","1,605","1,897","2,737","1,371",899,"1,087","1,528","1,383",909,975,873,922,"2,534","2,469","11,088","4,479","6,752","3,177","3,194","10,565","7,599","5,147"
2020년05월_남_연령구간인구수,"78,605","3,264","2,151","1,605","1,897","2,737","1,371",899,"1,087","1,528","1,383",909,975,873,922,"2,534","2,469","11,088","4,479","6,752","3,177","3,194","10,565","7,599","5,147"
2020년05월_남_0~9세,"5,769",115,54,37,45,115,28,18,35,27,26,21,24,14,21,148,178,"1,032",372,486,207,217,"1,123",810,616
2020년05월_남_10~19세,"7,261",158,137,62,84,137,82,42,45,59,41,24,36,26,34,183,204,"1,221",465,556,307,318,"1,361",861,818
2020년05월_남_20~29세,"9,103",279,185,102,191,354,82,49,101,125,78,56,56,43,37,305,288,"1,657",455,829,372,368,"1,434","1,012",645
2020년05월_남_30~39세,"8,112",221,115,107,134,341,70,49,84,101,75,43,56,49,52,262,223,"1,324",438,850,349,336,"1,247","1,042",544
2020년05월_남_40~49세,"11,714",373,223,228,222,353,164,110,106,179,140,100,80,91,98,361,387,"1,804",714,"1,001",488,448,"1,841","1,216",987
2020년05월_남_50~59세,"13,624",624,401,333,366,474,262,170,247,324,305,179,214,176,168,442,487,"1,767",731,"1,123",501,597,"1,709","1,241",783
2020년05월_남_60~69세,"11,979",680,449,307,433,440,292,204,232,362,350,244,242,214,248,395,380,"1,276",651,"1,012",500,506,"1,181",928,453
2020년05월_남_70~79세,"7,448",517,357,260,271,345,250,159,154,233,222,149,170,165,177,321,243,701,450,639,324,300,470,349,222
2020년05월_남_80~89세,"3,257",264,209,155,129,158,126,93,74,98,134,85,89,85,79,109,71,280,183,239,120,93,185,127,72
2020년05월_남_90~99세,322,31,21,14,22,18,15,5,9,19,12,8,8,10,7,6,8,23,20,15,9,11,13,11,7
2020년05월_남_100세 이상,16,2,0,0,0,2,0,0,0,1,0,0,0,0,1,2,0,3,0,2,0,0,1,2,0
2020년05월_여_총인구수,"80,215","3,208","2,006","1,469","1,722","2,551","1,461",936,"1,039","1,387","1,359",862,925,781,854,"2,632","2,642","11,319","4,840","6,792","3,361","3,221","11,589","8,056","5,203"
2020년05월_여_연령구간인구수,"80,215","3,208","2,006","1,469","1,722","2,551","1,461",936,"1,039","1,387","1,359",862,925,781,854,"2,632","2,642","11,319","4,840","6,792","3,361","3,221","11,589","8,056","5,203"
2020년05월_여_0~9세,"5,179",97,43,37,46,99,24,18,23,39,30,11,18,14,9,118,152,937,315,469,216,175,"1,028",720,541
2020년05월_여_10~19세,"6,604",139,88,40,56,122,49,29,45,56,38,28,19,23,38,175,219,"1,158",445,440,261,295,"1,285",828,728
2020년05월_여_20~29세,"7,517",197,133,48,154,279,60,36,67,73,62,36,35,22,30,231,244,"1,340",407,641,296,331,"1,348",856,591
2020년05월_여_30~39세,"7,609",171,84,62,87,261,57,33,56,66,48,21,36,25,25,278,238,"1,272",433,764,315,268,"1,372","1,019",618
2020년05월_여_40~49세,"10,772",228,134,113,144,235,96,60,72,101,50,52,46,34,51,290,342,"1,826",699,909,446,439,"1,984","1,337","1,084"
2020년05월_여_50~59세,"13,094",503,306,239,264,349,208,128,199,212,223,132,179,123,138,400,481,"1,781",769,"1,172",578,639,"1,935","1,427",709
2020년05월_여_60~69세,"12,764",674,418,310,389,452,330,192,223,317,309,207,219,214,192,505,438,"1,440",808,"1,159",632,601,"1,353",929,453
2020년05월_여_70~79세,"9,267",601,407,300,281,406,318,211,176,256,347,201,201,177,185,388,316,915,573,771,380,310,744,532,271
2020년05월_여_80~89세,"6,264",511,334,269,241,298,264,187,150,223,220,155,152,124,167,202,187,557,336,399,187,139,448,347,167
2020년05월_여_90~99세,"1,096",81,55,50,60,48,53,41,28,42,31,14,18,25,19,45,25,90,49,63,48,24,91,58,38
2020년05월_여_100세 이상,49,6,4,1,0,2,2,1,0,2,1,5,2,0,0,0,0,3,6,5,2,0,1,3,3
