,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2021년02월_남_50~59세,"43,998","2,927","1,393","1,182","2,976","2,590","1,231","1,335","2,753","1,903","1,554",817,"3,147","1,623","1,634","3,278","2,699","1,484","1,625","2,963","1,033","1,344","2,507"
2021년02월_남_60~69세,"32,657","2,166","1,044","1,060","2,113","1,724","1,057","1,093","1,899","1,695","1,174",635,"2,270","1,165","1,552","2,112","1,430","1,357","1,212","1,880","1,034","1,012","1,973"
2021년02월_남_70~79세,"14,244",996,585,508,974,754,468,520,791,884,460,244,867,479,626,803,519,721,574,727,399,485,860
2021년02월_남_80~89세,"4,804",394,172,178,333,252,183,163,236,324,184,51,308,149,176,278,184,216,184,246,124,171,298
2021년02월_남_90~99세,429,40,22,21,24,25,12,16,20,33,15,8,17,8,22,38,13,17,14,25,9,16,14
2021년02월_남_100세 이상,46,1,3,6,7,1,1,3,1,3,1,4,1,0,3,1,0,1,3,0,2,2,2
2021년02월_여_총인구수,"249,676","19,320","7,896","6,606","18,442","16,735","7,572","6,632","16,170","11,458","9,416","3,249","17,457","8,176","9,861","17,428","15,087","8,256","9,623","16,419","6,227","6,286","11,360"
2021년02월_여_연령구간인구수,"249,676","19,320","7,896","6,606","18,442","16,735","7,572","6,632","16,170","11,458","9,416","3,249","17,457","8,176","9,861","17,428","15,087","8,256","9,623","16,419","6,227","6,286","11,360"
2021년02월_여_0~9세,"15,765","1,156",428,297,"1,204","1,220",474,297,"1,342",567,580,174,"1,302",438,598,"1,129","1,201",422,647,910,488,302,589
2021년02월_여_10~19세,"20,623","1,470",589,406,"1,131","1,155",423,490,"1,775",946,857,253,"1,384",557,687,"1,753","2,056",516,858,"1,644",482,473,718
2021년02월_여_20~29세,"33,850","3,148","1,003",798,"2,955","2,637","1,111",769,"1,944","1,354","1,306",394,"2,353","1,197","1,219","2,245","1,811","1,015","1,261","2,380",705,785,"1,460"
2021년02월_여_30~39세,"32,339","2,862","1,009",779,"3,100","2,789","1,167",721,"1,944","1,145","1,102",356,"2,513","1,010","1,326","1,902","1,557",958,"1,256","2,063",833,646,"1,301"
2021년02월_여_40~49세,"38,198","2,913","1,156",901,"2,741","2,504","1,012",878,"2,846","1,576","1,481",470,"2,575","1,133","1,243","2,942","3,168","1,083","1,489","2,736",862,939,"1,550"
2021년02월_여_50~59세,"45,869","3,250","1,405","1,206","3,117","2,799","1,335","1,261","2,961","2,129","1,830",647,"3,264","1,690","1,940","3,294","2,619","1,488","1,786","3,257","1,147","1,172","2,272"
2021년02월_여_60~69세,"34,537","2,514","1,232","1,099","2,326","2,009","1,117","1,187","1,944","1,901","1,226",526,"2,366","1,222","1,571","2,171","1,474","1,512","1,302","1,892","1,007","1,045","1,894"
2021년02월_여_70~79세,"17,276","1,195",696,691,"1,186",997,547,603,865,"1,036",590,255,"1,051",581,724,"1,094",721,835,653,910,447,589,"1,010"
2021년02월_여_80~89세,"9,344",665,312,354,574,515,323,343,453,656,377,134,557,286,460,754,387,371,326,526,215,277,479
2021년02월_여_90~99세,"1,716",134,58,69,99,98,54,69,90,135,67,32,87,58,92,135,90,51,40,98,38,47,75
2021년02월_여_100세 이상,159,13,8,6,9,12,9,14,6,13,0,8,5,4,1,9,3,5,5,3,3,11,12
