,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2021년03월_계_100세 이상,156,6,5,5,11,11,3,13,10,9,1,10,7,3,9,7,11,5,9,5,7,5,4
2021년03월_남_총인구수,"255,880","7,627","10,709","10,069","12,425","12,533","6,519","14,219","12,372","18,640","9,470","17,149","17,070","10,388","15,717","3,190","10,644","11,516","20,842","11,667","7,582","8,685","6,847"
2021년03월_남_연령구간인구수,"255,880","7,627","10,709","10,069","12,425","12,533","6,519","14,219","12,372","18,640","9,470","17,149","17,070","10,388","15,717","3,190","10,644","11,516","20,842","11,667","7,582","8,685","6,847"
2021년03월_남_0~9세,"18,676",503,336,566,"1,015","1,164",453,"1,257","1,031","1,054",362,507,"1,461",846,"1,474",197,856,867,"2,172","1,179",369,696,311
2021년03월_남_10~19세,"30,494",825,427,686,"1,344","1,185",733,"1,929","3,076","3,626","1,314",680,"2,604","1,096","2,080",298,"1,205","1,150","2,277","1,906",665,"1,104",284
2021년03월_남_20~29세,"34,654","1,023","2,067","1,574","1,478","1,712",989,"1,818","1,254","2,551","1,615","3,208","1,905","1,369","1,810",380,"1,452","1,655","2,543","1,346","1,101","1,005",799
2021년03월_남_30~39세,"36,865","1,028","2,717","2,013","1,392","1,897",894,"2,034",586,"1,518","1,491","4,926","2,229","1,423","1,439",307,"1,305","1,772","3,023","1,310","1,177","1,243","1,141"
2021년03월_남_40~49세,"45,703","1,273","1,871","1,838","2,166","2,185",991,"2,909","2,609","2,989","1,731","3,070","3,919","1,835","2,895",450,"1,690","1,885","3,861","2,076","1,071","1,512",877
2021년03월_남_50~59세,"40,259","1,215","1,392","1,438","2,019","1,869","1,043","2,140","2,163","3,418","1,617","2,237","2,715","1,721","2,769",532,"1,812","1,976","2,910","1,812","1,206","1,262",993
2021년03월_남_60~69세,"27,388",823,"1,013",983,"1,388","1,369",775,"1,117",914,"2,134",713,"1,438","1,166","1,253","1,729",544,"1,448","1,391","2,245","1,326","1,145","1,092","1,382"
2021년03월_남_70~79세,"16,195",616,646,727,"1,114",840,471,740,554,"1,070",475,797,785,619,"1,096",366,704,632,"1,303",558,662,619,801
2021년03월_남_80~89세,"5,106",292,219,221,464,286,147,257,168,259,145,264,265,195,385,105,158,171,441,138,163,138,225
2021년03월_남_90~99세,512,29,21,20,45,24,22,16,15,20,7,21,21,30,39,10,11,16,63,15,21,14,32
2021년03월_남_100세 이상,28,0,0,3,0,2,1,2,2,1,0,1,0,1,1,1,3,1,4,1,2,0,2
2021년03월_여_총인구수,"278,916","8,757","12,003","11,559","14,479","14,205","6,664","15,587","12,184","18,113","10,617","18,358","19,329","11,523","18,060","3,348","11,463","12,189","23,131","11,998","7,904","9,243","8,202"
2021년03월_여_연령구간인구수,"278,916","8,757","12,003","11,559","14,479","14,205","6,664","15,587","12,184","18,113","10,617","18,358","19,329","11,523","18,060","3,348","11,463","12,189","23,131","11,998","7,904","9,243","8,202"
2021년03월_여_0~9세,"17,505",431,360,551,"1,111",956,386,"1,090",870,912,367,500,"1,422",886,"1,410",182,840,830,"2,155",975,361,620,290
2021년03월_여_10~19세,"27,994",844,461,637,"1,428","1,053",532,"1,574","2,388","2,489","1,138",694,"2,848","1,270","2,685",281,"1,287","1,121","2,345","1,421",515,692,291
2021년03월_여_20~29세,"37,822","1,181","2,530","1,955","1,650","2,053",857,"2,007","1,164","2,168","1,760","4,244","2,541","1,547","2,119",356,"1,375","1,648","2,789","1,222","1,040",864,752
2021년03월_여_30~39세,"43,638","1,266","2,973","2,468","1,868","2,487","1,017","2,816",903,"1,759","1,830","5,104","2,937","1,759","2,065",359,"1,472","1,864","3,602","1,561","1,058","1,366","1,104"
2021년03월_여_40~49세,"52,770","1,620","1,960","2,010","2,610","2,569","1,142","3,443","3,377","4,035","2,263","3,007","4,605","2,025","3,623",492,"1,976","2,125","3,993","2,437","1,045","1,628",785
2021년03월_여_50~59세,"40,023","1,278","1,422","1,528","2,104","2,096","1,127","2,074","1,696","3,135","1,603","1,981","2,240","1,785","2,712",525,"1,964","1,981","3,053","1,902","1,280","1,335","1,202"
2021년03월_여_60~69세,"32,422",961,"1,252","1,267","1,777","1,638",901,"1,320","1,010","2,129",849,"1,593","1,449","1,299","1,893",641,"1,608","1,630","2,781","1,565","1,406","1,470","1,983"
2021년03월_여_70~79세,"18,077",781,716,800,"1,294",923,492,915,527,"1,064",607,866,934,616,"1,055",341,642,698,"1,414",561,742,906,"1,183"
2021년03월_여_80~89세,"6,853",324,275,281,502,331,164,271,188,337,162,289,285,273,389,130,223,230,794,256,366,301,482
2021년03월_여_90~99세,"1,684",65,49,60,124,90,44,66,53,77,37,71,61,61,101,35,68,58,200,94,86,56,128
2021년03월_여_100세 이상,128,6,5,2,11,9,2,11,8,8,1,9,7,2,8,6,8,4,5,4,5,5,2
