,인천광역시 미추홀구,인천광역시 미추홀구 숭의2동,인천광역시 미추홀구 숭의1.3동,인천광역시 미추홀구 숭의4동,인천광역시 미추홀구 용현1.4동,인천광역시 미추홀구 용현2동,인천광역시 미추홀구 용현3동,인천광역시 미추홀구 용현5동,인천광역시 미추홀구 학익1동,인천광역시 미추홀구 학익2동,인천광역시 미추홀구 도화1동,인천광역시 미추홀구 도화2.3동,인천광역시 미추홀구 주안1동,인천광역시 미추홀구 주안2동,인천광역시 미추홀구 주안3동,인천광역시 미추홀구 주안4동,인천광역시 미추홀구 주안5동,인천광역시 미추홀구 주안6동,인천광역시 미추홀구 주안7동,인천광역시 미추홀구 주안8동,인천광역시 미추홀구 관교동,인천광역시 미추홀구 문학동
2020년04월_여_10~19세,"15,760",465,417,625,507,620,195,"2,367","1,718",902,840,999,454,564,346,451,628,906,490,992,666,608
2020년04월_여_20~29세,"26,857",881,"1,025","1,040","1,335","1,373",354,"3,141","1,980","1,128","1,692","1,672","2,170","1,030",488,780,"1,256","1,397",753,"1,399","1,076",887
2020년04월_여_30~39세,"26,443","1,034","1,065","1,020",787,"1,334",358,"3,297","1,727","1,138","1,786","1,960","1,948","1,047",456,753,"1,088","1,855",692,"1,275",998,825
2020년04월_여_40~49세,"30,331",951,939,"1,243",922,"1,290",420,"4,155","2,903","1,553","1,702","1,900","1,398","1,184",665,905,"1,249","1,861",962,"1,746","1,146","1,237"
2020년04월_여_50~59세,"33,939","1,180","1,116","1,381","1,302","1,365",602,"3,919","2,831","1,754","1,923","2,156","1,552","1,533",754,"1,238","1,605","1,757","1,276","2,133","1,520","1,042"
2020년04월_여_60~69세,"28,042","1,032",889,"1,292","1,311","1,213",732,"2,667","2,022","1,359","1,591","1,796","1,011","1,548",710,"1,378","1,332","1,481","1,157","1,579","1,176",766
2020년04월_여_70~79세,"16,866",678,574,827,956,746,533,"1,421","1,176",850,"1,014","1,021",480,977,509,915,789,774,734,883,567,442
2020년04월_여_80~89세,"7,985",343,332,443,417,313,253,710,511,441,464,476,215,463,209,385,432,378,327,389,293,191
2020년04월_여_90~99세,"1,479",52,77,62,83,66,42,125,84,90,92,86,45,84,25,84,80,79,70,55,53,45
2020년04월_여_100세 이상,131,4,13,6,12,9,10,2,3,6,7,7,1,10,3,8,6,5,6,5,6,2
