,충청북도 청주시,충청북도 청주시 상당구,충청북도 청주시 상당구 낭성면,충청북도 청주시 상당구 미원면,충청북도 청주시 상당구 가덕면,충청북도 청주시 상당구 남일면,충청북도 청주시 상당구 문의면,충청북도 청주시 상당구 중앙동,충청북도 청주시 상당구 성안동,충청북도 청주시 상당구 탑대성동,충청북도 청주시 상당구 영운동,충청북도 청주시 상당구 금천동,충청북도 청주시 상당구 용담.명암.산성동,충청북도 청주시 상당구 용암1동,충청북도 청주시 상당구 용암2동,충청북도 청주시 서원구,충청북도 청주시 서원구 남이면,충청북도 청주시 서원구 현도면,충청북도 청주시 서원구 사직1동,충청북도 청주시 서원구 사직2동,충청북도 청주시 서원구 사창동,충청북도 청주시 서원구 모충동,충청북도 청주시 서원구 산남동,충청북도 청주시 서원구 분평동,충청북도 청주시 서원구 수곡1동,충청북도 청주시 서원구 수곡2동,충청북도 청주시 서원구 성화.개신.죽림동,충청북도 청주시 흥덕구,충청북도 청주시 흥덕구 오송읍,충청북도 청주시 흥덕구 강내면,충청북도 청주시 흥덕구 옥산면,충청북도 청주시 흥덕구 운천.신봉동,충청북도 청주시 흥덕구 복대1동,충청북도 청주시 흥덕구 복대2동,충청북도 청주시 흥덕구 가경동,충청북도 청주시 흥덕구 봉명1동,충청북도 청주시 흥덕구 봉명2.송정동,충청북도 청주시 흥덕구 강서제1동,충청북도 청주시 흥덕구 강서제2동,충청북도 청주시 청원구,충청북도 청주시 청원구 내수읍,충청북도 청주시 청원구 오창읍,충청북도 청주시 청원구 북이면,충청북도 청주시 청원구 우암동,충청북도 청주시 청원구 내덕1동,충청북도 청주시 청원구 내덕2동,충청북도 청주시 청원구 율량.사천동,충청북도 청주시 청원구 오근장동
2020년08월_계_80~89세,"23,229","6,120",235,544,353,445,466,342,411,449,419,715,290,901,550,"5,990",501,391,395,448,443,569,494,727,589,597,836,"5,765",672,470,555,539,623,442,843,238,442,691,250,"5,354",827,"1,060",495,661,452,489,970,400
2020년08월_계_90~99세,"3,305",962,41,100,50,58,73,39,71,75,55,105,40,160,95,835,66,54,56,66,49,76,69,97,75,94,133,786,100,49,71,79,84,57,117,24,71,111,23,722,126,152,67,60,52,58,140,67
2020년08월_계_100세 이상,191,57,2,8,1,6,3,4,7,4,1,5,2,7,7,48,1,3,9,6,4,6,3,3,5,2,6,38,6,6,4,4,4,2,5,0,3,2,2,48,10,5,9,5,5,3,9,2
2020년08월_남_총인구수,"425,096","92,559","1,203","2,593","2,035","3,526","2,125","2,880","3,596","4,485","5,455","14,669","6,728","27,014","16,250","98,394","5,362","1,762","4,058","7,108","7,470","7,471","13,493","15,437","7,014","6,826","22,393","134,855","11,598","5,571","9,246","8,743","26,329","8,310","25,172","5,221","13,140","14,402","7,123","99,288","10,174","36,666","2,495","6,271","4,464","6,063","24,027","9,128"
2020년08월_남_연령구간인구수,"425,096","92,559","1,203","2,593","2,035","3,526","2,125","2,880","3,596","4,485","5,455","14,669","6,728","27,014","16,250","98,394","5,362","1,762","4,058","7,108","7,470","7,471","13,493","15,437","7,014","6,826","22,393","134,855","11,598","5,571","9,246","8,743","26,329","8,310","25,172","5,221","13,140","14,402","7,123","99,288","10,174","36,666","2,495","6,271","4,464","6,063","24,027","9,128"
2020년08월_남_0~9세,"38,488","8,006",24,53,54,217,52,126,135,241,349,"1,305",811,"2,850","1,789","7,412",328,47,146,724,362,377,"1,239","1,404",312,363,"2,110","12,524","1,209",334,"1,149",514,"3,138",338,"2,274",275,928,"1,079","1,286","10,546",818,"5,226",51,267,179,377,"2,313","1,315"
2020년08월_남_10~19세,"45,057","10,200",42,119,64,220,104,236,217,351,488,"1,939",999,"3,436","1,985","10,899",383,76,291,691,529,520,"2,122","2,263",554,606,"2,864","13,897","1,146",551,700,812,"3,503",592,"3,355",306,"1,229","1,226",477,"10,061","1,011","3,817",98,368,308,459,"2,815","1,185"
2020년08월_남_20~29세,"65,176","13,003",103,205,190,445,196,447,546,623,741,"2,067",854,"4,096","2,490","15,565",691,117,521,941,"1,773","1,284","1,996","2,520","1,166",995,"3,561","22,238","1,495",791,"1,085","1,396","4,018","1,921","4,057","1,084","2,437","2,800","1,154","14,370","1,417","5,000",222,"1,112",655,"1,009","3,998",957
2020년08월_남_30~39세,"62,288","11,342",77,187,142,399,151,314,416,496,669,"1,644",786,"3,814","2,247","12,060",601,136,434,957,"1,134",922,"1,612","1,744",759,716,"3,045","21,814","1,905",623,"1,927","1,110","4,420","1,112","3,037",948,"2,345","2,511","1,876","17,072","1,154","8,545",197,844,511,727,"3,592","1,502"
2020년08월_남_40~49세,"69,241","14,780",119,258,228,436,265,402,491,643,850,"2,572","1,203","4,636","2,677","15,532",675,220,588,"1,073","1,003","1,036","2,481","2,670",974,903,"3,909","22,057","2,131",844,"1,371","1,284","5,021","1,088","4,129",764,"2,166","2,251","1,008","16,872","1,680","6,646",289,911,657,973,"3,895","1,821"
2020년08월_남_50~59세,"69,031","16,171",249,519,491,695,443,481,637,821,957,"2,515","1,097","4,482","2,784","17,177","1,171",358,841,"1,152","1,050","1,349","2,320","2,789","1,306","1,374","3,467","21,585","1,713","1,091","1,403","1,739","3,753","1,438","4,550",853,"2,108","2,263",674,"14,098","1,890","3,900",555,"1,083",806,993,"3,732","1,139"
2020년08월_남_60~69세,"46,309","11,380",328,662,491,661,455,453,599,697,816,"1,547",578,"2,541","1,552","11,993",940,406,725,975,885,"1,197","1,076","1,274","1,093","1,177","2,245","13,181","1,134",768,965,"1,197","1,652","1,118","2,584",635,"1,256","1,464",408,"9,755","1,288","2,238",582,908,721,828,"2,455",735
2020년08월_남_70~79세,"20,983","5,388",168,374,257,287,280,283,362,437,421,816,286,873,544,"5,507",393,265,347,423,546,562,461,521,614,483,892,"5,489",629,408,449,501,598,544,866,267,499,570,158,"4,599",648,947,306,522,449,493,899,335
2020년08월_남_80~89세,"7,797","2,054",83,183,110,146,158,131,168,162,152,244,104,259,154,"2,070",162,129,147,164,176,202,174,237,224,186,269,"1,916",214,153,184,174,212,148,293,84,158,220,76,"1,757",240,318,172,242,168,190,301,126
2020년08월_남_90~99세,677,224,10,33,8,18,20,7,23,14,12,19,10,25,25,164,17,7,13,7,12,20,12,15,11,22,28,148,19,6,12,16,14,11,27,5,14,18,6,141,24,28,20,13,7,12,24,13
2020년08월_남_100세 이상,49,11,0,0,0,2,1,0,2,0,0,1,0,2,3,15,1,1,5,1,0,2,0,0,1,1,3,6,3,2,1,0,0,0,0,0,0,0,0,17,4,1,3,1,3,2,3,0
2020년08월_여_총인구수,"418,686","93,345","1,106","2,481","1,941","3,437","1,976","2,934","3,423","4,633","5,601","15,414","6,923","26,737","16,739","99,734","4,911","1,650","3,902","7,515","7,578","7,453","13,616","16,133","6,858","6,948","23,170","130,970","11,793","5,322","8,756","8,772","25,485","7,984","26,264","4,626","11,578","14,046","6,344","94,637","9,601","32,439","2,199","6,195","4,362","5,679","24,689","9,473"
2020년08월_여_연령구간인구수,"418,686","93,345","1,106","2,481","1,941","3,437","1,976","2,934","3,423","4,633","5,601","15,414","6,923","26,737","16,739","99,734","4,911","1,650","3,902","7,515","7,578","7,453","13,616","16,133","6,858","6,948","23,170","130,970","11,793","5,322","8,756","8,772","25,485","7,984","26,264","4,626","11,578","14,046","6,344","94,637","9,601","32,439","2,199","6,195","4,362","5,679","24,689","9,473"
2020년08월_여_0~9세,"37,015","7,811",24,57,49,229,56,103,99,210,350,"1,310",785,"2,706","1,833","7,153",332,48,181,714,352,359,"1,253","1,319",281,352,"1,962","12,022","1,163",365,"1,159",465,"3,053",322,"2,099",258,905,"1,016","1,217","10,029",768,"4,977",51,283,184,350,"2,171","1,245"
2020년08월_여_10~19세,"41,497","9,304",29,105,64,214,98,202,199,351,478,"1,809",949,"3,035","1,771","9,994",305,58,269,737,501,518,"1,977","2,017",467,529,"2,616","12,860","1,087",515,569,751,"3,133",549,"3,197",301,"1,176","1,162",420,"9,339",922,"3,527",91,391,272,438,"2,554","1,144"
2020년08월_여_20~29세,"54,413","10,952",76,145,138,326,127,377,425,479,649,"1,884",735,"3,432","2,159","13,105",478,83,438,826,"1,650","1,032","1,700","2,151",895,780,"3,072","18,829","1,570",663,959,"1,224","3,421","1,459","3,469",929,"1,852","2,468",815,"11,527",957,"3,723",144,955,483,760,"3,526",979
2020년08월_여_30~39세,"56,836","10,895",61,96,105,331,100,269,302,391,580,"1,665",847,"3,767","2,381","11,424",504,88,357,"1,045",892,731,"1,660","1,845",622,601,"3,079","19,600","1,976",532,"1,654",868,"4,287",772,"3,229",684,"1,690","2,190","1,718","14,917","1,035","7,099",104,653,365,526,"3,469","1,666"
2020년08월_여_40~49세,"67,675","14,995",67,172,147,389,159,372,389,612,776,"2,780","1,362","4,875","2,895","15,977",638,137,470,"1,053",926,888,"2,818","3,135",871,835,"4,206","21,457","1,946",734,"1,177","1,283","5,092","1,013","4,743",612,"1,858","2,194",805,"15,246","1,491","5,677",143,702,517,793,"4,216","1,707"
2020년08월_여_50~59세,"68,884","16,183",225,444,402,663,342,518,580,866,974,"2,566","1,050","4,522","3,031","17,739","1,054",272,775,"1,292","1,195","1,454","2,189","2,869","1,323","1,477","3,839","21,462","1,587",985,"1,315","1,882","3,503","1,579","5,044",749,"2,012","2,211",595,"13,500","1,666","3,245",378,"1,016",804,"1,010","4,220","1,161"
2020년08월_여_60~69세,"48,151","11,565",257,581,433,596,403,481,680,824,881,"1,823",613,"2,482","1,511","12,789",793,361,668,"1,015","1,107","1,313","1,106","1,397","1,227","1,167","2,635","13,653","1,216",741,970,"1,276","1,741","1,268","2,760",595,"1,211","1,505",370,"10,144","1,248","2,230",503,"1,009",869,869,"2,616",800
2020년08월_여_70~79세,"26,013","6,790",182,445,317,346,328,365,453,548,602,"1,016",364,"1,136",688,"6,929",419,292,449,485,647,731,533,825,739,723,"1,086","6,568",706,423,520,591,770,680,"1,078",325,530,734,211,"5,726",819,"1,091",409,716,537,587,"1,126",441
2020년08월_여_80~89세,"15,432","4,066",152,361,243,299,308,211,243,287,267,471,186,642,396,"3,920",339,262,248,284,267,367,320,490,365,411,567,"3,849",458,317,371,365,411,294,550,154,284,471,174,"3,597",587,742,323,419,284,299,669,274
2020년08월_여_90~99세,"2,628",738,31,67,42,40,53,32,48,61,43,86,30,135,70,671,49,47,43,59,37,56,57,82,64,72,105,638,81,43,59,63,70,46,90,19,57,93,17,581,102,124,47,47,45,46,116,54
2020년08월_여_100세 이상,142,46,2,8,1,4,2,4,5,4,1,4,2,5,4,33,0,2,4,5,4,4,3,3,4,1,3,32,3,4,3,4,4,2,5,0,3,2,2,31,6,4,6,4,2,1,6,2
