카테고리,경기도 파주시,경기도 파주시 문산읍,경기도 파주시 파주읍,경기도 파주시 법원읍,경기도 파주시 조리읍,경기도 파주시 월롱면,경기도 파주시 탄현면,경기도 파주시 광탄면,경기도 파주시 파평면,경기도 파주시 적성면,경기도 파주시 장단면,경기도 파주시 금촌1동,경기도 파주시 금촌2동,경기도 파주시 금촌3동,경기도 파주시 교하동,경기도 파주시 운정1동,경기도 파주시 운정2동,경기도 파주시 운정3동
2021년11월_남_60~69세,"27,289","2,771","1,342","1,147","2,444",697,"1,206","1,319",439,710,76,"1,702","1,464","1,694","2,401","2,387","2,075","3,415"
2021년11월_남_70~79세,"12,752","1,469",615,578,"1,106",287,541,599,270,402,51,757,737,796,"1,019","1,021","1,014","1,490"
2021년11월_남_80~89세,"5,596",655,301,242,511,111,271,258,137,161,28,311,330,353,425,424,428,650
2021년11월_남_90~99세,546,78,35,34,42,16,21,29,12,18,5,35,21,29,32,35,46,58
2021년11월_남_100세 이상,15,3,2,0,3,1,0,1,1,0,0,0,0,1,0,0,2,1
2021년11월_여_총인구수,"237,339","23,602","6,390","4,856","14,627","3,152","6,159","5,118","1,813","3,391",348,"10,328","16,804","13,496","24,749","26,205","32,137","44,164"
2021년11월_여_연령구간인구수,"237,339","23,602","6,390","4,856","14,627","3,152","6,159","5,118","1,813","3,391",348,"10,328","16,804","13,496","24,749","26,205","32,137","44,164"
2021년11월_여_0~9세,"21,293","2,306",280,146,787,81,293,210,33,270,13,495,"1,485","1,075","2,476","2,471","4,176","4,696"
2021년11월_여_10~19세,"24,459","2,360",422,307,"1,353",114,463,278,82,214,25,682,"2,029","1,276","2,832","3,161","3,896","4,965"
2021년11월_여_20~29세,"27,465","2,456",612,478,"1,635",701,628,453,151,333,27,"1,473","2,049","1,735","2,849","3,293","3,281","5,311"
2021년11월_여_30~39세,"32,392","3,367",610,374,"1,317",379,591,396,90,371,28,"1,176","2,124","1,643","3,628","3,786","5,607","6,905"
2021년11월_여_40~49세,"40,245","3,497",739,466,"2,101",269,902,517,142,339,32,"1,402","3,062","2,090","4,652","4,960","6,351","8,724"
2021년11월_여_50~59세,"36,640","3,376","1,123",912,"2,805",501,"1,145",997,304,511,63,"1,840","2,627","2,389","3,724","3,944","3,956","6,423"
2021년11월_여_60~69세,"27,305","2,915","1,180",997,"2,370",533,"1,002","1,045",420,598,59,"1,611","1,701","1,703","2,343","2,486","2,527","3,815"
2021년11월_여_70~79세,"16,098","1,914",750,654,"1,322",301,594,628,295,453,64,983,"1,039",934,"1,312","1,296","1,487","2,072"
2021년11월_여_80~89세,"9,716","1,247",568,452,803,230,445,476,231,245,33,567,586,547,769,683,734,"1,100"
2021년11월_여_90~99세,"1,671",159,104,69,126,43,88,114,64,52,4,96,101,104,160,119,120,148
2021년11월_여_100세 이상,55,5,2,1,8,0,8,4,1,5,0,3,1,0,4,6,2,5
