,서울특별시 성동구,서울특별시 성동구 왕십리제2동,서울특별시 성동구 왕십리도선동,서울특별시 성동구 마장동,서울특별시 성동구 사근동,서울특별시 성동구 행당제1동,서울특별시 성동구 행당제2동,서울특별시 성동구 응봉동,서울특별시 성동구 금호1가동,서울특별시 성동구 금호2.3가동,서울특별시 성동구 금호4가동,서울특별시 성동구 옥수동,서울특별시 성동구 성수1가제1동,서울특별시 성동구 성수1가제2동,서울특별시 성동구 성수2가제1동,서울특별시 성동구 성수2가제3동,서울특별시 성동구 송정동,서울특별시 성동구 용답동
2021년06월_남_총인구수,"141,042","8,041","12,663","11,119","6,159","6,697","11,054","7,414","7,388","10,905","6,890","12,213","8,378","6,365","8,433","5,589","5,608","6,126"
2021년06월_남_연령구간인구수,"141,042","8,041","12,663","11,119","6,159","6,697","11,054","7,414","7,388","10,905","6,890","12,213","8,378","6,365","8,433","5,589","5,608","6,126"
2021년06월_남_0~9세,"10,120",601,"1,177",600,218,473,872,598,632,886,690,"1,265",556,367,420,296,270,199
2021년06월_남_10~19세,"9,689",598,804,799,341,485,941,795,557,694,500,853,574,432,444,270,303,299
2021년06월_남_20~29세,"21,863","1,162","1,977","2,150","2,570","1,073","1,383",849,890,"1,422",735,"1,300","1,348","1,021","1,180",935,867,"1,001"
2021년06월_남_30~39세,"23,398","1,430","2,134","1,669",883,"1,098","1,701","1,071","1,226","1,976","1,242","2,221","1,415","1,163","1,380",998,885,906
2021년06월_남_40~49세,"22,057","1,264","1,989","1,502",597,"1,046","1,892","1,377","1,294","1,798","1,266","2,204","1,179",965,"1,167",751,841,925
2021년06월_남_50~59세,"23,151","1,301","2,067","1,795",632,"1,070","1,905","1,221","1,134","1,740","1,033","1,770","1,569","1,027","1,637",952,"1,055","1,243"
2021년06월_남_60~69세,"18,144","1,007","1,514","1,511",459,847,"1,311",775,974,"1,375",816,"1,513","1,137",830,"1,421",829,902,923
2021년06월_남_70~79세,"9,021",484,711,766,319,434,747,502,484,737,440,753,443,425,570,392,353,461
2021년06월_남_80~89세,"3,285",178,268,299,126,152,280,205,181,247,152,300,141,125,204,143,121,163
2021년06월_남_90~99세,285,15,22,26,9,18,21,19,16,27,14,31,14,9,8,20,10,6
2021년06월_남_100세 이상,29,1,0,2,5,1,1,2,0,3,2,3,2,1,2,3,1,0
2021년06월_여_총인구수,"148,120","8,589","13,933","11,405","5,858","7,218","12,563","8,175","8,132","11,975","7,545","14,032","8,372","6,539","7,702","5,456","5,005","5,621"
2021년06월_여_연령구간인구수,"148,120","8,589","13,933","11,405","5,858","7,218","12,563","8,175","8,132","11,975","7,545","14,032","8,372","6,539","7,702","5,456","5,005","5,621"
2021년06월_여_0~9세,"9,722",595,"1,116",576,200,484,891,566,649,820,653,"1,279",461,346,381,283,240,182
2021년06월_여_10~19세,"9,724",568,763,813,428,516,"1,133",823,517,729,453,796,538,423,416,250,258,300
2021년06월_여_20~29세,"22,511","1,301","2,301","2,096","2,163","1,152","1,553",902,900,"1,398",718,"1,552","1,255","1,056","1,064","1,039",832,"1,229"
2021년06월_여_30~39세,"24,308","1,437","2,475","1,556",712,"1,159","1,884","1,117","1,418","2,125","1,422","2,745","1,445","1,178","1,183",932,721,799
2021년06월_여_40~49세,"21,931","1,263","2,001","1,472",527,"1,091","2,038","1,496","1,247","1,867","1,293","2,251","1,230","1,015","1,032",713,694,701
2021년06월_여_50~59세,"23,363","1,398","2,288","1,870",659,"1,164","2,012","1,262","1,218","1,904","1,062","2,083","1,529",968,"1,386",823,877,860
2021년06월_여_60~69세,"18,988","1,073","1,561","1,540",512,832,"1,526",955,"1,162","1,604",996,"1,806","1,111",841,"1,236",723,767,743
2021년06월_여_70~79세,"11,209",646,873,947,423,534,995,651,632,953,607,961,517,455,664,438,396,517
2021년06월_여_80~89세,"5,475",262,478,447,201,243,457,349,341,503,298,460,253,230,288,222,189,254
2021년06월_여_90~99세,837,45,76,80,27,39,72,48,46,68,41,95,31,27,49,28,31,34
2021년06월_여_100세 이상,52,1,1,8,6,4,2,6,2,4,2,4,2,0,3,5,0,2
