,경기도 성남시,경기도 성남시 수정구,경기도 성남시 수정구 신흥1동,경기도 성남시 수정구 신흥2동,경기도 성남시 수정구 신흥3동,경기도 성남시 수정구 태평1동,경기도 성남시 수정구 태평2동,경기도 성남시 수정구 태평3동,경기도 성남시 수정구 태평4동,경기도 성남시 수정구 수진1동,경기도 성남시 수정구 수진2동,경기도 성남시 수정구 단대동,경기도 성남시 수정구 산성동,경기도 성남시 수정구 양지동,경기도 성남시 수정구 복정동,경기도 성남시 수정구 위례동,경기도 성남시 수정구 신촌동,경기도 성남시 수정구 고등동,경기도 성남시 수정구 시흥동,경기도 성남시 중원구,경기도 성남시 중원구 성남동,경기도 성남시 중원구 중앙동,경기도 성남시 중원구 금광1동,경기도 성남시 중원구 금광2동,경기도 성남시 중원구 은행1동,경기도 성남시 중원구 은행2동,경기도 성남시 중원구 상대원1동,경기도 성남시 중원구 상대원2동,경기도 성남시 중원구 상대원3동,경기도 성남시 중원구 하대원동,경기도 성남시 중원구 도촌동,경기도 성남시 분당구,경기도 성남시 분당구 분당동,경기도 성남시 분당구 수내1동,경기도 성남시 분당구 수내2동,경기도 성남시 분당구 수내3동,경기도 성남시 분당구 정자동,경기도 성남시 분당구 정자1동,경기도 성남시 분당구 정자2동,경기도 성남시 분당구 정자3동,경기도 성남시 분당구 서현1동,경기도 성남시 분당구 서현2동,경기도 성남시 분당구 이매1동,경기도 성남시 분당구 이매2동,경기도 성남시 분당구 야탑1동,경기도 성남시 분당구 야탑2동,경기도 성남시 분당구 야탑3동,경기도 성남시 분당구 판교동,경기도 성남시 분당구 삼평동,경기도 성남시 분당구 백현동,경기도 성남시 분당구 금곡동,경기도 성남시 분당구 구미1동,경기도 성남시 분당구 구미동,경기도 성남시 분당구 운중동
2020년10월_남_50~59세,"77,881","21,063","1,383","1,610","1,161","1,387","1,433","1,342","1,236","1,367","1,450","1,312","1,096",866,728,"3,491",294,645,262,"19,306","2,863","1,500",618,"2,137",881,"2,231","2,349","1,591","1,325","1,883","1,928","37,512","2,061","1,442",819,"1,098","1,415","2,410","1,126","1,192","2,515","1,638","2,058","1,190","1,283","1,250","2,157","1,799","1,977","2,265","2,161","1,418","2,502","1,736"
2020년10월_남_60~69세,"55,181","16,161","1,057","1,238",818,"1,184","1,060","1,045",851,"1,051","1,226","1,002",854,646,516,"2,608",238,489,278,"15,086","2,355","1,186",559,"1,717",632,"1,613","1,816","1,151","1,015","1,573","1,469","23,934","1,387",663,377,526,"1,015","1,209",829,663,"1,318",956,"1,299",821,"1,126","1,105","1,756",973,"1,116","1,336","1,635",892,"1,727","1,205"
2020년10월_남_70~79세,"26,302","7,779",497,551,423,629,547,463,465,533,653,507,486,342,239,970,100,224,150,"6,967","1,166",537,226,821,333,832,822,544,441,583,662,"11,556",702,392,220,219,492,784,391,334,696,393,614,396,520,548,776,409,457,553,853,418,930,459
2020년10월_남_80~89세,"9,136","2,280",137,122,113,196,165,141,168,156,192,183,152,117,50,275,27,48,38,"1,970",348,161,73,240,96,284,210,114,105,147,192,"4,886",288,253,101,86,167,396,182,217,371,157,245,161,186,248,229,142,147,141,381,197,455,136
2020년10월_남_90~99세,"1,041",226,12,14,12,19,17,20,8,23,13,16,15,7,6,27,4,8,5,180,30,24,5,20,6,23,17,14,10,13,18,635,38,35,14,10,15,39,25,31,44,16,30,15,27,26,23,15,16,23,57,25,94,17
2020년10월_남_100세 이상,136,63,6,5,2,1,7,6,4,7,3,6,10,1,2,2,0,1,0,51,8,18,5,2,1,7,4,3,2,0,1,22,2,0,1,1,1,3,1,2,1,3,2,1,1,1,0,0,1,0,0,0,1,0
2020년10월_여_총인구수,"475,423","119,896","6,420","9,914","5,374","7,621","7,795","6,633","6,694","6,057","7,976","7,969","6,029","5,045","5,018","23,261","2,249","4,278","1,563","106,637","16,255","6,624","3,418","12,546","5,454","12,364","12,496","6,654","6,013","10,502","14,311","248,890","13,441","9,469","5,472","7,085","9,925","16,443","8,428","8,038","16,753","9,527","13,330","7,074","8,932","8,833","14,810","12,203","12,745","14,386","15,368","9,200","16,383","11,045"
2020년10월_여_연령구간인구수,"475,423","119,896","6,420","9,914","5,374","7,621","7,795","6,633","6,694","6,057","7,976","7,969","6,029","5,045","5,018","23,261","2,249","4,278","1,563","106,637","16,255","6,624","3,418","12,546","5,454","12,364","12,496","6,654","6,013","10,502","14,311","248,890","13,441","9,469","5,472","7,085","9,925","16,443","8,428","8,038","16,753","9,527","13,330","7,074","8,932","8,833","14,810","12,203","12,745","14,386","15,368","9,200","16,383","11,045"
2020년10월_여_0~9세,"33,948","7,968",253,879,217,249,384,311,362,199,427,527,281,312,371,"2,530",261,320,85,"6,496",803,412,204,651,313,614,798,258,290,740,"1,413","19,484",990,618,581,509,732,"1,046",412,635,"1,203",694,"1,105",484,660,664,"1,085","1,506","1,324","1,425",959,631,"1,142","1,079"
2020년10월_여_10~19세,"43,038","8,677",340,798,305,389,533,463,603,320,517,611,482,454,218,"2,106",196,268,74,"8,047",959,415,240,974,540,972,895,486,409,803,"1,354","26,314","1,409","1,088",986,"1,162",970,"1,679",651,836,"2,164","1,112","1,567",867,633,872,"1,052","1,646","1,519","1,531","1,204",882,"1,314","1,170"
2020년10월_여_20~29세,"64,506","16,703",910,"1,249",818,"1,393","1,177",835,920,798,"1,122","1,023",738,686,"1,072","2,744",272,720,226,"14,957","2,829",716,450,"1,984",919,"1,687","1,582",813,827,"1,479","1,671","32,846","1,778","1,277",451,910,"1,470","2,612","1,032","1,011","2,358","1,323","1,655",877,"1,343","1,103","1,988","1,201","1,520","1,925","2,108","1,411","2,251","1,242"
2020년10월_여_30~39세,"67,640","16,800",746,"1,612",676,941,968,805,735,602,941,"1,056",685,540,"1,076","3,921",405,850,241,"14,417","2,460",927,490,"1,640",670,"1,394","1,807",708,664,"1,398","2,259","36,423","1,795","1,325",527,776,"1,700","2,735","1,473","1,237","2,168","1,174","1,861",769,"1,451","1,145","2,505","1,786","1,976","2,120","2,479","1,406","2,321","1,694"
2020년10월_여_40~49세,"80,024","17,855",867,"1,466",762,930,"1,100",957,"1,075",788,"1,109","1,206",961,811,805,"3,923",355,537,203,"15,671","2,155",954,478,"1,819",825,"1,863","1,811",912,825,"1,510","2,519","46,498","2,538","2,080","1,441","1,726","1,713","3,301","1,474","1,520","3,498","1,831","2,533","1,357","1,388","1,521","2,206","2,737","2,404","2,482","2,378","1,566","2,717","2,087"
2020년10월_여_50~59세,"78,186","20,403","1,148","1,771",980,"1,325","1,376","1,229","1,143","1,180","1,442","1,421","1,044",856,595,"3,682",300,663,248,"19,074","2,740","1,137",626,"2,163",902,"2,270","2,304","1,355","1,249","2,069","2,259","38,709","2,202","1,373",646,"1,000","1,482","2,367","1,259","1,216","2,475","1,677","2,082","1,193","1,432","1,347","2,441","1,598","1,945","2,493","2,445","1,522","2,731","1,783"
2020년10월_여_60~69세,"57,469","17,197","1,164","1,342",858,"1,219","1,189","1,040",926,"1,123","1,324","1,128",933,719,545,"2,618",284,518,267,"15,286","2,282","1,122",510,"1,840",664,"1,795","1,869","1,156",939,"1,470","1,639","24,986","1,464",707,391,556,"1,055","1,274",913,740,"1,392",953,"1,302",790,"1,098","1,123","1,923","1,004","1,206","1,410","1,830",905,"1,735","1,215"
2020년10월_여_70~79세,"31,575","9,408",646,517,524,801,685,655,599,691,761,653,632,453,223,"1,055",112,252,149,"8,217","1,304",621,253,970,403,"1,204",942,620,511,638,751,"13,950",758,547,264,265,527,889,638,474,863,435,741,426,594,641,949,453,535,603,"1,134",527,"1,225",462
2020년10월_여_80~89세,"15,551","4,011",286,223,191,318,312,282,273,292,271,274,226,177,83,569,52,125,57,"3,636",592,247,118,409,184,480,411,282,241,318,354,"7,904",413,390,151,151,219,470,478,297,518,264,383,247,265,338,537,222,256,337,677,281,760,250
2020년10월_여_90~99세,"3,135",729,44,44,36,44,60,45,44,51,50,60,32,35,27,110,12,24,11,702,108,49,24,84,30,70,69,55,50,73,90,"1,704",89,61,33,29,56,67,96,72,111,62,99,59,64,75,115,47,58,57,148,67,176,63
2020년10월_여_100세 이상,351,145,16,13,7,12,11,11,14,13,12,10,15,2,3,3,0,1,2,134,23,24,25,12,4,15,8,9,8,4,2,72,5,3,1,1,1,3,2,0,3,2,2,5,4,4,9,3,2,3,6,2,11,0
