,대구광역시 달서구,대구광역시 달서구 성당동,대구광역시 달서구 두류1.2동,대구광역시 달서구 두류3동,대구광역시 달서구 감삼동,대구광역시 달서구 죽전동,대구광역시 달서구 장기동,대구광역시 달서구 용산1동,대구광역시 달서구 용산2동,대구광역시 달서구 이곡1동,대구광역시 달서구 이곡2동,대구광역시 달서구 신당동,대구광역시 달서구 본리동,대구광역시 달서구 월성1동,대구광역시 달서구 월성2동,대구광역시 달서구 진천동,대구광역시 달서구 상인1동,대구광역시 달서구 상인2동,대구광역시 달서구 상인3동,대구광역시 달서구 도원동,대구광역시 달서구 송현1동,대구광역시 달서구 송현2동,대구광역시 달서구 본동
2020년10월_여_연령구간인구수,"284,337","12,447","7,599","4,446","14,282","7,254","8,946","15,874","14,635","11,799","8,273","15,588","11,398","22,390","8,659","39,183","20,256","10,225","5,975","18,829","10,010","9,614","6,655"
2020년10월_여_0~9세,"19,897",881,293,184,"1,085",344,647,"1,003",878,657,422,676,"1,112","2,558",279,"4,394","1,495",555,190,"1,139",400,381,324
2020년10월_여_10~19세,"26,887","1,080",359,277,"1,140",464,817,"1,683","1,409","1,262",672,"1,251","1,152","4,101",566,"4,008","2,202",688,272,"1,779",634,615,456
2020년10월_여_20~29세,"37,339","1,456","1,271",644,"2,157","1,156","1,209","2,384","2,165","1,884","1,167","3,089","1,271","1,902",829,"4,380","2,456","1,668",549,"2,348","1,405","1,191",758
2020년10월_여_30~39세,"32,298","1,399",917,466,"1,853",769,"1,091","1,624","1,553","1,184",945,"1,518","1,564","2,611",607,"5,917","2,113","1,249",477,"1,868","1,027",873,673
2020년10월_여_40~49세,"46,465","1,757",827,549,"2,129","1,030","1,457","2,895","2,476","2,034","1,214","2,267","2,043","5,805","1,113","6,982","3,609","1,352",592,"2,871","1,323","1,200",940
2020년10월_여_50~59세,"53,824","2,134","1,298",803,"2,755","1,536","1,771","3,328","3,347","2,658","1,903","3,177","2,020","2,727","1,563","6,297","3,905","2,088","1,250","4,021","2,021","1,857","1,365"
2020년10월_여_60~69세,"37,583","2,014","1,327",736,"1,919","1,135","1,130","1,724","1,599","1,174","1,220","1,830","1,387","1,545","1,693","4,155","2,553","1,527","1,396","2,808","1,743","1,818","1,150"
2020년10월_여_70~79세,"18,982","1,121",861,507,850,543,550,788,778,582,489,"1,078",553,719,"1,273","1,950","1,167",677,733,"1,205",920,"1,041",597
2020년10월_여_80~89세,"9,670",524,389,248,339,247,242,394,382,324,212,617,258,363,662,963,655,356,452,697,464,539,343
2020년10월_여_90~99세,"1,322",73,52,27,55,29,30,49,46,40,29,83,36,52,69,126,97,61,63,93,70,93,49
2020년10월_여_100세 이상,70,8,5,5,0,1,2,2,2,0,0,2,2,7,5,11,4,4,1,0,3,6,0
