카테고리,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2021년08월_남_20~29세,"72,150","19,089","2,689","1,905","1,226",985,410,587,"1,556","2,348","3,700","2,668","1,015","29,797","2,534","1,993","1,305","3,254","1,045","2,072","1,394","3,143","2,305","2,110","1,820","1,682","1,205","1,766","2,169","23,264","2,699","2,459","2,090","3,947","1,433","2,787","2,997","1,915","2,937"
2021년08월_남_30~39세,"70,265","17,885","2,122","1,653","1,305","2,014",422,436,"1,397","1,748","3,730","2,269",789,"28,257","3,111","2,209","1,590","3,804","1,035","1,783","1,366","2,230","1,982","1,930","1,473",968,"1,615","1,312","1,849","24,123","3,354","2,806","1,786","3,241","1,644","3,590","3,140","1,916","2,646"
2021년08월_남_40~49세,"97,813","22,888","3,079","2,420","1,808","2,342",570,601,"1,720","2,030","3,934","3,375","1,009","40,506","3,281","2,937","1,380","3,642","1,209","3,136","1,945","2,327","3,624","2,560","3,607","2,787","2,655","2,026","3,390","34,419","2,895","4,315","3,611","5,015","1,474","4,720","4,415","3,050","4,924"
2021년08월_남_50~59세,"85,956","22,564","3,170","2,589","1,939","1,539",826,886,"1,825","2,112","3,149","3,254","1,275","34,662","3,154","2,520","1,324","3,326","1,219","2,708","1,738","1,586","2,998","2,505","2,611","2,420","1,524","2,233","2,796","28,730","2,722","3,110","3,034","4,458","1,404","3,657","3,617","2,577","4,151"
2021년08월_남_60~69세,"53,875","17,022","2,000","2,012","1,549","1,487",929,"1,024","1,508","1,569","2,005","1,827","1,112","20,410","2,070","1,278",870,"1,866",669,"1,646","1,311",953,"1,969","1,780",959,986,996,"1,358","1,699","16,443","1,801","1,266","1,628","2,544",876,"2,323","1,952","1,438","2,615"
2021년08월_남_70~79세,"29,853","7,528",838,889,674,780,478,446,583,665,895,822,458,"11,795","1,044",541,373,871,393,"1,006",682,365,"1,386","1,253",597,564,781,683,"1,256","10,530","1,010",685,"1,237","1,463",481,"1,231","1,252","1,082","2,089"
2021년08월_남_80~89세,"12,393","2,831",332,346,263,228,182,234,221,255,311,309,150,"5,077",459,158,219,279,188,403,278,127,671,581,243,253,397,254,567,"4,485",429,395,548,704,205,412,534,468,790
2021년08월_남_90~99세,"1,163",267,24,27,23,20,17,22,29,23,30,32,20,489,37,14,61,25,9,48,13,8,44,64,31,24,34,20,57,407,42,32,46,66,33,34,40,45,69
2021년08월_남_100세 이상,24,8,0,0,1,1,0,0,1,3,1,0,1,11,1,1,1,1,0,1,2,0,0,2,0,1,1,0,0,5,1,0,0,1,0,1,1,0,1
2021년08월_여_총인구수,"544,102","127,349","16,252","12,835","9,999","11,818","4,006","4,175","9,419","12,290","22,288","17,959","6,308","223,479","19,252","15,356","8,853","20,975","6,428","16,869","10,973","12,744","20,386","16,392","17,058","13,868","13,192","12,644","18,489","193,274","18,298","21,005","19,544","29,295","9,308","25,171","25,139","17,278","28,236"
2021년08월_여_연령구간인구수,"544,102","127,349","16,252","12,835","9,999","11,818","4,006","4,175","9,419","12,290","22,288","17,959","6,308","223,479","19,252","15,356","8,853","20,975","6,428","16,869","10,973","12,744","20,386","16,392","17,058","13,868","13,192","12,644","18,489","193,274","18,298","21,005","19,544","29,295","9,308","25,171","25,139","17,278","28,236"
2021년08월_여_0~9세,"47,328","9,998","1,068",888,750,"1,570",164,104,570,755,"2,262","1,547",320,"19,872","1,609","1,628",897,"2,035",415,"1,355",878,"1,511","1,544","1,236","1,628","1,205","1,532",872,"1,527","17,458","1,273","2,211","1,661","2,352",696,"2,702","2,343","1,556","2,664"
2021년08월_여_10~19세,"59,604","12,642","1,797","1,163",860,"1,012",305,502,"1,180","1,076","2,179","2,059",509,"24,604","1,694","1,741",605,"1,608",621,"2,090","1,050","1,291","2,301","1,457","2,806","2,237","1,587","1,329","2,187","22,358","1,749","2,777","2,608","3,418",749,"2,600","3,070","2,040","3,347"
2021년08월_여_20~29세,"66,406","15,880","2,126","1,545",942,860,329,366,"1,104","2,080","3,471","2,245",812,"27,360","2,519","1,799","1,144","3,359",913,"1,961","1,199","2,159","2,105","1,960","1,803","1,564","1,210","1,631","2,034","23,166","2,570","2,474","1,977","3,988","1,404","2,776","3,240","1,899","2,838"
2021년08월_여_30~39세,"71,879","15,774","1,769","1,461","1,043","2,055",296,298,"1,052","1,435","3,575","2,190",600,"29,527","2,884","2,285","1,569","3,775",852,"1,890","1,396","2,183","2,123","2,010","1,788","1,317","1,902","1,401","2,152","26,578","2,910","3,204","2,115","3,635","1,567","4,073","3,513","2,170","3,391"
2021년08월_여_40~49세,"100,541","20,613","2,849","2,108","1,524","1,994",471,378,"1,396","1,829","3,786","3,347",931,"42,322","3,254","2,981","1,353","3,444","1,108","3,241","1,909","2,187","3,944","2,741","4,095","3,318","2,723","2,210","3,814","37,606","3,035","4,532","4,220","5,526","1,528","4,872","4,872","3,358","5,663"
2021년08월_여_50~59세,"83,143","21,094","2,838","2,191","1,801","1,530",731,679,"1,616","2,107","3,306","3,026","1,269","33,974","3,061","2,453","1,463","3,283","1,048","2,652","1,818","1,669","3,071","2,647","2,291","2,030","1,505","2,326","2,657","28,075","2,740","2,783","2,864","4,535","1,468","3,561","3,534","2,587","4,003"
2021년08월_여_60~69세,"58,552","16,761","1,967","1,889","1,597","1,568",873,882,"1,365","1,633","2,084","1,863","1,040","23,048","2,128","1,452",939,"1,947",693,"1,841","1,493","1,015","2,492","2,027","1,268","1,133","1,242","1,505","1,873","18,743","2,020","1,306","1,876","2,876",966,"2,542","2,275","1,720","3,162"
2021년08월_여_70~79세,"36,147","8,713","1,116",975,846,755,454,481,630,826,"1,044","1,057",529,"14,627","1,349",631,380,996,512,"1,204",787,477,"1,838","1,529",904,688,977,868,"1,487","12,807","1,281","1,054","1,539","1,904",571,"1,378","1,536","1,310","2,234"
2021년08월_여_80~89세,"17,177","4,903",604,505,527,402,316,421,409,463,479,536,241,"6,822",651,311,393,430,233,539,364,216,792,659,416,317,454,419,628,"5,452",612,584,571,910,296,545,617,541,776
2021년08월_여_90~99세,"3,200",939,116,107,104,71,65,63,91,83,99,85,55,"1,271",97,73,107,92,33,92,76,34,171,121,57,58,60,77,123,990,99,79,110,143,61,117,135,94,152
2021년08월_여_100세 이상,125,32,2,3,5,1,2,1,6,3,3,4,2,52,6,2,3,6,0,4,3,2,5,5,2,1,0,6,7,41,9,1,3,8,2,5,4,3,6
