카테고리,광주광역시 북구,광주광역시 북구 중흥1동,광주광역시 북구 중흥2동,광주광역시 북구 중흥3동,광주광역시 북구 중앙동,광주광역시 북구 임동,광주광역시 북구 신안동,광주광역시 북구 용봉동,광주광역시 북구 운암1동,광주광역시 북구 운암2동,광주광역시 북구 운암3동,광주광역시 북구 동림동,광주광역시 북구 우산동,광주광역시 북구 풍향동,광주광역시 북구 문화동,광주광역시 북구 문흥1동,광주광역시 북구 문흥2동,광주광역시 북구 두암1동,광주광역시 북구 두암2동,광주광역시 북구 두암3동,광주광역시 북구 삼각동,광주광역시 북구 일곡동,광주광역시 북구 매곡동,광주광역시 북구 오치1동,광주광역시 북구 오치2동,광주광역시 북구 석곡동,광주광역시 북구 건국동,광주광역시 북구 양산동
2020년05월_남_20~29세,"33,093",446,699,471,239,493,"1,103","3,731","1,334",981,"1,166","1,642",735,389,"1,269","1,350","1,327",605,"1,265",902,"1,318","2,598","1,125","1,044","1,075",154,"3,082","2,550"
2020년05월_남_30~39세,"29,359",528,469,421,261,600,962,"2,520","1,161",816,881,"1,875",566,450,"1,398",878,"1,099",460,"1,056",748,929,"1,418",884,697,817,133,"4,499","2,833"
2020년05월_남_40~49세,"34,265",382,496,419,269,625,932,"2,814","1,437",930,953,"1,930",738,500,"1,445","1,206","1,216",571,"1,184",918,"1,206","2,615","1,097",903,855,159,"5,256","3,209"
2020년05월_남_50~59세,"35,522",393,526,401,336,634,"1,021","3,205","1,500","1,137","1,179","1,774",961,502,"1,561","1,468","1,212",688,"1,459","1,356","1,376","2,797","1,143","1,160","1,221",320,"3,433","2,759"
2020년05월_남_60~69세,"24,427",360,489,305,308,533,779,"2,014","1,195",948,910,"1,177",940,338,"1,214","1,025",881,591,"1,216","1,289",703,"1,081",727,752,"1,017",277,"1,747","1,611"
2020년05월_남_70~79세,"12,807",197,320,210,181,403,483,"1,067",589,589,387,609,588,232,719,453,464,445,685,638,318,448,334,349,480,167,721,731
2020년05월_남_80~89세,"4,095",70,157,78,64,112,173,312,160,199,121,148,188,68,215,155,184,132,192,213,86,200,114,87,143,66,219,239
2020년05월_남_90~99세,336,6,15,4,10,11,9,23,12,11,12,18,14,4,18,13,17,13,13,15,7,24,8,6,8,8,18,19
2020년05월_남_100세 이상,13,2,1,0,1,0,0,0,0,0,1,1,3,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0
2020년05월_여_총인구수,"217,837","2,441","3,421","2,387","1,547","4,140","5,478","19,276","10,226","6,278","7,417","11,913","5,621","3,082","9,776","8,538","8,656","4,062","8,480","7,323","7,076","15,779","7,314","5,795","6,595","1,299","26,235","17,682"
2020년05월_여_연령구간인구수,"217,837","2,441","3,421","2,387","1,547","4,140","5,478","19,276","10,226","6,278","7,417","11,913","5,621","3,082","9,776","8,538","8,656","4,062","8,480","7,323","7,076","15,779","7,314","5,795","6,595","1,299","26,235","17,682"
2020년05월_여_0~9세,"16,905",117,143,137,43,292,210,"1,329",904,334,486,"1,115",215,276,762,596,614,157,514,255,521,"1,213",622,358,285,42,"3,663","1,702"
2020년05월_여_10~19세,"20,774",85,242,142,64,273,355,"1,820","1,132",474,714,"1,104",327,266,704,971,767,339,707,428,751,"2,218",811,529,398,56,"3,097","2,000"
2020년05월_여_20~29세,"29,764",564,654,417,271,452,"1,023","3,373","1,293",850,"1,009","1,462",673,363,"1,172","1,175","1,274",523,"1,133",820,"1,081","2,234",934,870,941,106,"2,771","2,326"
2020년05월_여_30~39세,"27,250",432,321,302,158,604,698,"2,218","1,270",623,827,"1,817",466,409,"1,301",865,"1,013",386,885,618,863,"1,633",878,643,654,94,"4,723","2,549"
2020년05월_여_40~49세,"34,151",238,432,302,155,557,637,"2,890","1,706",835,"1,113","1,905",620,470,"1,288","1,373","1,313",515,"1,123",817,"1,285","3,408","1,289",868,806,102,"5,042","3,062"
2020년05월_여_50~59세,"37,166",321,493,338,251,654,872,"3,544","1,672","1,104","1,452","2,040",963,442,"1,693","1,659","1,475",732,"1,601","1,401","1,302","2,786","1,345","1,133","1,368",250,"3,457","2,818"
2020년05월_여_60~69세,"26,839",317,519,354,272,647,797,"2,266","1,368","1,087","1,016","1,415","1,129",413,"1,442","1,045","1,102",725,"1,355","1,375",696,"1,095",748,739,"1,057",267,"1,862","1,731"
2020년05월_여_70~79세,"15,929",241,417,275,204,469,578,"1,216",597,654,482,691,781,284,890,546,732,456,762,975,370,717,402,423,625,217,974,951
2020년05월_여_80~89세,"7,632",106,172,104,98,153,255,534,228,269,264,303,370,129,444,260,315,191,341,552,171,414,238,191,397,134,537,462
2020년05월_여_90~99세,"1,321",16,25,11,28,34,47,80,52,45,50,59,68,28,72,45,50,35,56,78,36,60,43,34,62,28,101,78
2020년05월_여_100세 이상,106,4,3,5,3,5,6,6,4,3,4,2,9,2,8,3,1,3,3,4,0,1,4,7,2,3,8,3
