,경상북도 김천시,경상북도 김천시 아포읍,경상북도 김천시 농소면,경상북도 김천시 남면,경상북도 김천시 개령면,경상북도 김천시 감문면,경상북도 김천시 어모면,경상북도 김천시 봉산면,경상북도 김천시 대항면,경상북도 김천시 감천면,경상북도 김천시 조마면,경상북도 김천시 구성면,경상북도 김천시 지례면,경상북도 김천시 부항면,경상북도 김천시 대덕면,경상북도 김천시 증산면,경상북도 김천시 자산동,경상북도 김천시 평화남산동,경상북도 김천시 양금동,경상북도 김천시 대신동,경상북도 김천시 대곡동,경상북도 김천시 지좌동,경상북도 김천시 율곡동
2020년04월_남_연령구간인구수,"70,365","3,620","1,559","1,620","1,265","1,673","2,099","1,642","1,790","1,011","1,128","1,419",801,650,"1,071",517,"3,497","3,873","1,955","12,265","10,184","5,558","11,168"
2020년04월_남_0~9세,"5,554",213,51,46,38,50,84,57,56,36,31,25,19,17,39,8,131,130,84,"1,139",737,462,"2,101"
2020년04월_남_10~19세,"6,397",225,71,84,58,62,128,86,101,52,56,64,33,24,63,23,187,260,135,"1,548","1,235",626,"1,276"
2020년04월_남_20~29세,"8,358",334,144,158,139,121,204,153,199,74,86,96,64,48,75,31,400,499,180,"1,965","1,439",769,"1,180"
2020년04월_남_30~39세,"8,253",322,131,105,85,116,132,121,127,88,70,79,47,31,77,15,348,446,150,"1,459","1,128",721,"2,455"
2020년04월_남_40~49세,"10,279",491,197,188,139,166,236,173,184,122,131,137,75,74,99,54,524,493,246,"1,977","1,488",950,"2,135"
2020년04월_남_50~59세,"12,522",766,320,363,266,334,421,357,418,209,241,320,158,133,209,131,612,703,357,"2,105","1,787",979,"1,333"
2020년04월_남_60~69세,"10,360",705,323,371,292,413,447,359,388,210,266,334,194,174,238,140,681,674,388,"1,255","1,364",651,493
2020년04월_남_70~79세,"5,783",368,189,195,176,255,298,235,206,133,161,238,122,90,169,61,455,435,272,558,716,304,147
2020년04월_남_80~89세,"2,619",179,123,106,66,144,134,87,104,81,76,107,73,55,97,49,147,217,130,239,274,89,42
2020년04월_남_90~99세,230,16,10,4,6,12,14,13,6,6,10,18,14,4,5,5,12,16,11,20,15,7,6
2020년04월_남_100세 이상,10,1,0,0,0,0,1,1,1,0,0,1,2,0,0,0,0,0,2,0,1,0,0
2020년04월_여_총인구수,"70,053","3,573","1,444","1,545","1,238","1,691","2,054","1,579","1,730",950,"1,146","1,441",805,647,"1,092",547,"3,403","3,989","2,082","12,484","10,343","5,356","10,914"
2020년04월_여_연령구간인구수,"70,053","3,573","1,444","1,545","1,238","1,691","2,054","1,579","1,730",950,"1,146","1,441",805,647,"1,092",547,"3,403","3,989","2,082","12,484","10,343","5,356","10,914"
2020년04월_여_0~9세,"5,196",186,50,34,26,32,71,44,45,20,34,24,16,12,19,6,113,115,69,"1,071",735,455,"2,019"
2020년04월_여_10~19세,"5,594",214,69,68,52,51,84,62,91,36,48,37,26,23,65,17,206,195,114,"1,472",952,509,"1,203"
2020년04월_여_20~29세,"6,495",255,104,100,75,80,120,122,125,73,64,91,36,26,54,15,263,354,165,"1,586","1,027",586,"1,174"
2020년04월_여_30~39세,"7,356",293,83,90,61,74,99,88,99,36,56,50,27,19,44,17,240,296,126,"1,409","1,046",601,"2,502"
2020년04월_여_40~49세,"9,214",368,117,122,81,99,198,119,144,68,80,79,46,45,73,40,339,399,181,"2,105","1,562",908,"2,041"
2020년04월_여_50~59세,"11,506",697,227,259,219,266,356,304,334,175,203,222,117,100,185,111,565,712,345,"2,083","1,981",936,"1,109"
2020년04월_여_60~69세,"10,815",671,322,308,290,365,427,355,379,200,251,330,160,128,221,125,809,916,450,"1,345","1,535",725,503
2020년04월_여_70~79세,"7,620",457,252,283,228,346,372,273,264,161,186,282,196,154,208,93,552,621,401,808,879,390,214
2020년04월_여_80~89세,"5,334",362,189,222,175,322,268,188,201,153,194,277,159,120,196,108,276,320,206,526,535,209,128
2020년04월_여_90~99세,884,70,31,54,30,55,57,23,45,27,29,49,20,19,25,14,40,57,24,72,89,35,19
2020년04월_여_100세 이상,39,0,0,5,1,1,2,1,3,1,1,0,2,1,2,1,0,4,1,7,2,2,2
