,경상북도 안동시,경상북도 안동시 풍산읍,경상북도 안동시 와룡면,경상북도 안동시 북후면,경상북도 안동시 서후면,경상북도 안동시 풍천면,경상북도 안동시 일직면,경상북도 안동시 남후면,경상북도 안동시 남선면,경상북도 안동시 임하면,경상북도 안동시 길안면,경상북도 안동시 임동면,경상북도 안동시 예안면,경상북도 안동시 도산면,경상북도 안동시 녹전면,경상북도 안동시 중구동,경상북도 안동시 명륜동,경상북도 안동시 용상동,경상북도 안동시 서구동,경상북도 안동시 태화동,경상북도 안동시 평화동,경상북도 안동시 안기동,경상북도 안동시 옥동,경상북도 안동시 송하동,경상북도 안동시 강남동
2021년11월_계_80~89세,"10,011",786,557,444,395,478,397,285,227,329,389,247,258,217,256,352,295,869,538,666,356,259,665,491,255
2021년11월_계_90~99세,"1,497",129,80,62,85,81,54,44,42,62,48,25,27,36,36,63,36,121,73,86,54,39,89,88,37
2021년11월_계_100세 이상,45,4,4,1,0,7,1,0,0,1,0,1,1,0,0,1,0,2,4,4,2,1,5,4,2
2021년11월_남_총인구수,"77,742","3,228","2,040","1,539","1,848","3,583","1,288",860,"1,073","1,458","1,366",891,951,835,891,"2,462","2,371","10,951","4,327","6,499","3,050","3,051","10,129","7,865","5,186"
2021년11월_남_연령구간인구수,"77,742","3,228","2,040","1,539","1,848","3,583","1,288",860,"1,073","1,458","1,366",891,951,835,891,"2,462","2,371","10,951","4,327","6,499","3,050","3,051","10,129","7,865","5,186"
2021년11월_남_0~9세,"5,232",95,42,31,36,245,20,11,26,27,16,21,27,11,16,117,141,935,332,434,176,165,965,794,549
2021년11월_남_10~19세,"6,988",157,116,49,72,188,69,34,38,55,40,24,31,24,30,173,197,"1,201",450,500,275,280,"1,326",875,784
2021년11월_남_20~29세,"8,918",254,141,86,161,502,74,41,95,96,62,39,57,38,32,332,263,"1,683",446,756,356,358,"1,347","1,045",654
2021년11월_남_30~39세,"7,904",208,107,96,137,615,63,46,69,76,63,31,41,44,46,232,206,"1,280",361,775,309,308,"1,161","1,059",571
2021년11월_남_40~49세,"11,120",343,184,195,199,455,135,94,110,166,119,85,62,75,79,337,352,"1,722",673,980,448,403,"1,747","1,224",933
2021년11월_남_50~59세,"13,258",580,372,298,349,523,239,148,232,289,291,171,179,158,155,409,459,"1,750",715,"1,080",489,551,"1,644","1,302",875
2021년11월_남_60~69세,"13,052",755,517,369,471,521,301,221,260,407,408,281,276,226,279,404,414,"1,373",686,"1,053",504,563,"1,239","1,036",488
2021년11월_남_70~79세,"7,479",539,335,245,260,341,251,154,159,221,220,148,171,169,156,308,240,699,448,643,342,311,501,375,243
2021년11월_남_80~89세,"3,474",264,204,161,146,167,127,109,75,106,139,83,100,78,88,139,89,288,196,264,140,101,187,142,81
2021년11월_남_90~99세,307,32,21,9,17,22,9,2,9,15,8,8,7,12,10,10,10,19,20,13,11,11,11,13,8
2021년11월_남_100세 이상,10,1,1,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0
2021년11월_여_총인구수,"79,435","3,144","1,931","1,408","1,636","3,424","1,375",865,"1,012","1,337","1,341",829,874,757,826,"2,606","2,572","11,099","4,664","6,561","3,239","3,133","11,193","8,284","5,325"
2021년11월_여_연령구간인구수,"79,435","3,144","1,931","1,408","1,636","3,424","1,375",865,"1,012","1,337","1,341",829,874,757,826,"2,606","2,572","11,099","4,664","6,561","3,239","3,133","11,193","8,284","5,325"
2021년11월_여_0~9세,"4,828",89,37,23,34,228,19,10,23,26,26,11,20,10,11,94,124,879,271,444,177,143,918,694,517
2021년11월_여_10~19세,"6,359",117,74,33,51,184,47,24,45,53,38,25,15,19,31,157,214,"1,074",445,427,238,263,"1,254",821,710
2021년11월_여_20~29세,"7,445",183,119,43,109,467,52,32,46,59,45,28,22,25,26,281,244,"1,296",382,603,286,317,"1,221",923,636
2021년11월_여_30~39세,"7,182",162,72,49,72,508,47,21,50,61,47,22,32,22,21,243,191,"1,231",380,671,255,242,"1,192","1,006",585
2021년11월_여_40~49세,"10,462",206,120,100,122,337,89,50,58,77,41,49,43,36,38,276,328,"1,735",682,854,434,417,"1,948","1,334","1,088"
2021년11월_여_50~59세,"12,455",468,267,212,228,411,177,121,188,199,215,104,153,104,115,376,446,"1,699",684,"1,084",534,588,"1,841","1,442",799
2021년11월_여_60~69세,"13,768",722,446,333,424,512,324,192,259,334,327,221,232,207,218,509,475,"1,571",854,"1,210",663,638,"1,484","1,104",509
2021년11월_여_70~79세,"9,174",575,381,278,279,404,304,197,158,257,312,187,178,171,172,404,318,930,567,790,391,338,775,532,276
2021년11월_여_80~89세,"6,537",522,353,283,249,311,270,176,152,223,250,164,158,139,168,213,206,581,342,402,216,158,478,349,174
2021년11월_여_90~99세,"1,190",97,59,53,68,59,45,42,33,47,40,17,20,24,26,53,26,102,53,73,43,28,78,75,29
2021년11월_여_100세 이상,35,3,3,1,0,3,1,0,0,1,0,1,1,0,0,0,0,1,4,3,2,1,4,4,2
