카테고리,서울특별시 강남구,서울특별시 강남구 신사동,서울특별시 강남구 논현1동,서울특별시 강남구 논현2동,서울특별시 강남구 압구정동,서울특별시 강남구 청담동,서울특별시 강남구 삼성1동,서울특별시 강남구 삼성2동,서울특별시 강남구 대치1동,서울특별시 강남구 대치2동,서울특별시 강남구 대치4동,서울특별시 강남구 역삼1동,서울특별시 강남구 역삼2동,서울특별시 강남구 도곡1동,서울특별시 강남구 도곡2동,서울특별시 강남구 개포1동,서울특별시 강남구 개포2동,서울특별시 강남구 개포4동,서울특별시 강남구 세곡동,서울특별시 강남구 일원본동,서울특별시 강남구 일원1동,서울특별시 강남구 일원2동,서울특별시 강남구 수서동
2021년05월_남_50~59세,"40,310","1,219","1,404","1,434","2,031","1,884","1,039","2,169","2,189","3,380","1,644","2,215","2,733","1,737","2,768",524,"1,778","1,972","2,924","1,813","1,192","1,266",995
2021년05월_남_60~69세,"27,580",819,995,987,"1,405","1,385",777,"1,134",932,"2,174",714,"1,457","1,166","1,253","1,734",552,"1,466","1,421","2,248","1,333","1,141","1,097","1,390"
2021년05월_남_70~79세,"16,223",612,642,718,"1,111",822,467,743,565,"1,084",475,796,788,617,"1,094",366,707,629,"1,314",563,664,639,807
2021년05월_남_80~89세,"5,143",294,221,224,475,289,148,259,168,258,146,265,270,193,387,108,154,179,442,139,163,136,225
2021년05월_남_90~99세,517,28,22,21,45,24,22,18,16,23,7,20,20,29,40,10,12,15,59,16,23,14,33
2021년05월_남_100세 이상,29,0,0,3,0,2,1,2,2,1,0,1,0,1,1,1,2,1,5,1,2,1,2
2021년05월_여_총인구수,"277,738","8,690","11,965","11,477","14,411","14,121","6,627","15,507","12,164","18,024","10,546","18,291","19,305","11,512","17,939","3,320","11,373","12,233","23,034","11,961","7,840","9,214","8,184"
2021년05월_여_연령구간인구수,"277,738","8,690","11,965","11,477","14,411","14,121","6,627","15,507","12,164","18,024","10,546","18,291","19,305","11,512","17,939","3,320","11,373","12,233","23,034","11,961","7,840","9,214","8,184"
2021년05월_여_0~9세,"17,258",429,361,537,"1,103",945,388,"1,076",842,908,358,488,"1,402",885,"1,385",177,828,836,"2,093",954,350,622,291
2021년05월_여_10~19세,"27,882",824,455,646,"1,425","1,055",524,"1,551","2,410","2,470","1,113",695,"2,830","1,264","2,666",280,"1,288","1,124","2,360","1,421",508,685,288
2021년05월_여_20~29세,"37,624","1,181","2,537","1,927","1,626","2,044",846,"1,996","1,163","2,116","1,744","4,219","2,573","1,552","2,113",348,"1,358","1,649","2,782","1,221","1,040",844,745
2021년05월_여_30~39세,"43,010","1,257","2,936","2,409","1,845","2,437","1,005","2,760",882,"1,762","1,817","5,070","2,865","1,727","2,005",354,"1,446","1,880","3,524","1,540","1,051","1,345","1,093"
2021년05월_여_40~49세,"52,496","1,597","1,957","2,015","2,570","2,568","1,134","3,409","3,354","3,986","2,242","3,005","4,594","2,045","3,602",488,"1,960","2,097","4,020","2,431","1,029","1,616",777
2021년05월_여_50~59세,"40,049","1,270","1,424","1,522","2,125","2,090","1,117","2,104","1,708","3,133","1,609","1,978","2,279","1,762","2,729",512,"1,945","1,988","3,052","1,907","1,266","1,334","1,195"
2021년05월_여_60~69세,"32,630",959,"1,246","1,282","1,784","1,629",919,"1,337","1,021","2,169",859,"1,597","1,462","1,321","1,885",641,"1,622","1,655","2,792","1,574","1,400","1,492","1,984"
2021년05월_여_70~79세,"18,052",776,714,787,"1,288",921,476,912,536,"1,059",602,857,948,611,"1,052",346,640,703,"1,416",567,744,906,"1,191"
2021년05월_여_80~89세,"6,920",323,281,288,510,334,174,285,186,336,163,300,285,279,393,133,215,235,791,252,359,306,492
2021년05월_여_90~99세,"1,701",69,48,62,123,90,42,66,54,80,38,73,60,64,101,36,67,62,202,91,89,59,125
2021년05월_여_100세 이상,116,5,6,2,12,8,2,11,8,5,1,9,7,2,8,5,4,4,2,3,4,5,3
