,대전광역시 동구,대전광역시 동구 중앙동,대전광역시 동구 효동,대전광역시 동구 신인동,대전광역시 동구 판암1동,대전광역시 동구 판암2동,대전광역시 동구 용운동,대전광역시 동구 대동,대전광역시 동구 자양동,대전광역시 동구 가양1동,대전광역시 동구 가양2동,대전광역시 동구 용전동,대전광역시 동구 성남동,대전광역시 동구 홍도동,대전광역시 동구 삼성동,대전광역시 동구 대청동,대전광역시 동구 산내동
2021년12월_남_연령구간인구수,"111,953","2,546","12,149","5,855","6,074","4,151","11,053","7,469","5,626","7,038","9,152","10,522","5,941","5,598","7,170","1,252","10,357"
2021년12월_남_0~9세,"7,348",56,"1,144",423,423,126,872,703,175,370,463,517,458,295,369,28,926
2021년12월_남_10~19세,"10,087",57,"1,747",463,483,187,915,750,360,546,892,751,447,402,633,60,"1,394"
2021년12월_남_20~29세,"15,862",188,"1,387",638,770,419,"1,763",889,"1,523","1,054","1,457","2,015",680,"1,073",807,106,"1,093"
2021년12월_남_30~39세,"13,646",222,"1,315",802,789,411,"1,604",980,650,769,"1,077","1,736",741,689,733,96,"1,032"
2021년12월_남_40~49세,"17,511",307,"2,369",931,826,560,"1,665","1,215",709,"1,097","1,341","1,636",914,825,"1,098",135,"1,883"
2021년12월_남_50~59세,"18,762",586,"1,812",914,"1,050",760,"1,793","1,200",845,"1,218","1,676","1,722","1,038",943,"1,327",263,"1,615"
2021년12월_남_60~69세,"16,588",638,"1,396",895,973,922,"1,505","1,006",774,"1,147","1,332","1,318",948,832,"1,207",316,"1,379"
2021년12월_남_70~79세,"8,640",364,706,548,521,524,696,502,419,596,663,616,522,379,698,158,728
2021년12월_남_80~89세,"3,215",120,247,225,214,219,220,200,162,222,236,198,174,156,270,76,276
2021년12월_남_90~99세,288,8,26,16,25,22,19,24,9,18,15,13,18,4,27,14,30
2021년12월_남_100세 이상,6,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1
2021년12월_여_총인구수,"110,269","1,999","12,573","6,142","6,319","4,366","10,889","7,450","5,026","6,649","9,092","9,974","6,013","5,467","6,918","1,163","10,229"
2021년12월_여_연령구간인구수,"110,269","1,999","12,573","6,142","6,319","4,366","10,889","7,450","5,026","6,649","9,092","9,974","6,013","5,467","6,918","1,163","10,229"
2021년12월_여_0~9세,"6,808",61,"1,145",409,336,122,796,629,180,379,409,497,372,231,388,34,820
2021년12월_여_10~19세,"9,387",71,"1,606",396,443,169,913,673,369,518,816,708,462,373,568,68,"1,234"
2021년12월_여_20~29세,"14,228",128,"1,181",650,686,328,"1,573",826,"1,285",878,"1,447","1,930",603,"1,046",642,81,944
2021년12월_여_30~39세,"11,597",153,"1,376",714,685,294,"1,374",903,416,623,830,"1,287",664,576,621,53,"1,028"
2021년12월_여_40~49세,"15,935",166,"2,447",807,852,410,"1,565","1,169",516,903,"1,267","1,432",800,679,965,103,"1,854"
2021년12월_여_50~59세,"17,518",288,"1,803","1,013","1,090",689,"1,814","1,167",725,"1,066","1,609","1,573","1,004",891,"1,166",190,"1,430"
2021년12월_여_60~69세,"17,703",496,"1,638","1,111","1,064","1,023","1,596","1,057",779,"1,149","1,448","1,409","1,069",884,"1,267",257,"1,456"
2021년12월_여_70~79세,"10,514",397,883,666,692,757,791,618,489,718,776,740,648,483,810,174,872
2021년12월_여_80~89세,"5,665",204,408,329,417,489,399,352,225,367,420,350,329,258,430,175,513
2021년12월_여_90~99세,886,33,84,46,53,85,66,54,39,45,66,46,60,46,61,28,74
2021년12월_여_100세 이상,28,2,2,1,1,0,2,2,3,3,4,2,2,0,0,0,4
