,인천광역시 부평구,인천광역시 부평구 부평1동,인천광역시 부평구 부평2동,인천광역시 부평구 부평3동,인천광역시 부평구 부평4동,인천광역시 부평구 부평5동,인천광역시 부평구 부평6동,인천광역시 부평구 산곡1동,인천광역시 부평구 산곡2동,인천광역시 부평구 산곡3동,인천광역시 부평구 산곡4동,인천광역시 부평구 청천1동,인천광역시 부평구 청천2동,인천광역시 부평구 갈산1동,인천광역시 부평구 갈산2동,인천광역시 부평구 삼산1동,인천광역시 부평구 삼산2동,인천광역시 부평구 부개1동,인천광역시 부평구 부개2동,인천광역시 부평구 부개3동,인천광역시 부평구 일신동,인천광역시 부평구 십정1동,인천광역시 부평구 십정2동
2021년12월_남_50~59세,"42,854","2,893","1,319","1,144","2,924","2,417","1,244","1,144","2,700","1,884","1,501",830,"3,146","1,629","1,541","3,093","2,706","1,444","1,659","2,847",992,"1,387","2,410"
2021년12월_남_60~69세,"34,261","2,305","1,029","1,066","2,268","1,737","1,089",996,"2,031","1,772","1,234",653,"2,408","1,243","1,622","2,300","1,545","1,401","1,339","1,986","1,051","1,119","2,067"
2021년12월_남_70~79세,"14,337",982,582,508,"1,012",743,453,473,812,888,477,247,905,480,642,813,521,724,579,740,406,487,863
2021년12월_남_80~89세,"5,025",413,170,178,353,263,204,154,260,338,201,60,319,164,180,283,196,223,198,235,131,194,308
2021년12월_남_90~99세,458,47,18,17,23,29,10,14,24,34,20,8,26,9,24,35,14,20,14,25,12,18,17
2021년12월_남_100세 이상,12,1,0,0,0,1,0,0,0,3,0,0,2,0,2,2,0,0,1,0,0,0,0
2021년12월_여_총인구수,"246,417","19,020","7,480","6,393","18,707","16,101","7,600","5,805","15,837","11,366","9,273","3,204","17,672","8,171","9,636","17,006","14,865","8,050","10,245","15,966","6,153","6,861","11,006"
2021년12월_여_연령구간인구수,"246,417","19,020","7,480","6,393","18,707","16,101","7,600","5,805","15,837","11,366","9,273","3,204","17,672","8,171","9,636","17,006","14,865","8,050","10,245","15,966","6,153","6,861","11,006"
2021년12월_여_0~9세,"14,889","1,111",397,288,"1,143","1,148",459,249,"1,230",531,556,156,"1,271",413,540,"1,014","1,126",388,693,833,445,357,541
2021년12월_여_10~19세,"19,933","1,397",557,384,"1,120","1,096",417,398,"1,760",928,818,247,"1,391",550,665,"1,661","1,976",494,902,"1,515",473,520,664
2021년12월_여_20~29세,"32,815","3,007",981,750,"3,137","2,593","1,067",651,"1,835","1,289","1,231",382,"2,317","1,165","1,126","2,122","1,786",915,"1,286","2,276",683,823,"1,393"
2021년12월_여_30~39세,"31,901","2,790",917,775,"3,114","2,707","1,171",662,"1,808","1,128","1,062",358,"2,571","1,016","1,267","1,862","1,502",919,"1,449","2,011",809,749,"1,254"
2021년12월_여_40~49세,"37,027","2,806","1,089",868,"2,743","2,399","1,046",795,"2,848","1,518","1,413",438,"2,522","1,124","1,227","2,747","2,964","1,048","1,586","2,550",838,998,"1,460"
2021년12월_여_50~59세,"45,103","3,285","1,311","1,123","3,096","2,615","1,348","1,060","2,854","2,105","1,823",632,"3,326","1,663","1,864","3,288","2,714","1,416","1,837","3,214","1,117","1,260","2,152"
2021년12월_여_60~69세,"36,138","2,585","1,200","1,116","2,425","2,017","1,153","1,106","2,076","1,998","1,313",562,"2,511","1,304","1,654","2,321","1,550","1,592","1,423","2,009","1,069","1,157","1,997"
2021년12월_여_70~79세,"17,203","1,231",679,646,"1,192",952,563,516,897,"1,022",587,258,"1,063",572,726,"1,082",739,830,679,908,452,620,989
2021년12월_여_80~89세,"9,636",672,308,374,635,494,325,296,449,694,399,137,592,303,471,771,416,390,347,535,233,317,478
2021년12월_여_90~99세,"1,713",130,41,67,100,78,51,68,77,146,71,32,104,57,93,136,87,56,41,112,34,57,75
2021년12월_여_100세 이상,59,6,0,2,2,2,0,4,3,7,0,2,4,4,3,2,5,2,2,3,0,3,3
