,경기도 용인시,경기도 용인시 처인구,경기도 용인시 처인구 포곡읍,경기도 용인시 처인구 모현읍,경기도 용인시 처인구 이동읍,경기도 용인시 처인구 남사읍,경기도 용인시 처인구 원삼면,경기도 용인시 처인구 백암면,경기도 용인시 처인구 양지면,경기도 용인시 처인구 중앙동,경기도 용인시 처인구 역삼동,경기도 용인시 처인구 유림동,경기도 용인시 처인구 동부동,경기도 용인시 기흥구,경기도 용인시 기흥구 신갈동,경기도 용인시 기흥구 영덕1동,경기도 용인시 기흥구 영덕2동,경기도 용인시 기흥구 구갈동,경기도 용인시 기흥구 상갈동,경기도 용인시 기흥구 보라동,경기도 용인시 기흥구 기흥동,경기도 용인시 기흥구 서농동,경기도 용인시 기흥구 구성동,경기도 용인시 기흥구 마북동,경기도 용인시 기흥구 동백1동,경기도 용인시 기흥구 동백2동,경기도 용인시 기흥구 동백3동,경기도 용인시 기흥구 상하동,경기도 용인시 기흥구 보정동,경기도 용인시 수지구,경기도 용인시 수지구 풍덕천1동,경기도 용인시 수지구 풍덕천2동,경기도 용인시 수지구 신봉동,경기도 용인시 수지구 죽전1동,경기도 용인시 수지구 죽전2동,경기도 용인시 수지구 동천동,경기도 용인시 수지구 상현1동,경기도 용인시 수지구 상현2동,경기도 용인시 수지구 성복동
2021년07월_계_80~89세,"29,354","7,682",939,843,786,623,495,657,622,709,786,838,384,"11,806","1,103",466,616,701,426,936,631,338,"1,453","1,227",649,572,836,673,"1,179","9,866","1,045",963,"1,116","1,603",496,954,"1,145",997,"1,547"
2021년07월_계_90~99세,"4,314","1,189",133,133,126,93,79,86,118,103,127,118,73,"1,736",131,87,165,115,43,139,93,41,213,182,88,79,93,98,169,"1,389",136,111,150,212,92,154,172,137,225
2021년07월_계_100세 이상,151,42,1,3,6,3,2,1,8,6,5,4,3,61,6,3,4,8,0,5,4,2,5,7,2,2,1,5,7,48,10,1,3,9,2,7,6,3,7
2021년07월_남_총인구수,"535,521","134,410","17,365","14,073","10,456","11,976","4,279","4,986","11,184","12,610","22,393","18,327","6,761","217,479","19,151","15,170","8,706","20,921","6,899","16,552","10,768","13,482","18,890","15,721","15,802","13,408","12,119","12,105","17,785","183,632","18,210","20,323","18,398","27,313","9,083","24,423","23,373","16,304","26,205"
2021년07월_남_연령구간인구수,"535,521","134,410","17,365","14,073","10,456","11,976","4,279","4,986","11,184","12,610","22,393","18,327","6,761","217,479","19,151","15,170","8,706","20,921","6,899","16,552","10,768","13,482","18,890","15,721","15,802","13,408","12,119","12,105","17,785","183,632","18,210","20,323","18,398","27,313","9,083","24,423","23,373","16,304","26,205"
2021년07월_남_0~9세,"49,760","10,495","1,145",988,746,"1,584",169,131,643,784,"2,399","1,564",342,"21,082","1,657","1,690",943,"2,155",501,"1,488",921,"1,525","1,632","1,329","1,611","1,333","1,609",992,"1,696","18,183","1,376","2,325","1,679","2,390",759,"2,922","2,304","1,624","2,804"
2021년07월_남_10~19세,"63,088","14,078","1,998","1,263",933,999,279,632,"1,777","1,112","2,252","2,226",607,"25,885","1,832","1,838",628,"1,709",628,"2,223","1,130","1,289","2,442","1,587","2,850","2,384","1,598","1,424","2,323","23,125","1,865","2,918","2,741","3,497",812,"2,776","3,109","2,168","3,239"
2021년07월_남_20~29세,"71,957","18,982","2,675","1,920","1,228",989,406,578,"1,497","2,329","3,675","2,665","1,020","29,692","2,526","1,992","1,308","3,269","1,046","2,071","1,390","3,081","2,279","2,117","1,817","1,691","1,173","1,773","2,159","23,283","2,710","2,462","2,096","3,938","1,415","2,775","3,014","1,937","2,936"
2021년07월_남_30~39세,"70,321","17,908","2,121","1,637","1,306","2,032",422,442,"1,395","1,747","3,744","2,271",791,"28,230","3,127","2,228","1,595","3,806","1,033","1,812","1,367","2,245","1,943","1,938","1,471",987,"1,521","1,318","1,839","24,183","3,338","2,834","1,791","3,236","1,633","3,610","3,154","1,927","2,660"
2021년07월_남_40~49세,"97,903","22,942","3,100","2,431","1,809","2,342",576,609,"1,719","2,027","3,931","3,389","1,009","40,502","3,276","2,932","1,377","3,630","1,211","3,159","1,953","2,316","3,614","2,569","3,631","2,793","2,576","2,054","3,411","34,459","2,913","4,305","3,607","5,047","1,481","4,720","4,423","3,053","4,910"
2021년07월_남_50~59세,"85,624","22,484","3,159","2,581","1,931","1,525",829,873,"1,820","2,107","3,154","3,235","1,270","34,482","3,131","2,504","1,334","3,328","1,227","2,690","1,736","1,584","2,948","2,509","2,597","2,414","1,475","2,222","2,783","28,658","2,744","3,107","3,026","4,440","1,393","3,646","3,609","2,571","4,122"
2021년07월_남_60~69세,"53,562","16,931","1,979","2,000","1,544","1,479",923,"1,020","1,502","1,568","2,002","1,819","1,095","20,280","2,060","1,274",860,"1,850",664,"1,652","1,302",949,"1,941","1,783",956,975,961,"1,362","1,691","16,351","1,776","1,265","1,621","2,537",877,"2,305","1,937","1,427","2,606"
2021년07월_남_70~79세,"29,844","7,509",839,886,673,778,479,447,580,657,892,819,459,"11,798","1,047",540,379,872,390,"1,002",681,360,"1,386","1,254",595,553,780,685,"1,274","10,537","1,015",687,"1,250","1,461",482,"1,225","1,253","1,088","2,076"
2021년07월_남_80~89세,"12,282","2,806",325,342,262,226,179,232,221,253,312,307,147,"5,036",457,158,221,278,189,405,273,125,661,571,243,255,389,254,557,"4,440",432,387,542,698,198,408,529,464,782
2021년07월_남_90~99세,"1,156",267,24,25,23,21,17,22,29,23,31,32,20,482,37,13,60,23,10,49,14,8,44,62,31,22,36,21,52,407,40,33,45,68,33,35,40,45,68
2021년07월_남_100세 이상,24,8,0,0,1,1,0,0,1,3,1,0,1,10,1,1,1,1,0,1,1,0,0,2,0,1,1,0,0,6,1,0,0,1,0,1,1,0,2
2021년07월_여_총인구수,"543,528","127,072","16,156","12,803","10,007","11,774","3,980","4,142","9,357","12,286","22,279","17,981","6,307","223,151","19,226","15,389","8,871","21,016","6,462","16,881","10,948","12,706","20,213","16,461","17,086","13,897","12,843","12,671","18,481","193,305","18,323","21,026","19,540","29,317","9,309","25,156","25,144","17,291","28,199"
2021년07월_여_연령구간인구수,"543,528","127,072","16,156","12,803","10,007","11,774","3,980","4,142","9,357","12,286","22,279","17,981","6,307","223,151","19,226","15,389","8,871","21,016","6,462","16,881","10,948","12,706","20,213","16,461","17,086","13,897","12,843","12,671","18,481","193,305","18,323","21,026","19,540","29,317","9,309","25,156","25,144","17,291","28,199"
2021년07월_여_0~9세,"47,572","10,069","1,092",894,759,"1,579",168,105,575,763,"2,264","1,547",323,"19,943","1,622","1,640",894,"2,046",425,"1,373",874,"1,517","1,520","1,252","1,640","1,219","1,503",878,"1,540","17,560","1,282","2,214","1,681","2,369",704,"2,707","2,345","1,571","2,687"
2021년07월_여_10~19세,"59,414","12,464","1,713","1,160",861,999,275,464,"1,167","1,071","2,180","2,073",501,"24,603","1,697","1,752",604,"1,622",628,"2,090","1,047","1,283","2,297","1,469","2,819","2,248","1,539","1,329","2,179","22,347","1,751","2,780","2,590","3,431",754,"2,596","3,067","2,041","3,337"
2021년07월_여_20~29세,"66,403","15,870","2,113","1,556",949,852,322,366,"1,083","2,076","3,476","2,258",819,"27,336","2,501","1,809","1,162","3,360",912,"1,958","1,200","2,144","2,100","1,972","1,797","1,571","1,189","1,630","2,031","23,197","2,593","2,472","1,963","3,994","1,389","2,776","3,257","1,897","2,856"
2021년07월_여_30~39세,"71,989","15,798","1,775","1,453","1,043","2,060",298,298,"1,049","1,452","3,567","2,198",605,"29,536","2,901","2,305","1,576","3,790",853,"1,899","1,393","2,193","2,090","2,028","1,801","1,319","1,815","1,417","2,156","26,655","2,902","3,234","2,124","3,647","1,565","4,093","3,511","2,168","3,411"
2021년07월_여_40~49세,"100,660","20,621","2,858","2,089","1,531","1,974",478,383,"1,390","1,833","3,803","3,350",932,"42,364","3,256","2,996","1,352","3,456","1,127","3,255","1,906","2,186","3,922","2,744","4,112","3,337","2,662","2,230","3,823","37,675","3,042","4,531","4,235","5,536","1,535","4,881","4,879","3,380","5,656"
2021년07월_여_50~59세,"82,821","21,070","2,815","2,200","1,791","1,529",737,679,"1,618","2,110","3,305","3,021","1,265","33,780","3,050","2,430","1,468","3,283","1,047","2,631","1,813","1,659","3,024","2,663","2,284","2,025","1,444","2,318","2,641","27,971","2,725","2,789","2,836","4,519","1,475","3,540","3,530","2,583","3,974"
2021년07월_여_60~69세,"58,190","16,645","1,958","1,862","1,599","1,558",868,875,"1,352","1,621","2,060","1,851","1,041","22,889","2,105","1,447",930,"1,936",688,"1,847","1,487","1,004","2,468","2,014","1,266","1,119","1,212","1,490","1,876","18,656","2,026","1,293","1,882","2,860",965,"2,523","2,267","1,705","3,135"
2021년07월_여_70~79세,"36,122","8,703","1,108",977,842,752,454,482,626,821,"1,050","1,062",529,"14,625","1,349",626,382,"1,001",512,"1,203",788,472,"1,826","1,538",902,684,975,878,"1,489","12,794","1,284","1,058","1,547","1,904",563,"1,369","1,535","1,318","2,216"
2021년07월_여_80~89세,"17,072","4,876",614,501,524,397,316,425,401,456,474,531,237,"6,770",646,308,395,423,237,531,358,213,792,656,406,317,447,419,622,"5,426",613,576,574,905,298,546,616,533,765
2021년07월_여_90~99세,"3,158",922,109,108,103,72,62,64,89,80,96,86,53,"1,254",94,74,105,92,33,90,79,33,169,120,57,57,57,77,117,982,96,78,105,144,59,119,132,92,157
2021년07월_여_100세 이상,127,34,1,3,5,2,2,1,7,3,4,4,2,51,5,2,3,7,0,4,3,2,5,5,2,1,0,5,7,42,9,1,3,8,2,6,5,3,5
