,세종특별자치시 세종특별자치시,세종특별자치시  조치원읍,세종특별자치시  연기면,세종특별자치시  연동면,세종특별자치시  부강면,세종특별자치시  금남면,세종특별자치시  장군면,세종특별자치시  연서면,세종특별자치시  전의면,세종특별자치시  전동면,세종특별자치시  소정면,세종특별자치시  한솔동,세종특별자치시  새롬동,세종특별자치시  도담동,세종특별자치시  아름동,세종특별자치시  종촌동,세종특별자치시  고운동,세종특별자치시  소담동,세종특별자치시  보람동,세종특별자치시  대평동
2020년07월_계_90~99세,"1,145",229,23,57,45,103,53,75,78,52,22,33,63,80,42,49,45,46,28,22
2020년07월_계_100세 이상,55,14,2,4,2,6,2,3,6,7,1,2,1,0,0,0,2,2,0,1
2020년07월_남_총인구수,"172,660","22,100","1,467","1,646","3,412","4,621","3,628","3,988","3,022","1,992","1,306","9,598","26,648","15,627","11,824","14,558","16,873","15,357","9,606","5,387"
2020년07월_남_연령구간인구수,"172,660","22,100","1,467","1,646","3,412","4,621","3,628","3,988","3,022","1,992","1,306","9,598","26,648","15,627","11,824","14,558","16,873","15,357","9,606","5,387"
2020년07월_남_0~9세,"24,134","1,746",40,48,178,145,102,159,106,40,57,"1,424","4,689","2,243","1,983","2,533","3,206","2,886","1,681",868
2020년07월_남_10~19세,"20,667","2,141",58,67,205,221,161,241,227,68,94,"1,723","3,311","2,268","2,203","2,048","2,340","1,544","1,240",507
2020년07월_남_20~29세,"18,310","3,538",193,188,478,507,561,480,325,181,168,861,"2,697","1,668",901,"1,235","1,269","1,452",943,665
2020년07월_남_30~39세,"29,610","2,911",206,157,432,524,516,438,321,172,112,"1,227","5,699","2,733","1,617","2,694","3,231","3,652","1,803","1,165"
2020년07월_남_40~49세,"34,129","3,682",212,207,529,612,604,570,438,233,210,"2,224","5,539","3,371","2,932","3,200","3,741","2,933","1,981",911
2020년07월_남_50~59세,"22,639","3,535",312,308,663,908,696,745,603,428,260,"1,296","2,816","1,955","1,358","1,537","1,592","1,726","1,136",765
2020년07월_남_60~69세,"14,186","2,575",270,368,491,919,559,709,516,486,214,564,"1,381",907,552,831,"1,037",864,573,370
2020년07월_남_70~79세,"6,388","1,345",121,193,272,544,274,418,299,257,121,217,426,365,217,378,369,257,207,108
2020년07월_남_80~89세,"2,331",561,54,96,148,217,140,210,174,117,67,51,81,101,50,88,79,35,38,24
2020년07월_남_90~99세,255,63,1,13,15,24,15,18,12,8,2,11,9,16,11,14,9,7,4,3
2020년07월_남_100세 이상,11,3,0,1,1,0,0,0,1,2,1,0,0,0,0,0,0,1,0,1
2020년07월_여_총인구수,"173,557","20,780","1,144","1,529","2,776","4,141","2,797","3,412","2,681","1,665","1,171","9,896","28,420","16,750","12,055","15,445","17,671","15,802","9,967","5,455"
2020년07월_여_연령구간인구수,"173,557","20,780","1,144","1,529","2,776","4,141","2,797","3,412","2,681","1,665","1,171","9,896","28,420","16,750","12,055","15,445","17,671","15,802","9,967","5,455"
2020년07월_여_0~9세,"22,932","1,611",46,52,170,160,103,186,100,44,52,"1,338","4,482","2,093","1,837","2,422","3,062","2,762","1,618",794
2020년07월_여_10~19세,"20,561","2,072",49,63,171,203,144,200,177,67,97,"1,672","3,548","2,266","2,069","2,109","2,303","1,612","1,226",513
2020년07월_여_20~29세,"17,866","2,774",138,114,249,351,358,317,235,122,112,848,"3,305","2,079",854,"1,388","1,370","1,615",999,638
2020년07월_여_30~39세,"31,196","2,451",96,122,255,342,256,259,202,97,76,"1,480","6,384","3,146","2,069","3,109","3,690","3,874","2,090","1,198"
2020년07월_여_40~49세,"32,559","3,245",111,133,345,380,301,357,286,137,141,"2,360","5,560","3,543","3,083","3,153","3,700","2,868","1,935",921
2020년07월_여_50~59세,"20,931","3,168",218,241,460,728,547,557,473,292,199,"1,198","2,868","1,816","1,175","1,575","1,769","1,744","1,118",785
2020년07월_여_60~69세,"14,421","2,625",209,317,491,834,499,636,447,383,188,571,"1,522",989,592,"1,009","1,192",870,644,403
2020년07월_여_70~79세,"7,573","1,744",143,226,363,615,310,504,389,263,157,263,458,476,234,424,413,276,207,108
2020년07월_여_80~89세,"4,584",913,110,214,241,443,239,336,301,211,129,142,238,278,111,221,134,141,106,76
2020년07월_여_90~99세,890,166,22,44,30,79,38,57,66,44,20,22,54,64,31,35,36,39,24,19
2020년07월_여_100세 이상,44,11,2,3,1,6,2,3,5,5,0,2,1,0,0,0,2,1,0,0
