,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2021년06월_남_총인구수,"58,762","6,078","1,308","1,514",706,"1,154","1,232","1,798",945,"2,387","2,223","1,769",968,"2,182","3,802","1,322","2,445","4,397","1,630","1,804","19,098"
2021년06월_남_연령구간인구수,"58,762","6,078","1,308","1,514",706,"1,154","1,232","1,798",945,"2,387","2,223","1,769",968,"2,182","3,802","1,322","2,445","4,397","1,630","1,804","19,098"
2021년06월_남_0~9세,"5,162",552,19,30,9,38,19,29,13,57,64,35,17,54,307,63,116,373,61,52,"3,254"
2021년06월_남_10~19세,"4,950",404,74,74,24,68,48,94,28,84,114,67,26,107,403,108,220,477,110,105,"2,315"
2021년06월_남_20~29세,"6,540",639,108,146,60,85,109,146,70,192,203,167,58,174,660,184,274,706,135,220,"2,204"
2021년06월_남_30~39세,"7,615",828,67,105,50,65,67,128,51,161,192,145,58,129,504,136,196,457,116,169,"3,991"
2021년06월_남_40~49세,"9,219",948,153,172,79,138,131,193,102,251,265,228,87,239,594,206,307,701,196,255,"3,974"
2021년06월_남_50~59세,"9,522",998,276,314,138,210,217,332,198,520,454,405,233,455,679,246,440,745,344,378,"1,940"
2021년06월_남_60~69세,"8,428",996,307,346,161,277,313,445,235,593,456,382,255,491,388,200,427,495,341,346,974
2021년06월_남_70~79세,"5,042",518,205,216,132,181,209,281,149,339,324,234,149,361,183,126,316,318,227,207,367
2021년06월_남_80~89세,"2,071",177,94,105,45,89,106,138,91,166,137,95,74,158,77,50,137,112,84,67,69
2021년06월_남_90~99세,208,18,5,6,8,3,13,11,8,24,13,11,10,13,7,3,12,13,16,5,9
2021년06월_남_100세 이상,5,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1
2021년06월_여_총인구수,"57,751","5,994","1,297","1,363",723,"1,142","1,232","1,769",998,"2,230","2,018","1,606",900,"2,010","3,870","1,337","2,397","4,339","1,610","1,591","19,325"
2021년06월_여_연령구간인구수,"57,751","5,994","1,297","1,363",723,"1,142","1,232","1,769",998,"2,230","2,018","1,606",900,"2,010","3,870","1,337","2,397","4,339","1,610","1,591","19,325"
2021년06월_여_0~9세,"4,908",532,26,25,9,41,26,32,19,36,53,43,12,42,297,73,98,322,43,57,"3,122"
2021년06월_여_10~19세,"4,674",386,68,54,24,58,31,61,25,80,91,64,32,83,411,96,134,430,138,99,"2,309"
2021년06월_여_20~29세,"5,833",532,80,100,34,55,57,96,51,144,158,125,44,116,564,132,217,572,117,164,"2,475"
2021년06월_여_30~39세,"6,926",781,51,50,16,47,46,64,40,106,107,92,36,88,416,126,174,430,95,119,"4,042"
2021년06월_여_40~49세,"7,407",723,62,80,42,85,57,102,48,111,165,116,52,111,594,162,264,654,111,160,"3,708"
2021년06월_여_50~59세,"7,817",961,188,200,110,143,157,260,127,361,290,262,146,276,622,212,389,703,242,219,"1,949"
2021년06월_여_60~69세,"8,152",979,268,292,156,235,261,395,210,504,419,347,191,439,441,229,441,568,314,321,"1,142"
2021년06월_여_70~79세,"6,415",617,278,256,146,241,306,373,222,424,421,288,199,449,305,165,412,392,294,243,384
2021년06월_여_80~89세,"4,769",414,226,262,159,206,254,330,216,381,264,235,162,349,193,112,221,224,219,173,169
2021년06월_여_90~99세,825,68,48,42,27,27,37,54,38,81,49,34,25,55,25,30,46,43,37,34,25
2021년06월_여_100세 이상,25,1,2,2,0,4,0,2,2,2,1,0,1,2,2,0,1,1,0,2,0
