,강원도 춘천시,강원도 춘천시 신북읍,강원도 춘천시 동면,강원도 춘천시 동산면,강원도 춘천시 신동면,강원도 춘천시 남면,강원도 춘천시 서면,강원도 춘천시 사북면,강원도 춘천시 북산면,강원도 춘천시 동내면,강원도 춘천시 남산면,강원도 춘천시 교동,강원도 춘천시 조운동,강원도 춘천시 약사명동,강원도 춘천시 근화동,강원도 춘천시 소양동,강원도 춘천시 후평1동,강원도 춘천시 후평2동,강원도 춘천시 후평3동,강원도 춘천시 효자1동,강원도 춘천시 효자2동,강원도 춘천시 효자3동,강원도 춘천시 석사동,강원도 춘천시 퇴계동,강원도 춘천시 강남동,강원도 춘천시 신사우동
2020년10월_남_30~39세,"17,483",361,"1,137",55,108,40,130,61,27,"1,222",162,234,161,114,764,650,764,"1,070","1,457",250,782,345,"1,977","2,947","1,316","1,349"
2020년10월_남_40~49세,"21,017",477,"1,755",74,144,56,211,115,36,"1,485",220,214,206,135,617,699,792,"1,025","1,523",364,802,291,"2,809","3,934","1,348","1,685"
2020년10월_남_50~59세,"23,659",773,"1,551",159,299,128,396,236,111,"1,427",390,276,256,205,706,857,"1,034","1,154","1,625",377,"1,030",345,"3,140","3,988","1,498","1,698"
2020년10월_남_60~69세,"18,256",725,"1,171",221,275,152,514,330,179,"1,070",457,236,244,198,525,611,869,768,"1,313",326,829,304,"1,894","2,606","1,255","1,184"
2020년10월_남_70~79세,"9,183",429,451,101,147,88,292,194,93,447,270,175,142,116,276,342,487,400,648,174,489,180,868,"1,080",651,643
2020년10월_남_80~89세,"4,189",210,176,64,74,58,122,92,43,199,88,70,62,61,138,158,211,186,257,99,248,104,443,511,223,292
2020년10월_남_90~99세,468,24,17,2,5,6,21,9,3,26,12,7,11,8,28,21,20,27,31,14,13,11,37,59,27,29
2020년10월_남_100세 이상,46,2,0,0,1,0,4,0,0,1,2,2,1,2,1,4,0,1,1,0,5,1,2,0,3,13
2020년10월_여_총인구수,"143,000","3,863","9,865",672,"1,239",502,"1,873","1,313",429,"8,684","1,663","1,757","1,483","1,171","4,399","5,040","6,004","7,831","11,138","2,280","5,648","2,240","18,133","25,670","9,529","10,574"
2020년10월_여_연령구간인구수,"143,000","3,863","9,865",672,"1,239",502,"1,873","1,313",429,"8,684","1,663","1,757","1,483","1,171","4,399","5,040","6,004","7,831","11,138","2,280","5,648","2,240","18,133","25,670","9,529","10,574"
2020년10월_여_0~9세,"10,608",177,"1,060",18,46,8,62,35,6,702,33,34,32,46,456,401,266,640,889,170,224,70,"1,307","2,175",716,"1,035"
2020년10월_여_10~19세,"12,982",220,"1,162",21,79,16,76,64,14,830,75,79,68,53,308,344,424,710,"1,009",175,299,115,"2,167","2,885",764,"1,025"
2020년10월_여_20~29세,"17,371",366,871,54,98,11,112,76,16,"1,053",111,407,194,114,492,582,890,"1,053","1,301",240,"1,112",522,"2,444","2,965","1,152","1,135"
2020년10월_여_30~39세,"16,828",301,"1,310",34,86,28,105,53,13,"1,152",109,186,145,97,692,638,603,"1,064","1,422",233,539,260,"1,842","3,267","1,262","1,387"
2020년10월_여_40~49세,"21,472",418,"1,791",45,112,29,145,115,29,"1,407",152,172,159,124,572,670,763,"1,158","1,636",336,625,213,"3,163","4,554","1,402","1,682"
2020년10월_여_50~59세,"23,499",703,"1,510",114,225,87,320,257,82,"1,394",294,245,248,196,560,873,"1,001","1,303","1,816",389,806,333,"3,134","4,328","1,689","1,592"
2020년10월_여_60~69세,"19,464",695,"1,194",166,296,129,424,316,111,"1,114",443,285,272,210,560,718,997,903,"1,530",341,871,342,"1,982","2,856","1,388","1,321"
2020년10월_여_70~79세,"11,835",515,541,113,136,102,289,220,97,583,244,197,194,183,464,482,631,578,875,251,683,229,"1,238","1,512",677,801
2020년10월_여_80~89세,"7,433",402,332,95,141,77,272,140,52,378,168,136,140,112,245,274,353,359,561,120,413,130,718,942,383,490
2020년10월_여_90~99세,"1,439",64,91,11,20,14,64,36,9,69,33,15,30,35,46,51,72,58,99,23,74,25,135,179,88,98
2020년10월_여_100세 이상,69,2,3,1,0,1,4,1,0,2,1,1,1,1,4,7,4,5,0,2,2,1,3,7,8,8
