카테고리,전라북도,전라북도 전주시,전라북도 전주시 완산구,전라북도 전주시 덕진구,전라북도 군산시,전라북도 익산시,전라북도 정읍시,전라북도 남원시,전라북도 김제시,전라북도 완주군,전라북도 진안군,전라북도 무주군,전라북도 장수군,전라북도 임실군,전라북도 순창군,전라북도 고창군,전라북도 부안군
2020년02월_계_80~89세,"89,352","18,910","10,354","8,556","9,815","12,265","8,019","5,993","7,171","5,158","2,398","2,252","2,048","2,911","2,667","5,119","4,626"
2020년02월_계_90~99세,"12,770","2,582","1,475","1,107","1,443","1,822","1,111",914,"1,100",741,360,320,275,418,366,753,565
2020년02월_계_100세 이상,817,167,86,81,111,102,105,42,64,38,26,15,20,24,27,37,39
2020년02월_남_총인구수,"902,365","322,798","165,374","157,424","135,975","142,534","54,541","39,875","41,483","47,315","12,950","12,047","11,095","14,372","13,721","27,338","26,321"
2020년02월_남_연령구간인구수,"902,365","322,798","165,374","157,424","135,975","142,534","54,541","39,875","41,483","47,315","12,950","12,047","11,095","14,372","13,721","27,338","26,321"
2020년02월_남_0~9세,"69,401","28,627","13,172","15,455","11,290","10,475","3,500","2,789","2,387","3,787",692,678,627,767,859,"1,509","1,414"
2020년02월_남_10~19세,"93,659","38,159","19,544","18,615","14,274","14,928","5,362","3,915","3,317","4,449",900,938,843,973,"1,157","2,383","2,061"
2020년02월_남_20~29세,"114,347","48,383","25,430","22,953","16,131","19,967","5,888","4,250","4,076","4,976","1,145","1,051",965,"1,371","1,181","2,501","2,462"
2020년02월_남_30~39세,"100,972","41,722","20,408","21,314","16,790","15,784","4,964","3,408","3,771","5,133",871,957,879,"1,176","1,066","2,212","2,239"
2020년02월_남_40~49세,"141,899","53,167","26,223","26,944","23,270","22,081","8,134","5,760","5,853","7,607","1,688","1,671","1,529","1,862","1,953","3,739","3,585"
2020년02월_남_50~59세,"156,239","51,752","27,411","24,341","23,050","25,314","10,063","7,345","7,680","8,623","2,646","2,342","2,134","2,743","2,529","5,049","4,969"
2020년02월_남_60~69세,"120,763","34,906","19,104","15,802","17,750","19,177","8,069","6,222","7,068","6,790","2,426","2,137","2,045","2,555","2,320","4,616","4,682"
2020년02월_남_70~79세,"72,364","18,715","10,121","8,594","9,774","10,386","5,702","4,044","4,816","4,059","1,715","1,421","1,333","1,857","1,692","3,555","3,295"
2020년02월_남_80~89세,"29,695","6,750","3,626","3,124","3,321","3,972","2,591","1,925","2,247","1,728",761,775,673,966,867,"1,633","1,486"
2020년02월_남_90~99세,"2,861",588,319,269,291,428,248,207,257,156,97,72,63,95,97,139,123
2020년02월_남_100세 이상,165,29,16,13,34,22,20,10,11,7,9,5,4,7,0,2,5
2020년02월_여_총인구수,"912,747","332,649","173,907","158,742","133,226","143,562","55,579","41,483","42,112","44,886","12,702","12,183","11,190","13,881","14,539","28,087","26,668"
2020년02월_여_연령구간인구수,"912,747","332,649","173,907","158,742","133,226","143,562","55,579","41,483","42,112","44,886","12,702","12,183","11,190","13,881","14,539","28,087","26,668"
2020년02월_여_0~9세,"65,896","27,261","12,352","14,909","10,861","10,100","3,292","2,479","2,212","3,706",685,591,585,684,788,"1,355","1,297"
2020년02월_여_10~19세,"87,016","35,656","18,155","17,501","13,258","14,126","4,757","3,662","3,127","4,011",805,903,841,863,"1,122","2,058","1,827"
2020년02월_여_20~29세,"97,992","43,516","23,477","20,039","13,537","16,814","4,919","3,411","3,311","4,022",886,848,756,"1,000",996,"1,965","2,011"
2020년02월_여_30~39세,"94,999","40,968","19,867","21,101","15,327","14,379","4,394","3,338","3,250","4,901",927,807,804,986,"1,112","1,906","1,900"
2020년02월_여_40~49세,"132,572","55,356","28,560","26,796","21,099","21,131","7,263","5,328","4,491","6,062","1,184","1,293","1,127","1,193","1,473","2,799","2,773"
2020년02월_여_50~59세,"146,835","53,943","29,635","24,308","21,128","24,627","8,784","6,588","6,502","6,879","2,023","1,937","1,670","2,131","2,135","4,269","4,219"
2020년02월_여_60~69세,"124,138","38,253","21,262","16,991","18,174","19,465","8,204","6,218","7,101","6,384","2,208","2,079","2,026","2,313","2,284","4,750","4,679"
2020년02월_여_70~79세,"93,081","23,404","12,645","10,759","12,119","13,153","7,590","5,652","6,298","4,875","2,067","1,990","1,778","2,426","2,533","4,850","4,346"
2020년02월_여_80~89세,"59,657","12,160","6,728","5,432","6,494","8,293","5,428","4,068","4,924","3,430","1,637","1,477","1,375","1,945","1,800","3,486","3,140"
2020년02월_여_90~99세,"9,909","1,994","1,156",838,"1,152","1,394",863,707,843,585,263,248,212,323,269,614,442
2020년02월_여_100세 이상,652,138,70,68,77,80,85,32,53,31,17,10,16,17,27,35,34
