,충청북도 충주시,충청북도 충주시 주덕읍,충청북도 충주시 살미면,충청북도 충주시 수안보면,충청북도 충주시 대소원면,충청북도 충주시 신니면,충청북도 충주시 노은면,충청북도 충주시 앙성면,충청북도 충주시 중앙탑면,충청북도 충주시 금가면,충청북도 충주시 동량면,충청북도 충주시 산척면,충청북도 충주시 엄정면,충청북도 충주시 소태면,충청북도 충주시 성내.충인동,충청북도 충주시 교현.안림동,충청북도 충주시 교현2동,충청북도 충주시 용산동,충청북도 충주시 지현동,충청북도 충주시 문화동,충청북도 충주시 호암.직동,충청북도 충주시 달천동,충청북도 충주시 봉방동,충청북도 충주시 칠금.금릉동,충청북도 충주시 연수동,충청북도 충주시 목행.용탄동
2021년08월_남_40~49세,"15,565",286,92,132,710,138,116,170,"1,164",290,193,104,141,76,193,"1,806",481,"1,321",373,638,"1,674",243,757,"1,097","2,793",577
2021년08월_남_50~59세,"18,930",531,210,326,840,308,187,419,778,292,376,214,293,167,256,"2,165",650,"1,306",478,856,"1,423",400,944,"1,433","3,417",661
2021년08월_남_60~69세,"16,956",640,318,425,723,434,332,585,627,311,495,324,486,304,250,"1,740",638,873,434,972,923,449,785,919,"2,544",425
2021년08월_남_70~79세,"7,702",287,169,217,288,209,190,307,241,145,252,173,223,148,145,750,355,366,248,488,346,209,419,399,938,190
2021년08월_남_80~89세,"3,551",171,64,84,141,137,97,151,107,94,150,114,135,98,86,296,138,167,133,230,117,95,140,149,390,67
2021년08월_남_90~99세,320,10,9,9,15,14,12,14,16,7,12,13,17,7,2,32,11,9,8,21,4,5,8,15,39,11
2021년08월_남_100세 이상,8,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1
2021년08월_여_총인구수,"103,519","2,343",991,"1,447","3,900","1,430","1,116","1,912","6,636","1,782","1,787","1,106","1,552",963,"1,369","11,748","3,404","7,791","2,615","4,700","9,368","1,738","4,459","7,392","18,800","3,170"
2021년08월_여_연령구간인구수,"103,519","2,343",991,"1,447","3,900","1,430","1,116","1,912","6,636","1,782","1,787","1,106","1,552",963,"1,369","11,748","3,404","7,791","2,615","4,700","9,368","1,738","4,459","7,392","18,800","3,170"
2021년08월_여_0~9세,"6,943",37,23,37,295,18,23,20,"1,034",176,53,23,31,32,48,757,125,609,110,165,991,51,246,463,"1,322",254
2021년08월_여_10~19세,"8,903",101,27,48,199,49,32,55,498,139,99,36,54,30,81,"1,192",248,914,231,332,"1,183",62,368,818,"1,791",316
2021년08월_여_20~29세,"10,154",131,46,65,499,61,43,86,677,175,100,45,77,37,116,"1,159",346,819,259,468,994,215,452,872,"2,106",306
2021년08월_여_30~39세,"10,545",116,36,55,521,59,41,66,"1,428",199,69,46,70,55,80,"1,138",230,790,201,361,"1,328",95,449,684,"2,047",381
2021년08월_여_40~49세,"14,676",183,65,97,490,66,51,133,"1,027",219,122,75,98,57,151,"1,782",428,"1,469",341,498,"1,740",159,617,"1,287","2,987",534
2021년08월_여_50~59세,"18,082",464,195,269,637,249,182,341,779,222,318,211,249,163,214,"2,181",594,"1,379",454,836,"1,452",305,773,"1,417","3,625",573
2021년08월_여_60~69세,"16,886",598,295,392,647,387,332,553,630,285,433,280,421,248,304,"1,811",646,936,474,"1,049",950,374,822,978,"2,643",398
2021년08월_여_70~79세,"9,492",362,153,260,306,260,191,330,295,195,291,195,262,170,205,991,453,518,325,580,410,257,471,503,"1,295",214
2021년08월_여_80~89세,"6,798",311,122,197,268,251,188,274,232,153,251,171,257,150,139,658,291,308,192,357,269,192,226,326,849,166
2021년08월_여_90~99세,"1,015",39,28,27,36,30,31,53,36,19,50,24,32,21,31,77,40,46,28,53,50,28,34,42,133,27
2021년08월_여_100세 이상,25,1,1,0,2,0,2,1,0,0,1,0,1,0,0,2,3,3,0,1,1,0,1,2,2,1
