카테고리,경상북도 상주시,경상북도 상주시 함창읍,경상북도 상주시 중동면,경상북도 상주시 사벌국면,경상북도 상주시 낙동면,경상북도 상주시 낙동면동부출장소,경상북도 상주시 청리면,경상북도 상주시 공성면,경상북도 상주시 외남면,경상북도 상주시 내서면,경상북도 상주시 모동면,경상북도 상주시 모서면,경상북도 상주시 모서면서부출장소,경상북도 상주시 화동면,경상북도 상주시 화서면,경상북도 상주시 화북면,경상북도 상주시 화북면서부출장소,경상북도 상주시 외서면,경상북도 상주시 은척면,경상북도 상주시 은척면북부출장소,경상북도 상주시 공검면,경상북도 상주시 이안면,경상북도 상주시 화남면,경상북도 상주시 남원동,경상북도 상주시 북문동,경상북도 상주시 계림동,경상북도 상주시 동문동,경상북도 상주시 동성동,경상북도 상주시 신흥동
2020년09월_남_70~79세,"5,447",411,127,278,247,68,193,337,133,151,172,114,47,157,173,83,25,198,109,35,189,185,62,474,304,305,360,219,291
2020년09월_남_80~89세,"2,627",214,52,153,126,56,116,164,72,82,81,62,24,72,107,54,13,98,53,31,96,100,31,165,129,136,142,82,116
2020년09월_남_90~99세,248,19,6,9,14,4,12,17,9,5,8,9,0,9,15,5,0,11,2,3,7,17,5,13,8,11,11,6,13
2020년09월_남_100세 이상,11,2,0,0,2,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
2020년09월_여_총인구수,"49,771","3,425",733,"1,978","1,585",508,"1,381","2,019",836,952,"1,297",874,395,"1,006","1,428",615,162,"1,471",621,181,"1,136","1,086",430,"6,321","4,606","4,109","4,270","1,855","4,491"
2020년09월_여_연령구간인구수,"49,771","3,425",733,"1,978","1,585",508,"1,381","2,019",836,952,"1,297",874,395,"1,006","1,428",615,162,"1,471",621,181,"1,136","1,086",430,"6,321","4,606","4,109","4,270","1,855","4,491"
2020년09월_여_0~9세,"2,533",129,14,54,48,14,38,46,29,31,50,30,11,33,63,17,3,49,13,4,21,21,11,466,365,265,263,79,366
2020년09월_여_10~19세,"3,647",276,34,67,76,20,41,78,25,30,75,33,21,55,78,31,5,79,20,6,47,58,22,591,406,414,409,159,491
2020년09월_여_20~29세,"3,450",185,26,65,68,17,54,84,37,39,60,38,16,45,71,38,4,48,22,3,33,42,28,578,446,337,387,124,555
2020년09월_여_30~39세,"3,469",209,31,90,49,16,74,85,41,43,61,34,24,43,80,24,5,69,17,4,38,26,19,598,527,345,362,131,424
2020년09월_여_40~49세,"5,440",338,34,115,116,28,78,106,33,58,102,69,18,68,120,55,10,132,34,11,59,79,24,935,678,576,644,226,694
2020년09월_여_50~59세,"8,009",518,93,289,227,87,202,304,126,175,241,149,86,162,255,116,26,233,82,25,153,142,71,"1,067",758,700,691,301,730
2020년09월_여_60~69세,"9,241",658,171,415,311,110,310,497,186,216,313,199,78,226,294,132,47,307,142,32,257,208,87,"1,016",720,640,698,362,609
2020년09월_여_70~79세,"7,226",572,180,411,317,88,285,420,166,179,217,164,67,192,244,103,33,266,159,42,250,246,74,641,403,447,473,260,327
2020년09월_여_80~89세,"5,692",455,129,401,302,115,249,336,161,153,154,143,62,144,193,80,24,244,106,47,229,216,72,356,255,334,297,180,255
2020년09월_여_90~99세,"1,014",79,21,68,67,11,47,62,32,28,21,15,12,38,28,17,5,41,24,7,48,46,21,66,48,49,43,30,40
2020년09월_여_100세 이상,50,6,0,3,4,2,3,1,0,0,3,0,0,0,2,2,0,3,2,0,1,2,1,7,0,2,3,3,0
