,서울특별시 노원구,서울특별시 노원구 월계1동,서울특별시 노원구 월계2동,서울특별시 노원구 월계3동,서울특별시 노원구 공릉1동,서울특별시 노원구 공릉2동,서울특별시 노원구 하계1동,서울특별시 노원구 하계2동,서울특별시 노원구 중계본동,서울특별시 노원구 중계1동,서울특별시 노원구 중계4동,서울특별시 노원구 중계2.3동,서울특별시 노원구 상계1동,서울특별시 노원구 상계2동,서울특별시 노원구 상계3.4동,서울특별시 노원구 상계5동,서울특별시 노원구 상계6.7동,서울특별시 노원구 상계8동,서울특별시 노원구 상계9동,서울특별시 노원구 상계10동
2021년09월_남_총인구수,"247,118","11,244","12,936","14,348","18,000","18,939","12,839","10,549","11,773","13,119","9,682","15,884","18,540","9,931","13,108","11,691","15,206","10,883","9,774","8,672"
2021년09월_남_연령구간인구수,"247,118","11,244","12,936","14,348","18,000","18,939","12,839","10,549","11,773","13,119","9,682","15,884","18,540","9,931","13,108","11,691","15,206","10,883","9,774","8,672"
2021년09월_남_0~9세,"15,975",578,831,"1,094","1,001","1,420",581,737,781,"1,012",547,955,"1,102",451,689,523,"1,171","1,199",642,661
2021년09월_남_10~19세,"26,449",875,"1,042","1,104","1,338","2,157","1,661","1,386","2,217","2,936","1,191","1,492","1,710",896,"1,099","1,013","1,530",966,"1,032",804
2021년09월_남_20~29세,"36,134","2,178","1,658","1,728","3,220","3,241","2,356","1,498","1,601","1,502","1,306","2,087","2,588","1,625","1,669","1,753","2,136","1,344","1,406","1,238"
2021년09월_남_30~39세,"31,528","1,423","1,548","2,241","2,621","2,566","1,347","1,204",860,849,951,"2,028","2,400","1,200","1,502","1,366","2,281","2,334","1,392","1,415"
2021년09월_남_40~49세,"39,227","1,696","2,103","2,285","2,730","2,937","1,767","1,796","2,082","2,745","1,595","2,682","2,631","1,425","1,910","1,717","2,428","1,861","1,509","1,328"
2021년09월_남_50~59세,"42,206","1,743","2,208","2,182","2,753","2,952","2,401","1,853","2,356","2,440","1,783","2,664","3,278","1,932","2,365","2,163","2,569","1,445","1,649","1,470"
2021년09월_남_60~69세,"32,722","1,529","2,016","2,114","2,597","2,205","1,704","1,247","1,206","1,055","1,256","2,175","2,951","1,476","2,155","1,798","1,851","1,001","1,287","1,099"
2021년09월_남_70~79세,"16,190",875,"1,136","1,160","1,280","1,058",699,570,452,401,735,"1,219","1,325",673,"1,197",976,853,515,602,464
2021년09월_남_80~89세,"6,042",322,345,410,420,362,282,230,203,158,284,526,509,232,487,337,343,191,229,172
2021년09월_남_90~99세,623,24,48,30,39,40,41,28,15,18,34,56,43,20,26,45,44,26,25,21
2021년09월_남_100세 이상,22,1,1,0,1,1,0,0,0,3,0,0,3,1,9,0,0,1,1,0
2021년09월_여_총인구수,"265,935","10,519","13,921","15,705","18,934","19,953","13,938","11,622","12,367","13,872","10,403","18,698","19,783","10,108","13,262","12,395","17,668","11,842","10,887","10,058"
2021년09월_여_연령구간인구수,"265,935","10,519","13,921","15,705","18,934","19,953","13,938","11,622","12,367","13,872","10,403","18,698","19,783","10,108","13,262","12,395","17,668","11,842","10,887","10,058"
2021년09월_여_0~9세,"15,065",546,797,"1,039",938,"1,319",498,685,677,873,531,932,"1,073",476,658,507,"1,119","1,119",633,645
2021년09월_여_10~19세,"24,475",746,987,970,"1,275","2,021","1,322","1,313","2,198","2,660",984,"1,568","1,561",878,908,955,"1,405",969,963,792
2021년09월_여_20~29세,"34,687","1,559","1,464","1,771","3,332","3,320","2,070","1,462","1,500","1,411","1,204","2,070","2,553","1,561","1,483","1,594","2,302","1,360","1,302","1,369"
2021년09월_여_30~39세,"31,745","1,175","1,555","2,236","2,562","2,547","1,350","1,300",937,"1,118",946,"2,147","2,372","1,086","1,331","1,209","2,586","2,426","1,365","1,497"
2021년09월_여_40~49세,"43,285","1,597","2,052","2,220","2,600","3,328","2,220","2,084","2,759","3,579","1,762","2,850","2,894","1,485","1,856","1,783","2,855","1,931","1,835","1,595"
2021년09월_여_50~59세,"44,848","1,703","2,339","2,547","2,936","3,057","2,545","2,011","2,199","2,140","1,803","2,989","3,612","1,938","2,323","2,296","3,108","1,607","1,910","1,785"
2021년09월_여_60~69세,"37,608","1,621","2,475","2,611","2,988","2,453","2,003","1,422","1,100","1,125","1,411","2,775","3,203","1,502","2,307","2,013","2,305","1,338","1,579","1,377"
2021년09월_여_70~79세,"21,034","1,036","1,383","1,426","1,514","1,181","1,136",792,588,550,"1,145","2,059","1,574",730,"1,517","1,274","1,141",661,755,572
2021년09월_여_80~89세,"11,172",446,730,765,661,624,698,477,352,360,516,"1,134",781,372,754,644,687,367,446,358
2021년09월_여_90~99세,"1,909",81,133,114,124,99,91,75,53,53,96,165,152,75,110,111,153,61,96,67
2021년09월_여_100세 이상,107,9,6,6,4,4,5,1,4,3,5,9,8,5,15,9,7,3,3,1
