,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2020년07월_남_총인구수,"135,497","1,663","2,415","1,784","1,373","1,316","2,547","1,548","1,488","1,162","1,987","1,555","1,173","2,876","3,662","2,845","2,042","6,532","11,256","3,800","2,823","1,507","27,684","6,512","11,623","16,399","9,176","6,749"
2020년07월_남_연령구간인구수,"135,497","1,663","2,415","1,784","1,373","1,316","2,547","1,548","1,488","1,162","1,987","1,555","1,173","2,876","3,662","2,845","2,042","6,532","11,256","3,800","2,823","1,507","27,684","6,512","11,623","16,399","9,176","6,749"
2020년07월_남_0~9세,"11,001",48,304,94,34,42,82,39,41,31,58,69,57,115,198,93,111,598,"1,283",211,157,77,"3,529",358,899,"1,428",657,388
2020년07월_남_10~19세,"14,037",63,177,194,65,54,144,87,73,54,106,70,68,218,328,169,94,589,"1,122",258,252,149,"4,016",649,"1,459","2,234",861,484
2020년07월_남_20~29세,"16,189",161,222,142,137,107,198,164,153,83,209,147,79,281,463,354,190,761,"1,329",406,359,194,"3,485",924,"1,615","2,258","1,005",763
2020년07월_남_30~39세,"16,417",132,351,114,89,104,208,102,103,72,186,131,115,264,317,235,302,907,"1,981",449,315,148,"3,792",747,"1,105","1,910","1,278",960
2020년07월_남_40~49세,"23,010",199,416,292,169,163,337,177,165,142,346,227,162,402,529,357,310,"1,057","1,884",622,378,191,"5,362",930,"1,864","3,139","1,841","1,349"
2020년07월_남_50~59세,"22,978",340,370,333,278,265,477,331,305,239,429,270,189,530,577,497,317,"1,078","1,578",646,482,248,"4,057","1,187","2,086","2,786","1,745","1,338"
2020년07월_남_60~69세,"18,060",342,319,307,318,293,538,344,340,266,400,297,240,541,611,550,344,818,"1,229",625,523,255,"2,177","1,055","1,594","1,635","1,183",916
2020년07월_남_70~79세,"10,086",254,174,188,198,180,370,220,212,184,189,248,206,374,484,412,292,540,650,438,276,162,969,512,715,745,473,421
2020년07월_남_80~89세,"3,380",113,78,111,72,91,170,83,85,81,58,82,50,138,144,162,73,175,188,130,77,75,268,140,258,242,114,122
2020년07월_남_90~99세,302,9,4,9,13,15,22,1,11,9,4,13,4,8,10,14,8,8,12,13,3,7,26,10,28,19,14,8
2020년07월_남_100세 이상,37,2,0,0,0,2,1,0,0,1,2,1,3,5,1,2,1,1,0,2,1,1,3,0,0,3,5,0
2020년07월_여_총인구수,"132,746","1,573","2,314","1,693","1,342","1,313","2,578","1,489","1,460","1,068","1,535","1,514","1,255","2,877","3,697","2,973","1,956","6,455","10,852","3,765","2,783","1,428","27,982","6,512","12,407","16,452","7,723","5,750"
2020년07월_여_연령구간인구수,"132,746","1,573","2,314","1,693","1,342","1,313","2,578","1,489","1,460","1,068","1,535","1,514","1,255","2,877","3,697","2,973","1,956","6,455","10,852","3,765","2,783","1,428","27,982","6,512","12,407","16,452","7,723","5,750"
2020년07월_여_0~9세,"10,592",50,286,88,33,35,82,38,55,18,54,56,68,102,179,88,84,534,"1,219",200,165,88,"3,412",337,942,"1,389",606,384
2020년07월_여_10~19세,"13,057",54,193,161,55,61,106,71,75,49,86,67,73,207,311,172,97,553,972,236,231,109,"3,713",563,"1,490","2,118",810,424
2020년07월_여_20~29세,"13,458",96,166,109,95,66,153,109,95,53,132,106,93,201,350,249,177,687,"1,206",337,281,121,"3,207",712,"1,358","1,931",803,565
2020년07월_여_30~39세,"15,033",75,369,107,64,65,177,74,99,55,97,103,110,237,292,194,211,822,"1,798",326,273,117,"4,117",630,"1,166","1,860",925,670
2020년07월_여_40~49세,"20,833",124,315,208,90,93,218,136,128,91,184,151,115,349,469,284,229,924,"1,714",487,366,185,"5,563",960,"2,106","3,139","1,350",855
2020년07월_여_50~59세,"20,971",265,314,228,234,206,360,290,291,152,324,201,193,462,555,491,297,993,"1,531",619,533,246,"3,777","1,251","2,053","2,742","1,334","1,029"
2020년07월_여_60~69세,"18,535",341,284,279,290,279,587,313,294,239,310,313,260,602,733,622,403,945,"1,307",744,490,264,"2,269","1,113","1,661","1,718","1,001",874
2020년07월_여_70~79세,"12,425",302,192,273,237,238,486,245,241,206,220,300,233,474,529,560,302,684,698,568,300,179,"1,232",636,956,"1,001",566,567
2020년07월_여_80~89세,"6,567",217,158,199,192,218,336,177,151,172,112,182,91,200,235,269,127,268,341,211,113,99,581,258,587,487,262,324
2020년07월_여_90~99세,"1,194",46,37,41,48,46,67,32,30,31,14,30,15,36,40,42,27,43,62,35,31,19,109,52,86,65,60,50
2020년07월_여_100세 이상,81,3,0,0,4,6,6,4,1,2,2,5,4,7,4,2,2,2,4,2,0,1,2,0,2,2,6,8
