카테고리,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 산동면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 공단1동,경상북도 구미시 공단2동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동
2020년03월_남_60~69세,"18,710","1,297","2,030",236,219,242,456,499,318,"1,125",337,373,"1,680",259,"2,136",864,"1,062",218,199,228,219,151,221,972,576,"1,571",400,822
2020년03월_남_70~79세,"6,836",639,682,134,142,185,272,175,208,387,137,180,468,107,648,297,266,100,74,84,51,32,114,323,156,530,123,322
2020년03월_남_80~89세,"2,383",266,289,74,74,85,173,78,102,93,29,51,166,40,174,78,68,30,31,17,8,5,27,84,53,149,34,105
2020년03월_남_90~99세,214,25,28,13,11,7,13,13,6,2,2,5,12,0,12,2,3,1,4,1,1,0,4,12,4,15,6,12
2020년03월_남_100세 이상,6,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2020년03월_여_총인구수,"203,863","7,725","18,175",954,866,"1,118","2,014","12,353","1,596","8,252","1,752","1,645","15,649","1,106","23,578","7,752","8,810","1,495","1,527","2,921","3,290","2,037","2,122","13,991","9,480","23,901","7,526","22,228"
2020년03월_여_연령구간인구수,"203,863","7,725","18,175",954,866,"1,118","2,014","12,353","1,596","8,252","1,752","1,645","15,649","1,106","23,578","7,752","8,810","1,495","1,527","2,921","3,290","2,037","2,122","13,991","9,480","23,901","7,526","22,228"
2020년03월_여_0~9세,"20,779",478,"1,637",23,10,23,31,"2,677",30,448,37,44,"1,211",40,"2,491",560,451,89,129,334,458,307,179,"1,370","1,166","2,458",508,"3,590"
2020년03월_여_10~19세,"22,035",590,"1,854",33,38,56,81,960,98,668,63,72,"1,843",66,"3,079",857,990,98,108,244,335,103,186,"1,781","1,239","2,924",564,"3,105"
2020년03월_여_20~29세,"25,990",665,"2,093",40,35,64,126,"1,518",130,"1,168",238,130,"1,887",108,"2,655",943,"1,252",232,199,474,429,305,293,"1,840","1,153","3,363","2,156","2,494"
2020년03월_여_30~39세,"31,585",660,"2,224",37,27,37,78,"3,634",88,"1,012",257,106,"1,869",67,"3,283",890,856,177,229,560,628,500,307,"1,916","1,560","4,373","1,685","4,525"
2020년03월_여_40~49세,"36,502","1,007","3,137",55,50,83,165,"1,765",175,"1,300",300,166,"2,828",133,"4,716","1,457","1,666",191,196,474,580,278,362,"3,016","2,044","4,601","1,146","4,611"
2020년03월_여_50~59세,"33,778","1,536","3,771",165,150,166,333,913,299,"1,719",343,351,"3,249",237,"4,141","1,623","2,097",293,315,522,528,320,400,"2,495","1,437","3,342",791,"2,242"
2020년03월_여_60~69세,"17,993","1,221","1,744",221,194,245,434,443,292,"1,261",284,380,"1,695",244,"1,993",867,966,230,173,193,229,170,229,887,509,"1,588",412,889
2020년03월_여_70~79세,"8,826",785,937,173,161,224,406,223,252,454,142,262,660,127,769,341,348,134,105,72,66,38,112,421,225,763,156,470
2020년03월_여_80~89세,"5,423",655,647,172,172,191,307,192,205,191,66,118,351,72,384,183,161,42,62,43,34,10,45,224,125,425,85,261
2020년03월_여_90~99세,912,124,124,34,27,28,51,28,25,28,19,15,56,11,66,31,21,9,8,5,3,5,9,40,22,62,21,40
2020년03월_여_100세 이상,40,4,7,1,2,1,2,0,2,3,3,1,0,1,1,0,2,0,3,0,0,1,0,1,0,2,2,1
