,서울특별시 도봉구,서울특별시 도봉구 창제1동,서울특별시 도봉구 창제2동,서울특별시 도봉구 창제3동,서울특별시 도봉구 창제4동,서울특별시 도봉구 창제5동,서울특별시 도봉구 도봉제1동,서울특별시 도봉구 도봉제2동,서울특별시 도봉구 쌍문제1동,서울특별시 도봉구 쌍문제2동,서울특별시 도봉구 쌍문제3동,서울특별시 도봉구 쌍문제4동,서울특별시 도봉구 방학제1동,서울특별시 도봉구 방학제2동,서울특별시 도봉구 방학제3동
2020년09월_남_100세 이상,49,2,0,3,4,4,3,6,7,7,1,1,2,5,4
2020년09월_여_총인구수,"167,525","13,306","15,200","7,207","14,178","13,140","10,746","14,286","11,362","10,058","8,668","10,178","14,690","10,088","14,418"
2020년09월_여_연령구간인구수,"167,525","13,306","15,200","7,207","14,178","13,140","10,746","14,286","11,362","10,058","8,668","10,178","14,690","10,088","14,418"
2020년09월_여_0~9세,"9,314",779,902,397,891,759,456,832,593,498,404,588,807,471,937
2020년09월_여_10~19세,"12,635","1,088","1,108",530,"1,300",986,577,842,857,683,502,"1,035","1,109",710,"1,308"
2020년09월_여_20~29세,"21,528","1,688","2,062",889,"1,851","1,914","1,240","1,683","1,641","1,261","1,293","1,272","1,919","1,244","1,571"
2020년09월_여_30~39세,"20,255","1,729","2,096",797,"1,769","1,723","1,073","1,808","1,280","1,278","1,156","1,227","1,651","1,023","1,645"
2020년09월_여_40~49세,"24,801","2,138","2,288","1,060","2,378","1,903","1,366","1,885","1,616","1,421","1,185","1,643","2,180","1,456","2,282"
2020년09월_여_50~59세,"29,997","2,271","2,703","1,325","2,601","2,422","1,921","2,342","1,931","1,820","1,530","1,914","2,695","1,915","2,607"
2020년09월_여_60~69세,"25,699","1,846","2,156","1,086","1,782","1,894","2,023","2,565","1,745","1,612","1,291","1,420","2,361","1,665","2,253"
2020년09월_여_70~79세,"14,942","1,130","1,270",762,944,947,"1,412","1,488","1,103",941,906,632,"1,300","1,061","1,046"
2020년09월_여_80~89세,"7,025",552,539,310,567,491,589,690,500,448,337,366,548,447,641
2020년09월_여_90~99세,"1,197",79,73,44,89,92,74,129,86,85,56,75,110,83,122
2020년09월_여_100세 이상,132,6,3,7,6,9,15,22,10,11,8,6,10,13,6
