,충청남도 아산시,충청남도 아산시 염치읍,충청남도 아산시 배방읍,충청남도 아산시 송악면,충청남도 아산시 탕정면,충청남도 아산시 음봉면,충청남도 아산시 둔포면,충청남도 아산시 영인면,충청남도 아산시 인주면,충청남도 아산시 선장면,충청남도 아산시 도고면,충청남도 아산시 신창면,충청남도 아산시 온양1동,충청남도 아산시 온양2동,충청남도 아산시 온양3동,충청남도 아산시 온양4동,충청남도 아산시 온양5동,충청남도 아산시 온양6동
2020년11월_남_10~19세,"17,691",263,"4,753",194,"1,518",910,729,158,221,53,90,"1,037",393,426,"2,425","1,295","1,452","1,774"
2020년11월_남_20~29세,"20,213",341,"5,013",175,"1,579","1,231","1,438",264,366,106,200,"1,364",562,963,"2,344","1,237","1,544","1,486"
2020년11월_남_30~39세,"25,899",387,"7,156",140,"2,077","2,009","2,807",232,403,115,181,"1,278",967,725,"2,601","1,138","1,565","2,118"
2020년11월_남_40~49세,"30,460",505,"7,623",314,"2,613","2,023","2,195",369,610,176,236,"1,858",872,790,"3,579","1,783","2,063","2,851"
2020년11월_남_50~59세,"24,930",611,"5,079",425,"1,423","1,510","1,746",560,755,309,489,"1,801",714,"1,037","2,733","1,695","1,718","2,325"
2020년11월_남_60~69세,"15,728",580,"2,563",405,517,"1,083","1,212",648,590,366,508,"1,261",540,792,"1,522",953,900,"1,288"
2020년11월_남_70~79세,"8,007",342,"1,139",280,245,470,523,380,327,288,325,663,308,456,750,489,424,598
2020년11월_남_80~89세,"3,400",186,401,127,102,178,209,213,181,156,185,286,117,161,285,190,174,249
2020년11월_남_90~99세,288,15,35,11,9,13,17,17,15,12,11,24,8,14,30,22,16,19
2020년11월_남_100세 이상,31,2,6,0,0,0,0,2,1,5,0,1,5,2,1,2,1,3
2020년11월_여_총인구수,"151,618","3,121","36,529","2,065","9,784","9,107","9,524","2,621","2,907","1,497","2,178","9,553","4,552","5,192","18,472","9,258","10,608","14,650"
2020년11월_여_연령구간인구수,"151,618","3,121","36,529","2,065","9,784","9,107","9,524","2,621","2,907","1,497","2,178","9,553","4,552","5,192","18,472","9,258","10,608","14,650"
2020년11월_여_0~9세,"16,108",185,"4,650",102,"1,463","1,300","1,198",73,148,25,60,785,454,230,"1,983",739,"1,087","1,626"
2020년11월_여_10~19세,"16,710",242,"4,519",169,"1,412",803,719,112,185,55,93,"1,026",337,381,"2,408","1,181","1,296","1,772"
2020년11월_여_20~29세,"16,151",226,"4,406",134,"1,078",777,986,156,210,81,148,"1,015",524,717,"2,129",926,"1,225","1,413"
2020년11월_여_30~39세,"22,524",239,"6,686",119,"1,927","1,622","1,819",158,227,60,121,"1,107",789,484,"2,588","1,048","1,434","2,096"
2020년11월_여_40~49세,"25,628",371,"6,779",247,"1,931","1,388","1,293",222,346,91,165,"1,571",653,675,"3,432","1,724","2,004","2,736"
2020년11월_여_50~59세,"21,222",539,"4,524",330,905,"1,227","1,346",451,519,217,368,"1,429",616,982,"2,549","1,535","1,627","2,058"
2020년11월_여_60~69세,"15,870",579,"2,651",399,513,"1,021","1,054",565,508,393,463,"1,169",570,842,"1,725","1,035",965,"1,418"
2020년11월_여_70~79세,"10,028",380,"1,398",300,317,516,614,454,383,285,409,854,368,550,"1,037",648,612,903
2020년11월_여_80~89세,"6,276",307,780,221,198,376,412,367,328,247,308,519,185,277,534,359,297,561
2020년11월_여_90~99세,"1,020",51,132,40,40,76,80,61,51,39,40,71,48,46,76,56,52,61
2020년11월_여_100세 이상,81,2,4,4,0,1,3,2,2,4,3,7,8,8,11,7,9,6
