,부산광역시 남구,부산광역시 남구 대연제1동,부산광역시 남구 대연제3동,부산광역시 남구 대연제4동,부산광역시 남구 대연제5동,부산광역시 남구 대연제6동,부산광역시 남구 용호제1동,부산광역시 남구 용호제2동,부산광역시 남구 용호제3동,부산광역시 남구 용호제4동,부산광역시 남구 용당동,부산광역시 남구 감만제1동,부산광역시 남구 감만제2동,부산광역시 남구 우암동,부산광역시 남구 문현제1동,부산광역시 남구 문현제2동,부산광역시 남구 문현제3동,부산광역시 남구 문현제4동
2020년11월_남_70~79세,"11,138",730,852,594,677,482,"1,588",724,730,407,334,712,418,783,617,439,601,450
2020년11월_남_80~89세,"3,609",273,285,213,261,148,531,196,188,110,100,219,136,216,192,156,204,181
2020년11월_남_90~99세,250,13,24,11,19,14,55,13,11,13,4,10,4,14,9,12,15,9
2020년11월_남_100세 이상,22,2,2,1,1,0,2,1,0,2,1,3,0,2,1,3,0,1
2020년11월_여_총인구수,"136,939","7,981","17,057","6,454","8,683","8,086","23,384","8,857","6,481","4,544","3,972","6,803","3,581","6,739","7,234","4,434","8,142","4,507"
2020년11월_여_연령구간인구수,"136,939","7,981","17,057","6,454","8,683","8,086","23,384","8,857","6,481","4,544","3,972","6,803","3,581","6,739","7,234","4,434","8,142","4,507"
2020년11월_여_0~9세,"8,902",284,"1,383",503,502,933,"1,767",709,266,240,229,335,145,288,379,172,578,189
2020년11월_여_10~19세,"11,145",467,"1,529",411,712,723,"2,512",849,456,344,376,454,233,432,594,182,628,243
2020년11월_여_20~29세,"16,605","1,611","3,170",597,"1,299",882,"2,334",763,670,448,413,660,299,576,815,676,928,464
2020년11월_여_30~39세,"14,786",808,"2,209",878,967,"1,143","2,276",926,517,504,350,648,294,604,640,603,"1,031",388
2020년11월_여_40~49세,"20,926",969,"2,912",866,"1,331","1,412","4,176","1,491",818,670,622,920,489,869,"1,088",519,"1,224",550
2020년11월_여_50~59세,"21,974","1,178","2,445",996,"1,253","1,159","4,054","1,416","1,134",733,703,"1,160",561,"1,098","1,282",635,"1,357",810
2020년11월_여_60~69세,"22,073","1,341","1,835","1,085","1,352","1,005","3,318","1,498","1,379",916,676,"1,348",770,"1,481","1,206",709,"1,261",893
2020년11월_여_70~79세,"13,728",917,"1,019",759,867,560,"1,952",781,859,475,423,862,548,894,827,576,763,646
2020년11월_여_80~89세,"5,813",348,458,315,354,225,852,352,323,180,149,362,212,411,350,312,330,280
2020년11월_여_90~99세,873,48,84,36,42,36,138,64,52,27,30,42,26,78,49,41,40,40
2020년11월_여_100세 이상,114,10,13,8,4,8,5,8,7,7,1,12,4,8,4,9,2,4
