,경상남도 진주시,경상남도 진주시 문산읍,경상남도 진주시 내동면,경상남도 진주시 정촌면,경상남도 진주시 금곡면,경상남도 진주시 진성면,경상남도 진주시 일반성면,경상남도 진주시 이반성면,경상남도 진주시 사봉면,경상남도 진주시 지수면,경상남도 진주시 대곡면,경상남도 진주시 금산면,경상남도 진주시 집현면,경상남도 진주시 미천면,경상남도 진주시 명석면,경상남도 진주시 대평면,경상남도 진주시 수곡면,경상남도 진주시 천전동,경상남도 진주시 성북동,경상남도 진주시 중앙동,경상남도 진주시 상봉동,경상남도 진주시 상대동,경상남도 진주시 하대동,경상남도 진주시 상평동,경상남도 진주시 초장동,경상남도 진주시 평거동,경상남도 진주시 신안동,경상남도 진주시 이현동,경상남도 진주시 판문동,경상남도 진주시 가호동,경상남도 진주시 충무공동
2021년12월_계_80~89세,"13,220",486,185,267,312,255,266,249,235,196,474,629,334,258,358,141,310,"1,312",510,770,696,713,659,369,367,775,534,400,445,526,189
2021년12월_계_90~99세,"1,860",92,29,48,58,40,31,38,33,37,68,73,50,39,60,20,37,160,90,86,102,70,82,47,49,128,71,58,56,71,37
2021년12월_계_100세 이상,54,2,1,2,2,1,1,0,1,0,2,0,1,1,3,2,2,9,1,1,1,1,2,1,5,2,4,3,1,0,2
2021년12월_남_총인구수,"171,601","4,083","2,019","4,480","1,039",924,"1,249",795,725,714,"1,594","10,479","2,314",779,"1,958",497,"1,066","13,690","5,087","5,323","6,822","9,557","12,079","5,835","13,572","13,086","5,483","5,851","9,999","14,188","16,314"
2021년12월_남_연령구간인구수,"171,601","4,083","2,019","4,480","1,039",924,"1,249",795,725,714,"1,594","10,479","2,314",779,"1,958",497,"1,066","13,690","5,087","5,323","6,822","9,557","12,079","5,835","13,572","13,086","5,483","5,851","9,999","14,188","16,314"
2021년12월_남_0~9세,"13,872",326,182,486,16,23,46,16,13,16,30,"1,067",106,9,62,11,28,785,204,167,275,436,662,327,"1,717",985,326,329,"1,137","1,284","2,801"
2021년12월_남_10~19세,"18,251",349,234,273,51,21,97,29,24,31,65,"1,442",202,27,88,19,47,"1,343",360,353,537,804,"1,270",484,"2,278","1,739",555,699,"1,430","1,334","2,066"
2021년12월_남_20~29세,"24,457",407,230,601,88,67,119,43,34,63,127,"1,283",227,48,162,52,76,"2,378",721,603,928,"1,540","2,051",817,"1,819","2,190",802,851,"1,230","3,201","1,699"
2021년12월_남_30~39세,"21,008",458,183,931,67,68,86,46,43,37,98,"1,194",180,28,126,26,46,"1,470",608,493,659,"1,081","1,317",748,"1,623","1,454",587,557,"1,068","2,373","3,353"
2021년12월_남_40~49세,"26,502",550,315,667,111,86,145,61,98,86,162,"1,734",334,68,224,50,131,"1,914",800,725,989,"1,368","1,694",895,"2,481","1,949",749,793,"1,888","2,015","3,420"
2021년12월_남_50~59세,"28,316",712,353,610,194,188,260,158,126,136,323,"1,669",467,166,380,98,227,"2,221",834,968,"1,298","1,703","2,340","1,021","2,114","2,408",917,"1,080","1,603","1,956","1,786"
2021년12월_남_60~69세,"23,308",770,309,599,265,251,277,234,182,166,381,"1,305",456,212,531,137,285,"1,921",873,"1,061","1,166","1,507","1,786",936,"1,037","1,530",864,946,"1,092","1,349",880
2021년12월_남_70~79세,"11,348",365,153,232,155,133,148,135,139,121,262,557,235,146,250,67,142,"1,152",481,711,710,824,744,453,382,553,454,467,412,511,254
2021년12월_남_80~89세,"4,184",131,54,74,84,76,64,64,60,52,135,219,94,68,122,33,79,464,185,225,239,280,203,143,113,252,214,118,130,158,51
2021년12월_남_90~99세,348,15,6,7,8,11,6,9,6,6,11,9,13,7,12,4,5,40,21,17,21,14,11,11,6,26,15,11,9,7,4
2021년12월_남_100세 이상,7,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,2,0,0,0,0,0,0
2021년12월_여_총인구수,"175,496","3,976","2,001","4,292","1,145",948,"1,308",786,753,716,"1,594","10,424","2,324",800,"2,024",539,"1,119","14,182","5,213","5,691","7,001","9,754","12,073","5,657","13,269","14,287","6,119","6,024","11,006","13,795","16,676"
2021년12월_여_연령구간인구수,"175,496","3,976","2,001","4,292","1,145",948,"1,308",786,753,716,"1,594","10,424","2,324",800,"2,024",539,"1,119","14,182","5,213","5,691","7,001","9,754","12,073","5,657","13,269","14,287","6,119","6,024","11,006","13,795","16,676"
2021년12월_여_0~9세,"12,922",270,141,498,18,17,45,6,13,21,23,964,101,11,56,11,17,681,188,136,225,450,555,344,"1,475",972,294,298,"1,127","1,127","2,838"
2021년12월_여_10~19세,"16,435",293,215,257,46,23,82,15,20,41,52,"1,260",204,14,91,24,40,"1,081",317,281,478,741,"1,090",520,"1,753","1,646",516,528,"1,542","1,248","2,017"
2021년12월_여_20~29세,"20,058",334,200,458,52,50,82,24,23,34,69,976,165,31,144,33,55,"1,976",667,495,839,"1,288","1,596",640,"1,433","1,854",749,630,"1,067","2,432","1,662"
2021년12월_여_30~39세,"19,713",414,197,805,52,51,76,19,31,24,58,"1,148",173,27,97,18,50,"1,250",484,364,554,866,"1,110",601,"1,918","1,460",547,518,"1,262","1,995","3,544"
2021년12월_여_40~49세,"26,765",458,325,555,61,48,115,32,41,46,82,"1,888",291,27,173,38,66,"1,957",681,562,784,"1,291","1,775",777,"2,813","2,531",824,905,"2,153","2,114","3,352"
2021년12월_여_50~59세,"28,972",642,327,682,159,144,224,96,79,98,235,"1,717",398,110,366,79,157,"2,361",842,869,"1,253","1,840","2,549",997,"2,070","2,739","1,093","1,203","1,664","2,125","1,854"
2021년12월_여_60~69세,"25,528",678,282,560,238,243,251,221,189,150,378,"1,327",403,180,500,121,276,"2,346","1,013","1,392","1,407","1,804","1,989",982,"1,013","1,631","1,134","1,079","1,236","1,551",954
2021년12월_여_70~79세,"14,508",453,159,241,239,163,206,159,154,127,299,670,311,177,311,89,193,"1,555",626,977,922,984,881,533,494,827,582,531,592,771,282
2021년12월_여_80~89세,"9,036",355,131,193,228,179,202,185,175,144,339,410,240,190,236,108,231,848,325,545,457,433,456,226,254,523,320,282,315,368,138
2021년12월_여_90~99세,"1,512",77,23,41,50,29,25,29,27,31,57,64,37,32,48,16,32,120,69,69,81,56,71,36,43,102,56,47,47,64,33
2021년12월_여_100세 이상,47,2,1,2,2,1,0,0,1,0,2,0,1,1,2,2,2,7,1,1,1,1,1,1,3,2,4,3,1,0,2
