,부산광역시 금정구,부산광역시 금정구 서제1동,부산광역시 금정구 서제2동,부산광역시 금정구 서제3동,부산광역시 금정구 금사회동동,부산광역시 금정구 부곡제1동,부산광역시 금정구 부곡제2동,부산광역시 금정구 부곡제3동,부산광역시 금정구 부곡제4동,부산광역시 금정구 장전제1동,부산광역시 금정구 장전제2동,부산광역시 금정구 선두구동,부산광역시 금정구 청룡노포동,부산광역시 금정구 남산동,부산광역시 금정구 구서제1동,부산광역시 금정구 구서제2동,부산광역시 금정구 금성동
2021년09월_여_10~19세,"8,366",111,228,269,169,212,725,654,342,617,"1,108",38,318,965,982,"1,574",54
2021년09월_여_20~29세,"14,951",219,487,542,341,388,"1,285","1,066",713,"2,442","1,584",94,431,"2,058","1,192","2,075",34
2021년09월_여_30~39세,"11,665",154,429,470,312,352,952,898,656,878,"1,868",79,443,"1,329","1,115","1,691",39
2021년09월_여_40~49세,"15,760",282,495,579,370,474,"1,366","1,179",830,"1,032","2,371",102,607,"1,776","1,590","2,623",84
2021년09월_여_50~59세,"20,526",477,890,"1,092",717,712,"1,607","1,439","1,190","1,143","2,001",214,912,"2,872","1,950","3,236",74
2021년09월_여_60~69세,"21,240",678,"1,151","1,329",958,986,"1,535","1,374","1,486","1,110","1,915",241,"1,057","2,802","1,625","2,875",118
2021년09월_여_70~79세,"11,888",417,556,820,514,713,831,645,850,662,"1,138",170,630,"1,665",794,"1,423",60
2021년09월_여_80~89세,"5,838",220,247,344,231,333,426,388,338,306,572,101,310,791,436,756,39
2021년09월_여_90~99세,923,29,28,47,28,40,68,70,49,52,134,15,41,120,58,137,7
2021년09월_여_100세 이상,57,10,1,9,2,0,2,1,4,1,8,1,2,4,2,9,1
