,부산광역시 해운대구,부산광역시 해운대구 우제1동,부산광역시 해운대구 우제2동,부산광역시 해운대구 우제3동,부산광역시 해운대구 중제1동,부산광역시 해운대구 중제2동,부산광역시 해운대구 좌제1동,부산광역시 해운대구 좌제2동,부산광역시 해운대구 좌제3동,부산광역시 해운대구 좌제4동,부산광역시 해운대구 송정동,부산광역시 해운대구 반여제1동,부산광역시 해운대구 반여제2동,부산광역시 해운대구 반여제3동,부산광역시 해운대구 반여제4동,부산광역시 해운대구 반송제1동,부산광역시 해운대구 반송제2동,부산광역시 해운대구 재송제1동,부산광역시 해운대구 재송제2동
2021년06월_계_80~89세,"13,385",817,896,817,833,413,645,"1,051",744,764,467,883,620,480,332,876,"1,312",681,754
2021년06월_계_90~99세,"1,752",108,139,116,95,77,77,135,104,95,65,139,53,46,42,97,178,90,96
2021년06월_계_100세 이상,72,7,4,3,18,7,3,2,1,2,1,1,3,0,2,5,5,4,4
2021년06월_남_총인구수,"191,985","10,768","14,741","13,635","13,144","7,570","8,502","14,821","7,619","11,074","4,809","17,230","6,244","4,299","8,014","7,054","11,506","18,757","12,198"
2021년06월_남_연령구간인구수,"191,985","10,768","14,741","13,635","13,144","7,570","8,502","14,821","7,619","11,074","4,809","17,230","6,244","4,299","8,014","7,054","11,506","18,757","12,198"
2021년06월_남_0~9세,"14,354",620,"1,479","1,495","1,108",596,618,"1,053",533,906,275,"1,305",224,132,652,182,456,"2,069",651
2021년06월_남_10~19세,"19,284",776,"1,591","1,555","1,305",611,"1,050","1,436",930,"1,497",275,"2,195",320,273,792,371,766,"2,543",998
2021년06월_남_20~29세,"25,015","1,454","1,779","1,491","1,751",869,"1,311","2,364","1,036","1,534",626,"2,233",797,534,"1,088",902,"1,306","2,196","1,744"
2021년06월_남_30~39세,"22,488","1,449","1,734","1,464","1,660","1,049",968,"2,141",780,"1,147",664,"1,730",832,468,979,675,"1,074","2,195","1,479"
2021년06월_남_40~49세,"30,870","1,618","2,386","2,321","2,162","1,336","1,386","2,179","1,107","1,732",722,"2,850",914,591,"1,288",972,"1,682","3,676","1,948"
2021년06월_남_50~59세,"33,091","1,810","2,570","2,185","2,277","1,273","1,564","2,538","1,357","2,038",762,"3,138","1,123",818,"1,358","1,388","2,037","2,754","2,101"
2021년06월_남_60~69세,"28,027","1,691","1,868","1,877","1,697","1,169",904,"1,887","1,088","1,357",901,"2,373","1,172",853,"1,227","1,398","2,417","2,047","2,101"
2021년06월_남_70~79세,"13,673",993,963,878,826,497,444,802,492,566,423,"1,058",647,464,519,828,"1,335","1,011",927
2021년06월_남_80~89세,"4,773",331,342,336,330,148,224,384,267,275,150,319,201,158,102,319,403,249,235
2021년06월_남_90~99세,388,23,28,32,24,20,32,36,29,21,11,28,13,8,8,17,29,16,13
2021년06월_남_100세 이상,22,3,1,1,4,2,1,1,0,1,0,1,1,0,1,2,1,1,1
2021년06월_여_총인구수,"207,030","11,855","16,217","15,135","14,147","8,384","9,704","17,341","8,609","12,232","5,151","17,636","6,613","4,456","8,242","6,994","12,124","19,360","12,830"
2021년06월_여_연령구간인구수,"207,030","11,855","16,217","15,135","14,147","8,384","9,704","17,341","8,609","12,232","5,151","17,636","6,613","4,456","8,242","6,994","12,124","19,360","12,830"
2021년06월_여_0~9세,"13,444",634,"1,371","1,399","1,017",642,608,962,522,818,225,"1,245",246,99,596,175,415,"1,863",607
2021년06월_여_10~19세,"18,091",754,"1,522","1,567","1,194",564,938,"1,394",857,"1,447",224,"1,956",285,226,747,367,686,"2,401",962
2021년06월_여_20~29세,"22,938","1,499","1,664","1,304","1,674",805,"1,481","2,696",885,"1,389",526,"1,899",638,429,953,683,"1,063","1,948","1,402"
2021년06월_여_30~39세,"23,497","1,456","2,053","1,953","1,823","1,165","1,109","2,336",848,"1,274",580,"1,876",661,324,958,455,842,"2,444","1,340"
2021년06월_여_40~49세,"34,113","1,769","2,874","2,711","2,480","1,407","1,805","2,757","1,412","2,259",627,"3,253",800,526,"1,313",740,"1,401","4,087","1,892"
2021년06월_여_50~59세,"36,334","2,033","2,797","2,591","2,469","1,508","1,630","3,166","1,585","2,252",935,"3,132","1,206",828,"1,570","1,267","2,095","2,767","2,503"
2021년06월_여_60~69세,"31,335","1,990","2,142","2,048","1,854","1,332","1,008","2,098","1,227","1,431","1,084","2,409","1,421","1,039","1,321","1,446","2,731","2,291","2,463"
2021년06월_여_70~79세,"17,252","1,145","1,126",995,"1,048",634,657,"1,165",720,798,578,"1,191",895,625,519,"1,221","1,829","1,050","1,056"
2021년06월_여_80~89세,"8,612",486,554,481,503,265,421,667,477,489,317,564,419,322,230,557,909,432,519
2021년06월_여_90~99세,"1,364",85,111,84,71,57,45,99,75,74,54,111,40,38,34,80,149,74,83
2021년06월_여_100세 이상,50,4,3,2,14,5,2,1,1,1,1,0,2,0,1,3,4,3,3
