,경상북도 구미시,경상북도 구미시 선산읍,경상북도 구미시 고아읍,경상북도 구미시 산동읍,경상북도 구미시 무을면,경상북도 구미시 옥성면,경상북도 구미시 도개면,경상북도 구미시 해평면,경상북도 구미시 장천면,경상북도 구미시 송정동,경상북도 구미시 원평1동,경상북도 구미시 원평2동,경상북도 구미시 도량동,경상북도 구미시 지산동,경상북도 구미시 선주원남동,경상북도 구미시 형곡1동,경상북도 구미시 형곡2동,경상북도 구미시 신평1동,경상북도 구미시 신평2동,경상북도 구미시 비산동,경상북도 구미시 광평동,경상북도 구미시 상모사곡동,경상북도 구미시 임오동,경상북도 구미시 인동동,경상북도 구미시 진미동,경상북도 구미시 양포동,경상북도 구미시 공단동
2021년03월_계_80~89세,"8,221",946,972,284,254,251,298,489,307,405,94,177,576,110,521,276,237,84,94,110,78,349,189,589,116,397,18
2021년03월_계_90~99세,"1,175",155,162,40,43,37,41,61,37,40,21,19,63,15,73,27,33,11,9,14,11,56,27,88,28,58,6
2021년03월_계_100세 이상,40,5,5,2,0,1,0,3,2,2,1,1,0,1,2,0,2,0,3,0,1,1,1,1,2,3,1
2021년03월_남_총인구수,"213,131","7,352","19,220","13,879",930,879,"1,131","2,126","1,612","11,954","2,112","1,608","14,456","1,145","19,841","7,187","8,467","1,851","1,761","6,974","2,342","16,119","9,817","24,951","8,805","24,184","2,428"
2021년03월_남_연령구간인구수,"213,131","7,352","19,220","13,879",930,879,"1,131","2,126","1,612","11,954","2,112","1,608","14,456","1,145","19,841","7,187","8,467","1,851","1,761","6,974","2,342","16,119","9,817","24,951","8,805","24,184","2,428"
2021년03월_남_0~9세,"20,893",452,"1,891","2,826",20,7,21,35,46,873,37,41,"1,219",32,"1,934",553,445,68,153,853,177,"1,381","1,109","2,490",471,"3,440",319
2021년03월_남_10~19세,"23,147",558,"2,093","1,196",27,22,71,74,105,"1,244",50,77,"1,679",64,"2,630",860,"1,039",85,126,553,167,"1,954","1,336","3,114",535,"3,380",108
2021년03월_남_20~29세,"31,185",850,"2,719","1,191",67,69,93,169,137,"1,824",266,191,"2,186",134,"2,827","1,095","1,562",386,228,"1,024",366,"2,661","1,334","3,910","2,129","3,366",401
2021년03월_남_30~39세,"34,622",656,"2,438","4,234",49,54,68,140,103,"1,786",291,176,"1,755",96,"2,484",832,863,328,338,"1,593",425,"2,369","1,516","4,480","2,547","4,377",624
2021년03월_남_40~49세,"36,807","1,007","2,773","2,471",81,96,115,262,217,"1,839",409,196,"2,259",156,"3,597","1,073","1,184",266,239,"1,147",419,"2,937","1,917","4,854","1,559","5,319",415
2021년03월_남_50~59세,"35,637","1,469","3,921","1,121",210,178,232,491,341,"2,095",506,322,"2,782",254,"3,570","1,421","1,826",337,347,"1,114",401,"3,213","1,702","3,604",961,"2,887",332
2021년03월_남_60~69세,"20,964","1,405","2,373",569,259,233,260,499,339,"1,592",371,369,"1,848",263,"2,048",937,"1,170",246,222,509,245,"1,163",673,"1,778",421,985,187
2021년03월_남_70~79세,"7,094",646,693,184,130,133,166,266,219,561,146,176,524,111,574,328,302,99,70,150,109,321,166,539,145,299,37
2021년03월_남_80~89세,"2,563",290,292,75,76,79,94,176,99,135,34,55,189,35,169,84,69,35,35,29,29,107,59,165,30,118,5
2021년03월_남_90~99세,216,19,27,12,11,8,11,14,6,4,2,5,15,0,8,4,7,1,3,2,4,12,5,17,7,12,0
2021년03월_남_100세 이상,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2021년03월_여_총인구수,"201,822","7,504","18,696","12,685",937,828,"1,078","1,958","1,543","12,263","1,663","1,483","15,061","1,071","19,199","7,327","8,373","1,458","1,482","6,297","2,034","14,838","8,998","23,328","7,519","22,224","1,975"
2021년03월_여_연령구간인구수,"201,822","7,504","18,696","12,685",937,828,"1,078","1,958","1,543","12,263","1,663","1,483","15,061","1,071","19,199","7,327","8,373","1,458","1,482","6,297","2,034","14,838","8,998","23,328","7,519","22,224","1,975"
2021년03월_여_0~9세,"19,658",420,"1,724","2,739",20,6,25,32,24,880,31,36,"1,076",42,"1,847",509,378,68,134,830,153,"1,411","1,048","2,188",446,"3,318",273
2021년03월_여_10~19세,"21,288",558,"1,817","1,094",32,33,42,78,99,"1,200",48,57,"1,728",61,"2,343",742,874,86,97,558,174,"1,779","1,155","2,832",527,"3,161",113
2021년03월_여_20~29세,"24,865",570,"2,005","1,308",39,30,53,113,105,"1,554",217,118,"1,687",82,"2,313",842,"1,146",228,193,831,270,"2,009","1,035","3,255","2,098","2,490",274
2021년03월_여_30~39세,"30,248",603,"2,362","3,716",35,27,33,73,76,"1,547",224,84,"1,670",60,"2,496",819,741,167,206,"1,234",268,"1,973","1,436","3,996","1,724","4,220",458
2021년03월_여_40~49세,"36,059",939,"3,072","1,960",48,47,74,153,168,"2,027",297,133,"2,673",124,"3,737","1,320","1,504",184,191,"1,036",341,"3,137","1,926","4,621","1,207","4,839",301
2021년03월_여_50~59세,"34,205","1,468","3,956",940,154,151,159,329,279,"2,344",338,296,"3,186",224,"3,569","1,575","2,033",287,293,"1,093",411,"2,798","1,432","3,393",775,"2,416",306
2021년03월_여_60~69세,"19,884","1,349","2,024",475,227,193,254,426,309,"1,784",280,378,"1,910",263,"1,809",956,"1,127",236,189,484,246,"1,018",574,"1,753",453,983,184
2021년03월_여_70~79세,"8,961",800,916,214,172,139,204,391,242,620,148,244,696,124,666,349,374,143,111,138,114,427,239,794,180,470,46
2021년03월_여_80~89세,"5,658",656,680,209,178,172,204,313,208,270,60,122,387,75,352,192,168,49,59,81,49,242,130,424,86,279,13
2021년03월_여_90~99세,959,136,135,28,32,29,30,47,31,36,19,14,48,15,65,23,26,10,6,12,7,44,22,71,21,46,6
2021년03월_여_100세 이상,37,5,5,2,0,1,0,3,2,1,1,1,0,1,2,0,2,0,3,0,1,0,1,1,2,2,1
