,경기도 화성시,경기도 화성시 봉담읍,경기도 화성시 우정읍,경기도 화성시 향남읍,경기도 화성시 남양읍,경기도 화성시 매송면,경기도 화성시 비봉면,경기도 화성시 마도면,경기도 화성시 송산면,경기도 화성시 서신면,경기도 화성시 팔탄면,경기도 화성시 장안면,경기도 화성시 양감면,경기도 화성시 정남면,경기도 화성시 새솔동,경기도 화성시 진안동,경기도 화성시 병점1동,경기도 화성시 병점2동,경기도 화성시 반월동,경기도 화성시 기배동,경기도 화성시 화산동,경기도 화성시 동탄1동,경기도 화성시 동탄2동,경기도 화성시 동탄3동,경기도 화성시 동탄4동,경기도 화성시 동탄5동,경기도 화성시 동탄6동,경기도 화성시 동탄7동,경기도 화성시 동탄8동
2021년12월_남_30~39세,"79,282","6,098",979,"8,596","4,311",352,383,546,569,328,697,581,283,795,"2,557","4,896","3,406","1,388","2,705",762,"1,596","4,804","1,740","4,245","3,550","5,485","4,411","9,017","4,202"
2021년12월_남_40~49세,"91,142","8,362","1,609","10,117","4,045",499,476,662,814,503,962,855,333,975,"2,582","4,399","3,252","2,445","3,137","1,319","2,135","4,985","4,100","4,306","6,791","4,591","4,006","9,538","3,344"
2021년12월_남_50~59세,"65,999","6,951","2,037","6,484","3,658",802,738,905,"1,224",913,"1,489","1,344",587,"1,511","1,528","3,258","2,490","1,802","2,170","1,225","2,180","3,697","2,647","2,352","3,279","2,389","2,345","4,566","1,428"
2021년12월_남_60~69세,"40,130","4,412","1,603","3,627","2,728",738,814,756,"1,248","1,000","1,225","1,250",555,"1,245",819,"1,897","1,435",844,"1,398",721,"1,618","1,322","1,055",980,"1,116","1,354","1,005","2,462",903
2021년12월_남_70~79세,"15,592","1,855",755,"1,397","1,055",320,359,345,597,438,431,522,212,485,158,694,570,412,374,334,633,467,432,491,327,548,324,790,267
2021년12월_남_80~89세,"5,667",574,313,517,368,145,162,149,300,215,187,258,93,219,50,251,224,155,106,111,211,160,166,182,88,154,81,154,74
2021년12월_남_90~99세,469,48,33,43,33,12,18,10,35,23,18,20,7,16,4,21,9,7,6,5,13,11,4,17,5,17,9,19,6
2021년12월_남_100세 이상,10,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,2,0
2021년12월_여_총인구수,"426,227","41,741","7,936","40,763","19,623","3,274","2,809","2,819","5,055","3,245","3,995","4,341","1,537","4,796","12,342","19,983","17,522","12,257","15,785","6,645","10,792","24,678","17,892","20,212","26,462","22,449","18,510","42,899","15,865"
2021년12월_여_연령구간인구수,"426,227","41,741","7,936","40,763","19,623","3,274","2,809","2,819","5,055","3,245","3,995","4,341","1,537","4,796","12,342","19,983","17,522","12,257","15,785","6,645","10,792","24,678","17,892","20,212","26,462","22,449","18,510","42,899","15,865"
2021년12월_여_0~9세,"49,645","4,066",375,"4,884","1,941",111,90,102,204,88,149,159,30,178,"2,245","1,990","1,800","1,068","1,973",574,773,"2,884","1,891","2,587","4,085","2,994","2,603","6,933","2,868"
2021년12월_여_10~19세,"49,515","5,052",691,"5,088","1,801",203,156,170,359,135,223,257,80,324,"1,310","1,855","1,778","1,932","1,975",863,"1,014","3,335","3,282","2,557","4,599","2,182","1,961","4,867","1,466"
2021년12월_여_20~29세,"49,820","5,050",709,"4,688","2,412",329,288,253,418,195,309,395,124,521,"1,212","2,955","2,679","1,446","1,854",779,"1,311","3,777","1,815","2,835","2,118","2,827","2,721","4,278","1,522"
2021년12월_여_30~39세,"71,965","5,760",621,"6,723","3,021",262,238,243,354,216,341,314,118,376,"2,610","3,617","3,036","1,438","2,736",700,"1,235","4,439","2,118","3,737","4,617","5,316","4,024","9,521","4,234"
2021년12월_여_40~49세,"80,639","7,850","1,095","7,959","3,063",375,295,306,580,299,482,438,134,550,"2,361","3,430","3,089","2,698","2,966","1,282","1,744","5,071","4,412","4,175","6,661","4,193","3,558","8,721","2,852"
2021년12월_여_50~59세,"56,797","6,161","1,493","5,093","3,042",647,499,556,927,655,799,797,300,929,"1,598","2,872","2,461","1,690","2,315","1,106","1,994","3,113","2,351","2,102","2,686","2,323","2,042","4,718","1,528"
2021년12월_여_60~69세,"38,368","4,467","1,446","3,525","2,501",668,577,561,"1,012",826,869,936,357,939,719,"1,901","1,551","1,013","1,325",755,"1,553","1,259","1,141","1,230","1,058","1,598","1,007","2,621",953
2021년12월_여_70~79세,"17,662","2,071",844,"1,653","1,086",389,347,343,629,424,418,573,193,511,158,866,755,623,375,385,711,513,597,685,406,649,372,816,270
2021년12월_여_80~89세,"9,965","1,066",577,984,617,254,247,234,457,340,342,422,168,386,107,430,311,296,227,173,383,251,251,264,188,308,181,354,147
2021년12월_여_90~99세,"1,806",188,83,163,135,36,72,49,109,64,61,50,32,80,21,66,62,53,39,28,74,35,34,39,44,56,39,69,25
2021년12월_여_100세 이상,45,10,2,3,4,0,0,2,6,3,2,0,1,2,1,1,0,0,0,0,0,1,0,1,0,3,2,1,0
