,전라북도 군산시,전라북도 군산시 옥구읍,전라북도 군산시 옥산면,전라북도 군산시 회현면,전라북도 군산시 임피면,전라북도 군산시 서수면,전라북도 군산시 대야면,전라북도 군산시 개정면,전라북도 군산시 성산면,전라북도 군산시 나포면,전라북도 군산시 옥도면,전라북도 군산시 옥서면,전라북도 군산시 해신동,전라북도 군산시 월명동,전라북도 군산시 신풍동,전라북도 군산시 삼학동,전라북도 군산시 중앙동,전라북도 군산시 흥남동,전라북도 군산시 조촌동,전라북도 군산시 경암동,전라북도 군산시 구암동,전라북도 군산시 개정동,전라북도 군산시 수송동,전라북도 군산시 나운1동,전라북도 군산시 나운2동,전라북도 군산시 나운3동,전라북도 군산시 소룡동,전라북도 군산시 미성동
2021년12월_남_총인구수,"134,290","1,599","2,390","1,722","1,344","1,260","2,422","1,497","1,425","1,134","1,848","1,491","1,103","2,591","3,467","2,642","2,215","6,311","12,236","3,672","4,074","1,425","27,400","6,182","11,184","15,824","9,495","6,337"
2021년12월_남_연령구간인구수,"134,290","1,599","2,390","1,722","1,344","1,260","2,422","1,497","1,425","1,134","1,848","1,491","1,103","2,591","3,467","2,642","2,215","6,311","12,236","3,672","4,074","1,425","27,400","6,182","11,184","15,824","9,495","6,337"
2021년12월_남_0~9세,"9,929",40,277,82,35,43,74,32,36,21,45,53,47,77,165,77,138,532,"1,455",184,228,74,"3,172",310,741,"1,144",572,275
2021년12월_남_10~19세,"13,530",61,191,180,67,52,126,80,58,56,84,75,74,194,291,149,97,547,"1,226",247,351,118,"3,963",608,"1,343","2,043",828,421
2021년12월_남_20~29세,"15,978",138,204,134,127,85,186,151,150,71,172,155,70,240,437,321,188,691,"1,408",357,555,180,"3,507",804,"1,591","2,283","1,088",685
2021년12월_남_30~39세,"15,240",109,340,104,90,91,167,96,86,72,160,114,82,204,268,202,354,830,"2,109",401,545,120,"3,384",643,967,"1,693","1,203",806
2021년12월_남_40~49세,"22,292",188,392,258,144,151,298,155,150,122,294,195,141,353,461,309,339,991,"2,094",593,572,173,"5,297",885,"1,715","2,868","1,922","1,232"
2021년12월_남_50~59세,"23,241",328,379,319,235,228,429,287,277,208,417,266,188,451,588,447,336,"1,048","1,697",633,693,242,"4,330","1,119","2,059","2,873","1,871","1,293"
2021년12월_남_60~69세,"19,321",352,335,326,352,326,564,362,337,285,407,294,228,546,602,554,368,906,"1,302",648,703,240,"2,372","1,113","1,654","1,793","1,334","1,018"
2021년12월_남_70~79세,"10,677",248,184,193,204,187,393,240,223,204,196,242,205,362,487,403,294,548,729,456,320,189,"1,026",526,811,829,528,450
2021년12월_남_80~89세,"3,725",117,82,118,77,86,163,85,98,82,70,83,64,154,156,169,90,202,199,144,101,79,319,155,274,273,136,149
2021년12월_남_90~99세,352,18,6,8,13,11,22,9,10,12,3,14,3,10,12,11,11,16,17,9,6,10,29,19,29,24,12,8
2021년12월_남_100세 이상,5,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
2021년12월_여_총인구수,"131,014","1,504","2,305","1,634","1,279","1,243","2,442","1,443","1,429","1,032","1,437","1,432","1,157","2,599","3,498","2,797","2,143","6,274","11,923","3,672","4,045","1,377","27,488","6,219","11,933","15,927","7,727","5,055"
2021년12월_여_연령구간인구수,"131,014","1,504","2,305","1,634","1,279","1,243","2,442","1,443","1,429","1,032","1,437","1,432","1,157","2,599","3,498","2,797","2,143","6,274","11,923","3,672","4,045","1,377","27,488","6,219","11,933","15,927","7,727","5,055"
2021년12월_여_0~9세,"9,554",37,271,90,26,32,58,40,48,17,44,51,46,77,154,56,114,485,"1,443",166,253,81,"3,035",293,739,"1,126",493,279
2021년12월_여_10~19세,"12,620",56,196,161,40,53,99,59,71,40,63,66,73,183,265,161,85,518,"1,075",221,329,111,"3,688",497,"1,410","1,954",775,371
2021년12월_여_20~29세,"13,043",86,158,80,84,58,129,96,93,54,120,118,96,188,328,237,196,605,"1,232",307,515,111,"3,071",645,"1,251","1,892",795,498
2021년12월_여_30~39세,"13,834",64,331,104,60,53,149,76,93,45,87,79,78,179,253,157,253,776,"1,970",285,458,119,"3,677",547,"1,009","1,605",831,496
2021년12월_여_40~49세,"20,231",113,341,184,87,80,191,121,104,78,146,128,103,300,411,240,265,895,"1,917",456,511,151,"5,552",890,"1,913","2,942","1,351",761
2021년12월_여_50~59세,"20,944",232,305,224,207,175,330,247,255,148,292,190,144,392,523,442,305,969,"1,614",572,771,226,"3,990","1,192","2,127","2,826","1,367",879
2021년12월_여_60~69세,"19,765",355,301,289,304,297,590,339,322,232,339,310,258,566,732,596,421,983,"1,428",807,667,274,"2,491","1,168","1,787","1,920","1,149",840
2021년12월_여_70~79세,"12,703",285,206,258,232,225,482,260,250,205,214,283,245,445,518,564,331,713,812,576,350,179,"1,264",644,976,"1,033",613,540
2021년12월_여_80~89세,"6,945",223,153,199,184,211,338,170,151,177,110,182,97,233,274,292,143,289,357,245,153,104,601,279,625,544,276,335
2021년12월_여_90~99세,"1,339",53,43,45,54,55,75,32,41,35,20,25,15,35,39,51,30,41,73,35,37,21,114,64,95,83,74,54
2021년12월_여_100세 이상,36,0,0,0,1,4,1,3,1,1,2,0,2,1,1,1,0,0,2,2,1,0,5,0,1,2,3,2
