,경기도 광명시,경기도 광명시 광명1동,경기도 광명시 광명2동,경기도 광명시 광명3동,경기도 광명시 광명4동,경기도 광명시 광명5동,경기도 광명시 광명6동,경기도 광명시 광명7동,경기도 광명시 철산1동,경기도 광명시 철산2동,경기도 광명시 철산3동,경기도 광명시 철산4동,경기도 광명시 하안1동,경기도 광명시 하안2동,경기도 광명시 하안3동,경기도 광명시 하안4동,경기도 광명시 소하1동,경기도 광명시 소하2동,경기도 광명시 학온동
2021년03월_남_50~59세,"24,601",67,316,906,"1,206","1,196",905,"1,556",906,905,"2,773","1,100","2,306","1,014","1,611",992,"2,432","4,145",265
2021년03월_남_60~69세,"18,090",41,292,768,"1,156","1,069",726,"1,365",594,657,"1,897",758,"1,544",717,"1,174",565,"1,771","2,689",307
2021년03월_남_70~79세,"8,017",11,175,421,561,523,363,620,242,232,762,357,639,342,539,216,745,"1,134",135
2021년03월_남_80~89세,"2,500",2,49,133,152,159,101,189,75,93,250,80,170,139,244,90,196,309,69
2021년03월_남_90~99세,242,1,8,8,14,14,5,20,6,11,20,2,19,17,30,5,24,33,5
2021년03월_남_100세 이상,11,0,0,2,3,0,0,0,0,0,1,2,0,0,0,0,1,2,0
2021년03월_여_총인구수,"149,853",188,"1,679","5,059","7,170","7,398","5,429","9,488","5,617","3,796","16,896","6,686","13,138","7,411","10,817","6,461","16,368","25,298",954
2021년03월_여_연령구간인구수,"149,853",188,"1,679","5,059","7,170","7,398","5,429","9,488","5,617","3,796","16,896","6,686","13,138","7,411","10,817","6,461","16,368","25,298",954
2021년03월_여_0~9세,"11,047",0,45,178,344,404,433,620,444,160,"1,417",494,"1,097",485,677,472,"1,455","2,291",31
2021년03월_여_10~19세,"14,643",6,102,291,467,628,557,829,667,236,"2,017",587,"1,566",525,909,689,"2,090","2,445",32
2021년03월_여_20~29세,"18,012",25,178,618,899,830,615,"1,166",701,554,"2,038",781,"1,522",862,"1,237",829,"1,774","3,298",85
2021년03월_여_30~39세,"19,996",25,172,515,849,853,625,"1,166",735,465,"2,053","1,162","1,478","1,207","1,435",977,"2,089","4,099",91
2021년03월_여_40~49세,"25,723",21,217,669,979,"1,155",929,"1,449","1,085",550,"3,259","1,151","2,527","1,217","1,760","1,229","3,176","4,264",86
2021년03월_여_50~59세,"24,805",53,299,985,"1,259","1,292",899,"1,681",924,764,"2,809","1,063","2,202","1,164","1,730","1,067","2,457","3,984",173
2021년03월_여_60~69세,"19,966",41,353,982,"1,309","1,235",775,"1,494",619,590,"1,963",850,"1,588","1,006","1,428",669,"1,942","2,891",231
2021년03월_여_70~79세,"9,765",10,212,548,712,638,393,703,279,295,816,412,698,511,944,323,860,"1,291",120
2021년03월_여_80~89세,"4,992",3,94,236,294,315,175,325,139,152,440,165,378,372,589,177,435,617,86
2021년03월_여_90~99세,863,4,5,36,47,48,26,54,23,29,81,20,79,60,104,28,87,114,18
2021년03월_여_100세 이상,41,0,2,1,11,0,2,1,1,1,3,1,3,2,4,1,3,4,1
